ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_result,entry_minute,union_source,union_source_priority,union_source_file,_20,source_variant,total_votes,action_votes,action_score_mean,action_score_max,variant,config_priority,union_config_sources,union_config_max_day,union_config_cooldown,union_config_min_score,union_config_daily_order,selected_by
SPXW,20240705,202407,12:00,720,zero_dte,PUT,0.369555763955956,0.2641748510761716,0.4885636020826039,-0.3,-0.3,-0.3,cons_votes1_score0.00_maxday3_cool30_maxside2,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1,720,cons_m3s2c30,9,research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,6,d50ret,2.0,2.0,0.369555763955956,0.4885636020826039,cons_votes1_score0.00_maxday3_cool30_maxside2,2,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240705,202407,12:50,770,zero_dte,PUT,0.2751784755149288,-0.0872016450922109,0.2751784755149288,0.5,-0.3,-0.3,thr0.046_maxday8,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1,770,d80,3,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv,16,,,,,,,1,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240708,202407,11:35,695,front_weekly,PUT,0.6261600453644872,0.3871844139558808,0.6261600453644872,-0.0527186662519498,0.0138853839119477,0.0138853839119477,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,695,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,10,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240708,202407,12:05,725,front_weekly,PUT,0.5687494413043582,0.2954842563938438,0.5687494413043582,-0.0104046419176752,-0.0063051221956262,-0.0063051221956262,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,725,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,11,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240708,202407,10:30,630,front_weekly,PUT,0.5611229770490495,0.3207516942626325,0.5611229770490495,-0.1374585905127762,0.0900360610250818,0.0900360610250818,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,630,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,8,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240709,202407,12:00,720,front_weekly,PUT,0.5813888906544348,0.2892586113709172,0.5813888906544348,-0.0592417068751632,0.144444465637207,0.144444465637207,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,720,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,15,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240709,202407,11:00,660,front_weekly,PUT,0.579138649710207,0.3041288875843579,0.579138649710207,-0.0456441867570935,-0.1241655476802794,-0.1241655476802794,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,660,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,13,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240709,202407,11:30,690,front_weekly,PUT,0.5749772924018008,0.3267347286128039,0.5749772924018008,0.1042755643044917,-0.0166205090063574,-0.0166205090063574,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,690,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,14,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240710,202407,11:00,660,front_weekly,PUT,0.5459361328335959,0.2481298601056374,0.5459361328335959,0.5,-0.3,-0.3,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,660,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,17,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240710,202407,12:55,775,front_weekly,PUT,0.5147976884718464,0.4164882351639217,0.5147976884718464,0.5,-0.3,-0.3,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,775,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,19,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240710,202407,12:25,745,front_weekly,PUT,0.5008129758811516,0.3231493277801324,0.5008129758811516,0.2407506628931504,-0.2036753352596094,-0.2036753352596094,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,745,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,18,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240711,202407,13:45,825,front_weekly,PUT,0.5141525975212983,0.3132100020170814,0.5141525975212983,0.0042179221920417,-0.3,-0.3,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,825,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,21,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240711,202407,13:10,790,front_weekly,PUT,0.5062599125180034,0.2665236136748664,0.5062599125180034,-0.0220448474146436,-0.3,-0.3,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,790,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,20,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240711,202407,11:30,690,zero_dte,PUT,0.3646649725093845,-0.260071941761423,0.3646649725093845,-0.3,0.3168888515896266,0.3168888515896266,thr0.046_maxday8,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1,690,d80,3,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv,34,,,,,,,1,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240712,202407,10:30,630,front_weekly,PUT,0.5009849582554057,0.2942827459794556,0.5009849582554057,0.3487122449092052,-0.3,-0.3,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,630,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,22,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240712,202407,12:25,745,zero_dte,PUT,0.4963167793502969,0.2852200125283756,0.4963167793502969,0.5,-0.3,-0.3,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,745,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,24,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240712,202407,11:40,700,front_weekly,CALL,0.4946599970604451,0.4946599970604451,0.4119481666897863,0.1995359699617818,-0.1955056351222349,0.1995359699617818,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,700,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,23,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240715,202407,12:00,720,front_weekly,PUT,0.6555623256214651,0.2978614748524752,0.6555623256214651,-0.3,0.3432465985261843,0.3432465985261843,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,720,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,28,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240715,202407,11:30,690,front_weekly,PUT,0.6112307353826063,0.2874267262515668,0.6112307353826063,-0.3,0.3533083449238692,0.3533083449238692,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,690,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,27,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240715,202407,11:00,660,zero_dte,PUT,0.5538461166957365,0.295074623704851,0.5538461166957365,-0.3,-0.3,-0.3,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,660,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,26,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240716,202407,11:10,670,front_weekly,PUT,0.5389031140498423,0.438373160978897,0.5389031140498423,-0.1762643300674086,0.3186206686085668,0.3186206686085668,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,670,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,29,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240716,202407,13:30,810,front_weekly,PUT,0.5217190890755993,0.3258665667438936,0.5217190890755993,0.3515228557250014,-0.3,-0.3,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,810,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,31,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240716,202407,12:50,770,front_weekly,PUT,0.5024219589044369,0.3041373738775985,0.5024219589044369,0.1791962108423703,-0.2724795205580227,-0.2724795205580227,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,770,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,30,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240717,202407,11:45,705,front_weekly,PUT,0.5316367778999015,0.2751996303207314,0.5316367778999015,-0.0965434842289324,0.0167597866561362,0.0167597866561362,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,705,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,34,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240717,202407,10:30,630,front_weekly,PUT,0.5265960094711107,0.2728428719357931,0.5265960094711107,-0.1995192197476614,0.3082644678037722,0.3082644678037722,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,630,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,32,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240717,202407,11:10,670,front_weekly,PUT,0.5047568897193527,0.2691824455717804,0.5047568897193527,-0.1793611187954403,0.3140740288628472,0.3140740288628472,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,670,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,33,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240718,202407,11:05,665,front_weekly,PUT,0.6214191180016878,0.2586746070732152,0.6214191180016878,-0.3,0.5,0.5,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,665,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,37,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240718,202407,10:35,635,front_weekly,PUT,0.5917334345083956,0.209921918441861,0.5917334345083956,-0.3,0.5,0.5,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,635,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,36,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240718,202407,10:35,635,zero_dte,PUT,0.2341991833019651,-0.1417036750439527,0.2341991833019651,-0.3,0.5,0.5,thr0.046_maxday8,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1,635,d80,3,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv,62,,,,,,,1,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240719,202407,13:00,780,front_weekly,PUT,0.5317049139340528,0.2574501251196234,0.5317049139340528,0.0313432608077774,0.0106820302740902,0.0106820302740902,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,780,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,41,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240719,202407,10:40,640,front_weekly,PUT,0.5060647053671495,0.2624452861444499,0.5060647053671495,-0.3,0.3638037788175536,0.3638037788175536,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,640,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,38,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240719,202407,11:10,670,front_weekly,PUT,0.4959810129720999,0.3003281955132101,0.4959810129720999,-0.1791862116423307,0.245893321682733,0.245893321682733,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,670,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,39,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240722,202407,12:05,725,zero_dte,PUT,0.5639772852825734,-0.3076913687193721,0.5639772852825734,0.5,-0.3,-0.3,thr0.046_maxday8,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1,725,d80,3,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv,72,,,,,,,1,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240722,202407,10:35,635,front_weekly,CALL,0.513933961124431,0.513933961124431,0.3689328935247718,0.0711150346934834,-0.1351908665516116,0.0711150346934834,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,635,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,42,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240722,202407,11:05,665,front_weekly,PUT,0.5128235032460843,0.2717718775039558,0.5128235032460843,-0.3,-0.0187110106318625,-0.0187110106318625,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,665,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,43,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240723,202407,10:30,630,front_weekly,PUT,0.5912251946151619,0.3717951593754289,0.5912251946151619,-0.1995863400701991,0.1393869993821577,0.1393869993821577,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,630,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,46,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240723,202407,11:10,670,front_weekly,PUT,0.5882441765894766,0.3424437778963687,0.5882441765894766,-0.091657670304433,0.1394517411456395,0.1394517411456395,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,670,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,47,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240723,202407,12:25,745,front_weekly,PUT,0.535145980841785,0.2881671862259503,0.535145980841785,-0.0095541157525735,-0.0159509576902798,-0.0159509576902798,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,745,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,49,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240724,202407,12:50,770,zero_dte,PUT,0.3241658395961576,-0.1315924519364179,0.3241658395961576,-0.3,-0.3,-0.3,thr0.046_maxday8,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1,770,d80,3,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv,85,,,,,,,1,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240724,202407,11:50,710,zero_dte,PUT,0.2663980980285525,-0.1475454760750139,0.2663980980285525,-0.3,0.5,0.5,thr0.046_maxday8,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1,710,d80,3,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv,83,,,,,,,1,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240724,202407,12:20,740,zero_dte,PUT,0.2663980980285525,-0.1495049145099709,0.2663980980285525,-0.3,0.5,0.5,thr0.046_maxday8,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1,740,d80,3,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv,84,,,,,,,1,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240725,202407,11:00,660,front_weekly,PUT,0.595470224121313,0.3094149662296127,0.595470224121313,0.5,-0.3,-0.3,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,660,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,51,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
