ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_result,entry_minute,union_source,union_source_priority,union_source_file,_20,source_variant,total_votes,action_votes,action_score_mean,action_score_max,variant,config_priority,union_config_sources,union_config_max_day,union_config_cooldown,union_config_min_score,union_config_daily_order,selected_by
SPXW,20240701,202407,12:15,735,front_weekly,PUT,0.5826931746967098,0.3052294956456207,0.5826931746967098,-0.0450450936979482,-0.0738552428899987,-0.0738552428899987,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,735,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,0,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240701,202407,12:45,765,front_weekly,PUT,0.5728953856976825,0.3759026812014457,0.5728953856976825,-0.0990424275208846,0.0521326899973875,0.0521326899973875,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,765,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,1,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240701,202407,13:20,800,front_weekly,PUT,0.5417431858305052,0.2729805221984759,0.5417431858305052,-0.0192554073090482,-0.1499999508261665,-0.1499999508261665,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,800,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,2,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240702,202407,12:30,750,front_weekly,PUT,0.4964139990687328,0.3116550901359167,0.4964139990687328,0.3979239466832032,-0.3,-0.3,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,750,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,4,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240702,202407,13:05,785,zero_dte,PUT,0.3620767124747873,0.1712130342077076,0.3620767124747873,0.5,-0.3,-0.3,cons_votes1_score0.00_maxday3_cool30_maxside2,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1,785,cons_m3s2c30,9,research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,3,d50ret,1.0,1.0,0.3620767124747873,0.3620767124747873,cons_votes1_score0.00_maxday3_cool30_maxside2,2,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240702,202407,13:40,820,zero_dte,PUT,0.2761515840279904,-0.015827905384966,0.2761515840279904,0.5,-0.3,-0.3,thr0.046_maxday8,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1,820,d80,3,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv,6,,,,,,,1,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240703,202407,13:05,785,front_weekly,CALL,0.5767074959021509,0.5767074959021509,0.3263548453058348,-0.1093843379425123,0.0191726071627775,-0.1093843379425123,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,785,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,7,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240703,202407,12:35,755,front_weekly,PUT,0.5521542569700798,0.2659942491736329,0.5521542569700798,0.128865981915385,-0.1865984305067858,-0.1865984305067858,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,755,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,6,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240703,202407,12:05,725,front_weekly,PUT,0.5378944465057177,0.2761795626805161,0.5378944465057177,0.2314286004929315,-0.3,-0.3,thr0.493_maxday4,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_win_fullgrid_call05_minmonth18_v1,725,d65win,2,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv,5,,,,,,,0,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
SPXW,20240705,202407,11:30,690,zero_dte,PUT,0.369555763955956,0.1300070659886217,0.4885636020826039,0.5,-0.3,-0.3,cons_votes1_score0.00_maxday3_cool30_maxside2,202407,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1,690,cons_m3s2c30,9,research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,5,d50ret,2.0,2.0,0.369555763955956,0.4885636020826039,cons_votes1_score0.00_maxday3_cool30_maxside2,2,"d65win,d80,cons_m3s2c30",3,0,-999999.0,score_desc,ranked_select_window
