ticker,month,test_month,mode,selected_source,source_stream,source_path,source_fold_path,select_months,max_day,cooldown,min_score,daily_order,select_score,select_trades,select_win_rate,select_profit_factor,select_pnl_return
SPXW,202501,202501,STATIC_UNION_CONFIG_SCAN_SELECTED,"d65win,d80,cons_m3s2c30",event_static_union_config_scan,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\fold_configs.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\fold_configs.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\fold_configs.csv,"202407,202408,202409,202410,202411,202412",3,0,-999999.0,score_desc,6.841574507675546,378,0.5185185185185185,1.3630415706364372,14.42762901668858
SPXW,202502,202502,STATIC_UNION_CONFIG_SCAN_SELECTED,"d65win,d80,cons_m3s2c30",event_static_union_config_scan,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\fold_configs.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\fold_configs.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\fold_configs.csv,"202407,202408,202409,202410,202411,202412",3,0,-999999.0,score_desc,6.841574507675546,378,0.5185185185185185,1.3630415706364372,14.42762901668858
SPXW,202503,202503,STATIC_UNION_CONFIG_SCAN_SELECTED,"d65win,d80,cons_m3s2c30",event_static_union_config_scan,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\fold_configs.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\fold_configs.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\fold_configs.csv,"202407,202408,202409,202410,202411,202412",3,0,-999999.0,score_desc,6.841574507675546,378,0.5185185185185185,1.3630415706364372,14.42762901668858
SPXW,202504,202504,STATIC_UNION_CONFIG_SCAN_SELECTED,"d65win,d80,cons_m3s2c30",event_static_union_config_scan,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\fold_configs.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\fold_configs.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\fold_configs.csv,"202407,202408,202409,202410,202411,202412",3,0,-999999.0,score_desc,6.841574507675546,378,0.5185185185185185,1.3630415706364372,14.42762901668858
SPXW,202505,202505,STATIC_UNION_CONFIG_SCAN_SELECTED,"d65win,d80,cons_m3s2c30",event_static_union_config_scan,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\fold_configs.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\fold_configs.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\fold_configs.csv,"202407,202408,202409,202410,202411,202412",3,0,-999999.0,score_desc,6.841574507675546,378,0.5185185185185185,1.3630415706364372,14.42762901668858
SPXW,202506,202506,STATIC_UNION_CONFIG_SCAN_SELECTED,"d65win,d80,cons_m3s2c30",event_static_union_config_scan,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\fold_configs.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\fold_configs.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\fold_configs.csv,"202407,202408,202409,202410,202411,202412",3,0,-999999.0,score_desc,6.841574507675546,378,0.5185185185185185,1.3630415706364372,14.42762901668858
SPXW,202507,202507,STATIC_UNION_CONFIG_SCAN_SELECTED,"d65win,d80,cons_m3s2c30",event_static_union_config_scan,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\fold_configs.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\fold_configs.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\fold_configs.csv,"202407,202408,202409,202410,202411,202412",3,0,-999999.0,score_desc,6.841574507675546,378,0.5185185185185185,1.3630415706364372,14.42762901668858
SPXW,202508,202508,STATIC_UNION_CONFIG_SCAN_SELECTED,"d65win,d80,cons_m3s2c30",event_static_union_config_scan,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\fold_configs.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\fold_configs.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\fold_configs.csv,"202407,202408,202409,202410,202411,202412",3,0,-999999.0,score_desc,6.841574507675546,378,0.5185185185185185,1.3630415706364372,14.42762901668858
SPXW,202509,202509,STATIC_UNION_CONFIG_SCAN_SELECTED,"d65win,d80,cons_m3s2c30",event_static_union_config_scan,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\fold_configs.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\fold_configs.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\fold_configs.csv,"202407,202408,202409,202410,202411,202412",3,0,-999999.0,score_desc,6.841574507675546,378,0.5185185185185185,1.3630415706364372,14.42762901668858
SPXW,202510,202510,STATIC_UNION_CONFIG_SCAN_SELECTED,"d65win,d80,cons_m3s2c30",event_static_union_config_scan,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d65win\fold_configs.csv|research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\fold_configs.csv|research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md3_ms2_c30\fold_configs.csv,"202407,202408,202409,202410,202411,202412",3,0,-999999.0,score_desc,6.841574507675546,378,0.5185185185185185,1.3630415706364372,14.42762901668858
