arm,scope,ticker,month,trades,win_rate,profit_factor,pnl_return,avg_return,max_drawdown,call_rate,days_with_trades,daily_win_rate,median_daily_return,daily_max_drawdown,top5_day_return,top5_share_of_pnl,min_month_trades,positive_month_rate
history_2025,overall,ALL,ALL,495,0.4505050505050505,0.8629801500791958,-20.174409612958748,-0.04075638305648232,-27.17967433266145,0.3797979797979798,102,0.4411764705882353,-0.3838664400846144,-25.95218518358221,22.887885049592374,-1.1345008596876442,91,0.2
history_2025,ticker,QQQ,ALL,161,0.4658385093167702,0.8934752819565005,-4.818895005519761,-0.029931024879004727,-14.05639986898937,0.5279503105590062,91,0.43956043956043955,-0.16254544790126074,-14.056399868989374,8.427306635562102,-1.7488047832353928,22,0.4
history_2025,ticker_month,QQQ,202601,40,0.4,0.7849701365901693,-2.8432454914255567,-0.07108113728563892,-7.600161880075939,0.3,20,0.35,-0.1587418964146456,-7.067087888027617,4.556936269592219,-1.6027234663115375,40,0.0
history_2025,ticker_month,QQQ,202602,29,0.4482758620689655,0.9088436035311165,-0.7358772105181746,-0.02537507622476464,-1.8120502201957291,0.6551724137931034,18,0.4444444444444444,-0.33860295076368374,-1.8120502201957291,4.893002269961265,-6.6492102215202635,29,0.0
history_2025,ticker_month,QQQ,202603,43,0.4186046511627907,0.5461170967442162,-6.017867059239467,-0.13995039672649925,-9.19844907081419,0.6976744186046512,22,0.36363636363636365,-0.18715963624442214,-9.198449070814192,3.043771156974036,-0.5057890323949271,43,0.0
history_2025,ticker_month,QQQ,202604,22,0.5909090909090909,1.313089653170206,1.5157394316577704,0.06889724689353502,-1.1932191136653918,0.5909090909090909,15,0.4666666666666667,-0.11893091189132382,-1.1932191136653918,4.020776944756287,2.6526834763140963,22,1.0
history_2025,ticker_month,QQQ,202605,27,0.5555555555555556,1.5584095846801813,3.262355324005667,0.12082797496317285,-1.9385577366312505,0.4074074074074074,16,0.625,0.254411823427749,-1.7229613998341766,6.043014329054553,1.852347071021886,27,1.0
history_2025,ticker,SPXW,ALL,235,0.4085106382978723,0.7112486493477431,-22.93527822266404,-0.09759692860708101,-24.967265293757134,0.3021276595744681,95,0.35789473684210527,-0.283714084348316,-24.967265293757123,12.493171441322989,-0.5447141874641646,32,0.0
history_2025,ticker_month,SPXW,202601,32,0.53125,0.8476004149673606,-1.3506675523080793,-0.04220836100962748,-3.928269095493064,0.28125,16,0.5,0.056168965955536304,-3.928269095493064,3.1385838589371513,-2.323727888164488,32,0.0
history_2025,ticker_month,SPXW,202602,45,0.35555555555555557,0.6344906995004664,-6.2995415895935105,-0.139989813102078,-8.656779076202126,0.13333333333333333,17,0.23529411764705882,-0.29464292414106114,-7.598501043335117,5.090955827277368,-0.8081470302041249,45,0.0
history_2025,ticker_month,SPXW,202603,58,0.3620689655172414,0.5254234178980034,-9.28121598014172,-0.16002096517485725,-11.710630373929481,0.7068965517241379,22,0.36363636363636365,-0.5087272029997384,-11.416688465598607,3.4952372157790657,-0.3765925955454056,58,0.0
history_2025,ticker_month,SPXW,202604,56,0.4107142857142857,0.9096383571808222,-1.7171604543140677,-0.03066357954132264,-5.373865902433126,0.26785714285714285,21,0.38095238095238093,-0.2251462718864068,-3.513691539723666,6.659072820786266,-3.877956078045299,56,0.0
history_2025,ticker_month,SPXW,202605,44,0.4318181818181818,0.7097994965636745,-4.286692646306659,-0.0974248328706059,-7.07552030351616,0.0,19,0.3157894736842105,-0.6186440739608365,-6.543445651277638,6.316983030904828,-1.4736263017007836,44,0.0
history_2025,ticker,SPY,ALL,99,0.5252525252525253,1.3358242437585237,7.579763615225055,0.07656326884065712,-4.073840600274152,0.32323232323232326,99,0.5252525252525253,0.1278195124806296,-4.073840600274152,10.957383700958415,1.4456102138790872,18,0.8
history_2025,ticker_month,SPY,202601,20,0.5,1.0584203407322803,0.2528804471206998,0.01264402235603499,-2.4923737716701613,0.15,20,0.5,0.007886861731846651,-2.4923737716701613,3.467597650862145,13.712399239815728,20,1.0
history_2025,ticker_month,SPY,202602,19,0.5789473684210527,1.8333355797391164,4.074794675166543,0.21446287764034436,-1.9101034652881799,0.42105263157894735,19,0.5789473684210527,0.1399999856948852,-1.9101034652881799,7.616968478037221,1.8692889053915103,19,1.0
history_2025,ticker_month,SPY,202603,22,0.5,1.1903954217161707,0.7091882832651109,0.03223583105750504,-2.1983558282206577,0.5454545454545454,22,0.5,0.0730143875939136,-2.1983558282206577,3.125447480926857,4.407077153809228,22,1.0
history_2025,ticker_month,SPY,202604,18,0.6111111111111112,1.9450768217095773,3.0163546693176,0.16757525940653334,-1.7024301846959267,0.3888888888888889,18,0.6111111111111112,0.3274192448746049,-1.7024301846959267,4.129222708098075,1.3689446901256617,18,1.0
history_2025,ticker_month,SPY,202605,20,0.45,0.926434032180451,-0.47345445964489963,-0.02367272298224498,-4.073840600274153,0.1,20,0.45,-0.33405911721167325,-4.073840600274153,4.911902274113255,-10.374603457737583,20,0.0
history_2025,month,ALL,202601,92,0.4673913043478261,0.8507968510786265,-3.9410325966129385,-0.04283731083274933,-7.600161880075939,0.2608695652173913,20,0.45,-0.5453603765323242,-9.424729063947535,8.927615620062802,-2.265298599086825,92,0.0
history_2025,month,ALL,202602,93,0.43010752688172044,0.901957642850332,-2.960624124945145,-0.03183466801016285,-9.163713798595259,0.3548387096774194,19,0.42105263157894735,-0.25952186689961515,-7.903164301935792,13.886072601841425,-4.6902517901014225,93,0.0
