ticker,year,feature,rows,finite,missing_rate,distinct_finite,minimum,maximum
QQQ,2022,surface_call_level_change_1m,197,186,0.055837563451776595,186,-0.07720388142684276,0.09394948501512546
QQQ,2022,surface_call_skew_change_1m,197,186,0.055837563451776595,186,-0.2282529186221966,0.20445043530263202
QQQ,2022,surface_call_curvature_change_1m,197,186,0.055837563451776595,186,-0.3087666872340294,0.35424766999179214
QQQ,2022,surface_put_level_change_1m,197,182,0.07614213197969544,182,-0.04345081305742071,0.07384132843270247
QQQ,2022,surface_put_skew_change_1m,197,182,0.07614213197969544,182,-0.11468371290523796,0.12202986823675853
QQQ,2022,surface_put_curvature_change_1m,197,182,0.07614213197969544,182,-0.222093542178152,0.22536614097612903
QQQ,2022,surface_call_level_change_5m,197,186,0.055837563451776595,186,-0.1362509114790839,0.1069099470617837
QQQ,2022,surface_call_skew_change_5m,197,186,0.055837563451776595,186,-0.21844232470658356,0.3097368622057031
QQQ,2022,surface_call_curvature_change_5m,197,186,0.055837563451776595,186,-0.5772693008497727,0.4417244349938921
QQQ,2022,surface_put_level_change_5m,197,182,0.07614213197969544,182,-0.10688266460490436,0.06900867973984476
QQQ,2022,surface_put_skew_change_5m,197,182,0.07614213197969544,182,-0.11659256286572094,0.09420295833417298
QQQ,2022,surface_put_curvature_change_5m,197,182,0.07614213197969544,182,-0.34832908381000127,0.16117687373896267
QQQ,2022,surface_call_level_change_15m,197,186,0.055837563451776595,186,-0.12574269425232248,0.1494757314438448
QQQ,2022,surface_call_skew_change_15m,197,186,0.055837563451776595,186,-0.299205765474356,0.2646614799271811
QQQ,2022,surface_call_curvature_change_15m,197,186,0.055837563451776595,186,-0.32502048216786006,0.514993272804464
QQQ,2022,surface_put_level_change_15m,197,182,0.07614213197969544,182,-0.06863174545837986,0.06877489681147742
QQQ,2022,surface_put_skew_change_15m,197,182,0.07614213197969544,182,-0.163150034653138,0.09429087374959084
QQQ,2022,surface_put_curvature_change_15m,197,182,0.07614213197969544,182,-0.2615184329064175,0.2500284603240134
QQQ,2022,surface_call_valid,197,197,0.0,2,0.0,1.0
QQQ,2022,surface_put_valid,197,197,0.0,2,0.0,1.0
QQQ,2022,surface_both_valid,197,197,0.0,2,0.0,1.0
QQQ,2022,surface_call_shared_strikes,197,197,0.0,9,0.0,11.0
QQQ,2022,surface_put_shared_strikes,197,197,0.0,8,0.0,11.0
QQQ,2023,surface_call_level_change_1m,887,879,0.009019165727170209,879,-0.03411147514217264,0.014893969969129284
QQQ,2023,surface_call_skew_change_1m,887,879,0.009019165727170209,879,-0.09708079111682183,0.1109505641196021
QQQ,2023,surface_call_curvature_change_1m,887,879,0.009019165727170209,878,-0.4272694843776586,0.2751515632165914
QQQ,2023,surface_put_level_change_1m,887,875,0.013528748590755368,875,-0.034101397969271224,0.018384199393503664
QQQ,2023,surface_put_skew_change_1m,887,875,0.013528748590755368,875,-0.10316729354625871,0.172018116956054
QQQ,2023,surface_put_curvature_change_1m,887,875,0.013528748590755368,875,-0.3111143866491197,0.38130231703186573
QQQ,2023,surface_call_level_change_5m,887,879,0.009019165727170209,879,-0.04092453649709715,0.034290367866703864
QQQ,2023,surface_call_skew_change_5m,887,879,0.009019165727170209,879,-0.1507620580347305,0.12340403155215837
QQQ,2023,surface_call_curvature_change_5m,887,879,0.009019165727170209,879,-0.3086788221711501,0.41597122465538217
QQQ,2023,surface_put_level_change_5m,887,875,0.013528748590755368,875,-0.051211189914814215,0.035710757110081204
QQQ,2023,surface_put_skew_change_5m,887,875,0.013528748590755368,875,-0.12258507564349018,0.10155272776016996
QQQ,2023,surface_put_curvature_change_5m,887,875,0.013528748590755368,875,-0.3287405733073131,0.32477550412123285
QQQ,2023,surface_call_level_change_15m,887,879,0.009019165727170209,879,-0.060649127184375096,0.06076833841679091
QQQ,2023,surface_call_skew_change_15m,887,879,0.009019165727170209,879,-0.09809674675049539,0.1506731897880994
QQQ,2023,surface_call_curvature_change_15m,887,879,0.009019165727170209,879,-0.29543423900016214,0.3583179401201458
QQQ,2023,surface_put_level_change_15m,887,875,0.013528748590755368,875,-0.06438717360046492,0.05831172977308935
QQQ,2023,surface_put_skew_change_15m,887,875,0.013528748590755368,875,-0.1762209866194669,0.09019340242116505
QQQ,2023,surface_put_curvature_change_15m,887,875,0.013528748590755368,875,-0.30486155172328394,0.3195156745970594
QQQ,2023,surface_call_valid,887,887,0.0,2,0.0,1.0
QQQ,2023,surface_put_valid,887,887,0.0,2,0.0,1.0
QQQ,2023,surface_both_valid,887,887,0.0,2,0.0,1.0
QQQ,2023,surface_call_shared_strikes,887,887,0.0,13,1.0,21.0
QQQ,2023,surface_put_shared_strikes,887,887,0.0,12,1.0,22.0
QQQ,2024,surface_call_level_change_1m,1142,1124,0.015761821366024553,1124,-0.029474742475102234,0.03551845573599843
