ticker,trade_date,month,sensor_ticker,decision_time,entry_time,exit_time,hold_minutes,signal_pressure,side,entry_open,exit_open,underlying_return_bps,gross_bps,net_bps_1bp,net_bps_2bp,net_bps_3bp,net_bps
QQQ,20240102,202401,QQQ,10:35:00,10:36:00,13:36:00,180,0.003049999999999997,1,402.11,403.07,23.845611040772944,23.845611040772944,22.845611040772944,21.845611040772944,20.845611040772944,22.845611040772944
QQQ,20240103,202401,QQQ,10:35:00,10:36:00,13:36:00,180,-0.0014499999999999513,-1,399.29,399.08,-5.260718835707871,5.260718835707871,4.260718835707871,3.2607188357078707,2.2607188357078707,4.260718835707871
QQQ,20240104,202401,QQQ,10:35:00,10:36:00,13:36:00,180,-0.0016999999999999515,-1,397.82,398.15,8.291770265392378,-8.291770265392378,-9.291770265392378,-10.291770265392378,-11.291770265392378,-9.291770265392378
QQQ,20240105,202401,QQQ,10:35:00,10:36:00,13:36:00,180,-0.008199999999999985,-1,399.03,397.27,-44.20451754171696,44.20451754171696,43.20451754171696,42.20451754171696,41.20451754171696,43.20451754171696
QQQ,20240108,202401,QQQ,10:35:00,10:36:00,13:36:00,180,0.0009499999999999786,1,401.36,402.9,38.29612021303859,38.29612021303859,37.29612021303859,36.29612021303859,35.29612021303859,37.29612021303859
QQQ,20240109,202401,QQQ,10:35:00,10:36:00,13:36:00,180,0.003799999999999998,1,403.39,405.28,46.74350331539401,46.74350331539401,45.74350331539401,44.74350331539401,43.74350331539401,45.74350331539401
QQQ,20240110,202401,QQQ,10:35:00,10:36:00,13:36:00,180,-0.004349999999999965,-1,406.65,407.89,30.4466559751201,-30.4466559751201,-31.4466559751201,-32.446655975120095,-33.446655975120095,-31.4466559751201
QQQ,20240111,202401,QQQ,10:35:00,10:36:00,13:36:00,180,0.00635000000000005,1,407.27,407.69,10.307255256303185,10.307255256303185,9.307255256303185,8.307255256303185,7.3072552563031845,9.307255256303185
QQQ,20240112,202401,QQQ,10:35:00,10:36:00,13:36:00,180,0.0008500000000000452,1,409.66,409.46,-4.883289480771614,-4.883289480771614,-5.883289480771614,-6.883289480771614,-7.883289480771614,-5.883289480771614
QQQ,20240116,202401,QQQ,10:35:00,10:36:00,13:36:00,180,-0.005399999999999933,-1,410.18,408.93,-30.520954947253873,30.520954947253873,29.520954947253873,28.520954947253873,27.520954947253873,29.520954947253873
QQQ,20240117,202401,QQQ,10:35:00,10:36:00,13:36:00,180,-0.0007500000000000284,-1,403.96,404.59,15.583455011887603,-15.583455011887603,-16.5834550118876,-17.5834550118876,-18.5834550118876,-16.5834550118876
QQQ,20240118,202401,QQQ,10:35:00,10:36:00,13:36:00,180,0.0010999999999999899,1,411.61,410.02,-38.70360100795044,-38.70360100795044,-39.70360100795044,-40.70360100795044,-41.70360100795044,-39.70360100795044
QQQ,20240119,202401,QQQ,10:35:00,10:36:00,13:36:00,180,0.0003500000000000447,1,415.63,419.33,88.6275802213966,88.6275802213966,87.6275802213966,86.6275802213966,85.6275802213966,87.6275802213966
