ticker,month,trades,win_rate,profit_factor,net_bps,frequency_pass,pnl_positive
QQQ,202401,21,0.6190476190476191,3.376957914438746,322.50254282218367,True,True
QQQ,202402,20,0.5,1.155395699951937,36.36466408502334,True,True
QQQ,202403,20,0.4,0.4424582635448809,-269.9876315223544,True,False
QQQ,202404,22,0.4090909090909091,0.41400794630326443,-456.28434429216185,True,False
QQQ,202405,22,0.45454545454545453,1.088799241279476,18.635614862428056,True,True
QQQ,202406,19,0.47368421052631576,0.47983864599129966,-222.4804607644428,True,False
QQQ,202407,21,0.42857142857142855,0.8658758603748967,-72.04801226026272,True,False
QQQ,202408,22,0.5454545454545454,1.0528521551351522,35.0530322582342,True,True
QQQ,202409,20,0.45,0.740311684103738,-145.70424027096018,True,False
QQQ,202410,23,0.5652173913043478,1.6125139694183304,150.6295235306959,True,True
QQQ,202411,19,0.42105263157894735,1.1119248033869706,34.834100939285854,True,True
QQQ,202412,20,0.55,0.7593692348595238,-94.18263694581879,True,False
SPXW,202401,21,0.47619047619047616,1.49902388163212,77.3118689330157,True,True
SPXW,202402,20,0.45,1.4798146332256306,80.67721279946683,True,True
SPXW,202403,20,0.35,0.3622539727498897,-187.50102043833962,True,False
SPXW,202404,22,0.3181818181818182,0.14164126768368585,-634.4820169000935,True,False
SPXW,202405,22,0.2727272727272727,0.49279077776828406,-117.3911671498551,True,False
SPXW,202406,19,0.42105263157894735,0.9503478505749142,-13.103473806236977,True,False
SPXW,202407,21,0.5238095238095238,0.866947781174359,-48.646900729572074,True,False
SPXW,202408,22,0.3181818181818182,0.6799556611747922,-181.576642137508,True,False
SPXW,202409,20,0.45,1.0321376947972234,12.477130829105363,True,True
SPXW,202410,23,0.391304347826087,1.3470708677699088,77.68724315999343,True,True
SPXW,202411,19,0.3684210526315789,1.1544299649448608,37.36418702872978,True,True
SPXW,202412,18,0.3888888888888889,0.22283018121336431,-323.804398233028,True,False
SPY,202401,21,0.47619047619047616,1.4927058135402689,76.74425692453285,True,True
SPY,202402,20,0.45,1.4928948379304539,82.70449357529431,True,True
SPY,202403,20,0.35,0.35263358085537566,-189.40061660554267,True,False
SPY,202404,22,0.3181818181818182,0.14154043081638223,-631.5681824885098,True,False
SPY,202405,22,0.3181818181818182,0.4903647929268902,-117.6367830335065,True,False
SPY,202406,19,0.42105263157894735,0.9345183987500536,-17.425546201569247,True,False
SPY,202407,21,0.5238095238095238,0.854928387029353,-53.03620651756674,True,False
SPY,202408,22,0.3181818181818182,0.6789184362957452,-182.38679614830616,True,False
SPY,202409,20,0.45,1.0168057404990474,6.601314178319527,True,True
SPY,202410,23,0.43478260869565216,1.3327950004030833,75.01681956279525,True,True
SPY,202411,19,0.3684210526315789,1.1426316748370569,34.55459586465504,True,True
SPY,202412,18,0.3888888888888889,0.217166896576891,-330.64446076147584,True,False
