ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_variant,source_priority,config_selector_mode,selected_variants,selected_max_day,selected_cooldown,selected_daily_order
SPY,20260102,202601,10:00,600,zero_dte,CALL,-0.4473322576007165,-0.4473322576007165,-0.4725766541153081,-0.6,5.0,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260105,202601,10:00,600,zero_dte,PUT,-0.2928156341426419,-0.3844548563163757,-0.2928156341426419,1.1730769936149668,-0.6,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260106,202601,10:00,600,zero_dte,PUT,-0.2423045643072063,-0.4399293083763786,-0.2423045643072063,0.3499999403953562,0.3425925557996034,0.3425925557996034,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260107,202601,10:00,600,zero_dte,CALL,-0.2301431773352988,-0.2301431773352988,-0.2425463439478251,-0.6,0.326271268630367,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260108,202601,10:00,600,zero_dte,CALL,0.0365143697777826,0.0365143697777826,-0.2011198984432095,1.0909090385703015,-0.6,1.0909090385703015,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260109,202601,10:05,605,zero_dte,CALL,-0.0375614352519793,-0.0375614352519793,-0.3279406844186537,2.3175676633529707,-0.6,2.3175676633529707,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260112,202601,10:00,600,zero_dte,PUT,-0.4039847797510408,-0.4974477977312307,-0.4039847797510408,-0.1944444996339281,-0.6,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260113,202601,10:10,610,zero_dte,PUT,-0.394493095054385,-0.4760851994730847,-0.394493095054385,-0.6,0.5227272173097308,0.5227272173097308,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260114,202601,10:00,600,zero_dte,CALL,0.1401345708416669,0.1401345708416669,-0.0595034701865532,-0.6,-0.6,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260115,202601,10:00,600,zero_dte,PUT,-0.0635268155322694,-0.4959562895378325,-0.0635268155322694,0.2754237562101223,-0.6,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260116,202601,10:00,600,zero_dte,PUT,-0.2373753194186789,-0.5242687036798666,-0.2373753194186789,-0.6,0.3418366453241495,0.3418366453241495,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260120,202601,10:00,600,zero_dte,CALL,0.4538204080588065,0.4538204080588065,-0.3413620341517106,-0.6,-0.6,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260121,202601,10:00,600,zero_dte,CALL,-0.1766639016263281,-0.1766639016263281,-0.2845185773022486,0.3970588029049668,-0.6,0.3970588029049668,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260122,202601,10:00,600,zero_dte,PUT,-0.179995685841368,-0.2515674499961429,-0.179995685841368,0.3362069709689403,-0.6,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260123,202601,10:00,600,zero_dte,PUT,-0.0933734455191756,-0.5838795189681033,-0.0933734455191756,0.4166666666666667,-0.6,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260126,202601,10:00,600,zero_dte,CALL,0.0660114813587413,0.0660114813587413,-0.1027523719177903,0.7857142515024362,-0.6,0.7857142515024362,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260127,202601,10:00,600,zero_dte,CALL,-0.2600981266886533,-0.2600981266886533,-0.4786743380347511,0.3815789803903853,-0.6,0.3815789803903853,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260128,202601,10:00,600,zero_dte,CALL,0.0478812777435473,0.0478812777435473,-0.3778189224670875,-0.6,0.25,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260129,202601,10:10,610,zero_dte,CALL,0.1500988802413399,0.1500988802413399,-0.162179932918467,-0.6,1.083333167764882,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260130,202601,10:00,600,zero_dte,PUT,-0.0658830553349729,-0.2026758331929459,-0.0658830553349729,0.75,-0.6,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260202,202602,10:10,610,zero_dte,PUT,0.5237102631530429,-0.4071991494402027,0.5237102631530429,0.7055555967637062,-0.6,-0.6,thr-0.200_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260203,202602,10:15,615,zero_dte,PUT,0.4041060947568473,-0.1632577197139149,0.4041060947568473,-0.6,0.3729507972463046,0.3729507972463046,thr-0.200_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260204,202602,10:00,600,zero_dte,PUT,0.4975996342586757,0.0046752884146236,0.4975996342586757,1.1370967865982609,-0.6,-0.6,thr-0.200_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc
SPY,20260205,202602,10:15,615,zero_dte,PUT,0.4883394682601244,0.1457629624423265,0.4883394682601244,0.3552632156831743,-0.6,-0.6,thr-0.200_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc
