ticker,month,rows,days,frozen_rmse,adapted_rmse,persistence_rmse,frozen_mean_error,adapted_mean_error,mean_parameter_norm,rollbacks
QQQ,202601,450,19,0.35780824341705214,0.35580348823659935,0.33865239866962665,0.31960094653897814,0.31724471774366164,0.005453353283228352,0
QQQ,202602,301,15,0.24160684794115464,0.2394862269135906,0.23463178555826109,0.22861286428481636,0.22618428219196407,0.005693422995145708,0
QQQ,202603,425,20,0.3216654407992207,0.3191491778781157,0.3189715808323944,0.3016949269000222,0.2985769756751902,0.007043130382046322,0
QQQ,202604,435,17,0.40992884621468345,0.40787264606605095,0.41070520994631676,0.3731519056120138,0.3705660572853582,0.00840304536629875,0
QQQ,202605,466,19,0.33239638631928764,0.33048096200516525,0.33168163810206713,0.3022996423678081,0.2999039731216277,0.007302663789271645,0
SPXW,202601,579,20,0.31846388493143785,0.3156346776821231,0.3071596251577938,0.2949019587873795,0.2917400565326523,0.0068251472328920626,0
SPXW,202602,408,17,0.2685726148958999,0.26607391398034974,0.26348192257779957,0.25055453181266785,0.24763117025734163,0.005875924368606944,0
SPXW,202603,459,20,0.28792288078966166,0.2860854601519544,0.3013697443790629,0.26720703969464066,0.2648670593183285,0.005681874774663236,0
SPXW,202604,593,20,0.2828150886310112,0.2806774138669599,0.2899485534666119,0.25995461141429904,0.25740726716803863,0.007473484133401632,0
SPXW,202605,586,20,0.2817841642489863,0.2799519603072088,0.29506870867987983,0.26106255785037635,0.25895562963782726,0.007152246269786813,0
SPY,202601,579,20,0.33857294259260673,0.33598871238570616,0.3139975199636179,0.3117477530307926,0.3088470681703976,0.006600784335590236,0
SPY,202602,400,17,0.31261870822497445,0.3107687565976998,0.3175172659384575,0.28833469143137336,0.2862719656713307,0.006113345961930463,0
SPY,202603,496,21,0.3527161600604104,0.3498893747864567,0.3507395459922273,0.3286036669967636,0.32508365963135033,0.007768119226731811,0
SPY,202604,525,17,0.390999082484084,0.38884822195217567,0.3970165516345297,0.35953529746759505,0.356884046963283,0.008810309990131784,0
SPY,202605,583,19,0.3827827895814279,0.3809226744982622,0.3978035225868905,0.35964319646665205,0.3573127554835014,0.00908476982935049,0
