arm,ticker,month,rows,mae,rmse,directional_accuracy,mae_to_train_mean_ratio,uncertainty_error_spearman,effective_rank_ratio,max_pc_var_ratio
deterministic,QQQ,202601,954,0.6098269448764749,0.7533067371376674,0.519916142557652,1.0792435946134584,,0.22309932382929834,0.577332901962959
deterministic,QQQ,202602,650,0.6304089134223192,0.7314443988654576,0.38769230769230767,1.1861186108130606,,0.2500970223572605,0.5332610142030992
deterministic,QQQ,202603,912,0.5903330903784838,0.7129217563457307,0.5668859649122807,0.994849852604264,,0.22063535148767002,0.5132171601672754
deterministic,QQQ,202604,910,0.592344208770725,0.7204414847949611,0.5582417582417583,1.0292505029419956,,0.24477368691403495,0.6226130120516383
deterministic,QQQ,202605,984,0.5709388166739073,0.7228666875392364,0.5619918699186992,0.9882973050031855,,0.24611566835997767,0.5499810052745042
deterministic,SPXW,202601,1206,0.6224150675467752,0.7733083238247752,0.5364842454394693,1.0208127772463682,,0.19843725024758654,0.5970755500329216
deterministic,SPXW,202602,860,0.6350916110425308,0.7691441383254161,0.5279069767441861,1.0601021850270216,,0.19706171881548318,0.6481827261170342
deterministic,SPXW,202603,978,0.5489665258364271,0.686799108955654,0.6431492842535788,0.9155240838105765,,0.21144289434203473,0.6220360458230232
deterministic,SPXW,202604,1234,0.5684411408275556,0.802480852272156,0.6345218800648298,0.911026543928443,,0.23808095027756315,0.6130209604521761
deterministic,SPXW,202605,1220,0.7471479336815423,0.9365790900137319,0.489344262295082,1.2122687026379784,,0.16364585159608813,0.7553521734326815
deterministic,SPY,202601,1208,0.6254447569865011,0.7613616529021371,0.4826158940397351,1.068342867549377,,0.25925501277415985,0.47220837414094186
deterministic,SPY,202602,844,0.6424352784932016,0.7660366433856639,0.49644549763033174,1.1124526149361242,,0.24594747457927252,0.602716300846808
deterministic,SPY,202603,1054,0.6224249209349583,0.7493983722841374,0.5464895635673624,1.0460683246275968,,0.2334161226439464,0.4825940690474116
deterministic,SPY,202604,1090,0.5771608841758296,0.7175601681119067,0.5834862385321101,0.9822489447515294,,0.22330297191973247,0.6572344975194753
deterministic,SPY,202605,1210,0.6092104913795936,0.7653892546905734,0.5652892561983471,1.0157225481290117,,0.23907267151085168,0.5928483498754699
