ticker,month,rows,distance_mean,distance_p95,distance_error_spearman
QQQ,202601,477,12.141181533941433,15.428496742248534,0.27745178753588745
QQQ,202602,325,12.132229849008413,14.07179527282715,0.09898204953419679
QQQ,202603,456,12.823920191380015,15.212948083877563,0.22507704204122495
QQQ,202604,455,10.627984285878611,11.90683898925781,-0.010889134051665932
QQQ,202605,492,9.930481735283767,11.31640419960022,-0.09292974828262307
SPXW,202601,603,13.338809400846314,15.351836776733398,0.22654499389260818
SPXW,202602,430,11.174109412348548,12.548038339614868,-0.18720739682267767
SPXW,202603,489,13.405365376384712,15.308727645874022,-0.0006068262566014037
SPXW,202604,617,10.874596391736592,12.144165802001952,0.037247056101991506
SPXW,202605,610,9.595013243253113,10.334525871276854,0.2008039663797031
SPY,202601,604,12.236180610214637,14.855181980133057,0.2885681097082606
SPY,202602,422,12.968686286872032,14.206459856033325,0.15967774012825856
SPY,202603,527,13.337259712436394,15.624228763580323,0.12337360152852106
SPY,202604,545,10.795854194011163,12.188095474243164,0.09113762653967727
SPY,202605,605,9.856177801337124,11.562916564941405,-0.01906342952176012
