rows,acc,bal_acc,macro_f1,trade_rate,trade_precision,avg_trade_conf,run,month,task,mae,r2,direction_acc
4503,0.6342438374417055,0.3655632539890572,0.3273301937076708,0.07461692205196535,0.33630952380952384,,baseline_sigvic,202602,target_cls,,,
4161,,,,,,,baseline_sigvic,202602,ret_30m_bps_reg,19.076385432598922,-0.19961558197951623,0.48642153328526794
5214,0.5115074798619103,0.35694945111879745,0.297880409616935,0.09685462217107786,0.299009900990099,,baseline_sigvic,202603,target_cls,,,
4818,,,,,,,baseline_sigvic,202603,ret_30m_bps_reg,18.043937208288284,-0.026938908738686207,0.4925280199252802
4345,0.5737629459148447,0.3395968648698449,0.27372479988657544,0.03958573072497123,0.3023255813953488,,baseline_sigvic,202604,target_cls,,,
4015,,,,,,,baseline_sigvic,202604,ret_30m_bps_reg,12.931457606473371,-0.09066266070651441,0.4717310087173101
4424,0.6399186256781193,0.34158927610377887,0.28486718214976237,0.020795660036166366,0.33695652173913043,,baseline_sigvic,202605,target_cls,,,
4088,,,,,,,baseline_sigvic,202605,ret_30m_bps_reg,12.136991934004683,-0.04802352545221189,0.4933953033268102
4661,0.5902166916970607,0.3924261427553368,0.38037086442591034,0.18043338339412143,0.3032104637336504,,baseline_sigvic,202606,target_cls,,,
4307,,,,,,,baseline_sigvic,202606,ret_30m_bps_reg,18.581887889178933,-0.031007623046552135,0.4629672625957743
4503,0.6213635354208306,0.36230603760212815,0.32842901589546586,0.10170997113035754,0.27292576419213976,,visreg_straight,202602,target_cls,,,
4161,,,,,,,visreg_straight,202602,ret_30m_bps_reg,18.135692538775096,-0.12277476440648782,0.4938716654650324
5214,0.5093977752205601,0.37085073955446496,0.34016312620243,0.16359800537015726,0.3493552168815944,,visreg_straight,202603,target_cls,,,
4818,,,,,,,visreg_straight,202603,ret_30m_bps_reg,18.172860699997756,-0.030772428558024867,0.49356579493565794
4345,0.57307249712313,0.33168117213750664,0.25221783935774067,0.02186421173762946,0.16842105263157894,,visreg_straight,202604,target_cls,,,
4015,,,,,,,visreg_straight,202604,ret_30m_bps_reg,12.907747363453202,-0.07119064235898742,0.4642590286425903
4424,0.5877034358047016,0.3336139997685828,0.298598992598347,0.1195750452079566,0.14555765595463138,,visreg_straight,202605,target_cls,,,
4088,,,,,,,visreg_straight,202605,ret_30m_bps_reg,12.544813079837516,-0.08513662150122792,0.4777397260273973
4661,0.5790602874919545,0.3850782248686488,0.38169533753482,0.21304441107058572,0.2759315206445116,,visreg_straight,202606,target_cls,,,
4307,,,,,,,visreg_straight,202606,ret_30m_bps_reg,18.83433874334767,-0.04595052636765162,0.5008126306013466
