rows,acc,bal_acc,macro_f1,trade_rate,trade_precision,avg_trade_conf,run,group
27887,0.38361960770251374,0.36885879072171407,0.3444538376306738,0.6649334815505432,0.20821873483255138,0.35681715971834804,baseline_sigvic,overall
9085,0.386020913593836,0.36837991621508887,0.32956380711406036,0.6653824986241057,0.17452440033085195,0.3659919608664769,baseline_sigvic,ticker:QQQ
9717,0.3657507461150561,0.3550475038827218,0.33335345133001154,0.6655346300298446,0.20117519715478582,0.35377333509658426,baseline_sigvic,ticker:SPX
9085,0.4003302146395157,0.38322617817233423,0.36806787438702065,0.6638414969730325,0.2495440225501575,0.35088493303761636,baseline_sigvic,ticker:SPY
4740,0.3491561181434599,0.4181170864247153,0.33883777251858865,0.7875527426160338,0.2351995713903027,0.3690009983812808,baseline_sigvic,month:202601
4503,0.4994448145680657,0.42434653519322163,0.39815640032128835,0.5336442371752165,0.22888056595921766,0.3530070351353795,baseline_sigvic,month:202602
5214,0.36171845032604527,0.338743652604587,0.3211893550357476,0.5991561181434599,0.1943021766965429,0.3462925245091033,baseline_sigvic,month:202603
4345,0.4223245109321059,0.37908199965111605,0.371917703441944,0.587571921749137,0.24520172346259303,0.34153626933314496,baseline_sigvic,month:202604
4424,0.3623417721518987,0.39680856982692075,0.34284417337118067,0.7520343580470162,0.21160204388337842,0.3651536600096003,baseline_sigvic,month:202605
4661,0.31538296502896374,0.32175765051693245,0.2812975372152467,0.7301008367303153,0.14575374669409344,0.3591177758577113,baseline_sigvic,month:202606
27887,0.4006167748413239,0.37412107321808996,0.3553285427196257,0.6362821386309033,0.2119589720468891,0.3547917792843982,visreg_straight,overall
9085,0.4143093010456797,0.3765115349831308,0.34639728544974796,0.6237754540451294,0.17981295217928356,0.3545334836741236,visreg_straight,ticker:QQQ
9717,0.3597818256663579,0.36207075626617646,0.3358887832196799,0.6935268086858084,0.2067072265914824,0.36158196426212724,visreg_straight,ticker:SPX
9085,0.4305998899284535,0.3876652565197966,0.3801799550302675,0.5875619152449092,0.25271637317347323,0.3464936722515227,visreg_straight,ticker:SPY
4740,0.3472573839662447,0.4131896536730382,0.3376739262839586,0.7843881856540085,0.23103819257665412,0.36744038613173446,visreg_straight,month:202601
4503,0.47235176548967356,0.3873505559541676,0.37228095420096013,0.5252054186098157,0.20042283298097252,0.35158623296917113,visreg_straight,month:202602
5214,0.3954737245876486,0.3623565386502052,0.3497488059678841,0.5897583429228999,0.2110569105691057,0.3511874043263071,visreg_straight,month:202603
4345,0.43014959723820484,0.3902127878114243,0.38273069235436136,0.5855005753739931,0.2613993710691824,0.34695705986997616,visreg_straight,month:202604
4424,0.3535262206148282,0.3795102291780774,0.3330421929489457,0.7398282097649186,0.20226092270088603,0.357776635244211,visreg_straight,month:202605
4661,0.4084960308946578,0.35633899439357836,0.33285865492382866,0.5940785239219052,0.1632358252076562,0.34821869961920093,visreg_straight,month:202606
