ticker,month,eligible_events,zero_pressure_events,trades,win_rate,profit_factor,net_bps,frequency_pass,win_rate_pass,profit_factor_pass,pnl_pass,month_pass
QQQ,202301,20,0,20,0.55,0.9747614753260583,-13.933978348030955,True,True,False,False,False
QQQ,202302,19,0,19,0.3684210526315789,0.6596609129535848,-199.3222434132444,True,False,False,False,False
QQQ,202303,23,0,23,0.43478260869565216,0.8150397087880011,-111.75619922109085,True,False,False,False,False
QQQ,202304,19,0,19,0.47368421052631576,0.7514072796118844,-107.26957438260942,True,True,False,False,False
QQQ,202305,22,1,21,0.3333333333333333,0.5795972305844939,-225.15382901541332,True,False,False,False,False
QQQ,202306,21,0,21,0.42857142857142855,0.8069288735227037,-100.63730174681342,True,False,False,False,False
QQQ,202307,19,1,18,0.5555555555555556,1.2412072672287289,62.44458245528198,True,True,True,True,True
QQQ,202308,23,0,23,0.5217391304347826,1.319787652721207,105.94359252811576,True,True,True,True,True
QQQ,202309,20,1,19,0.631578947368421,1.8847707203234203,254.44697489005338,True,True,True,True,True
QQQ,202310,22,3,19,0.6842105263157895,1.9860647396560254,294.04777246540607,True,True,True,True,True
QQQ,202311,20,0,20,0.55,0.6995134958032516,-113.84951209787317,True,True,False,False,False
QQQ,202312,20,2,18,0.3888888888888889,0.6072847434756947,-115.25602971092243,True,False,False,False,False
SPXW,202301,20,0,20,0.5,0.6489506278615098,-192.4266333444721,True,True,False,False,False
SPXW,202302,19,0,19,0.3157894736842105,0.38619879881212626,-323.3388537724276,True,False,False,False,False
SPXW,202303,23,0,23,0.21739130434782608,0.45305157324391393,-391.13041096463974,True,False,False,False,False
SPXW,202304,19,0,19,0.47368421052631576,0.9020565804295292,-28.136869163001787,True,True,False,False,False
SPXW,202305,22,0,22,0.6363636363636364,2.1548551715611013,222.77312813402528,True,True,True,True,True
SPXW,202306,21,0,21,0.5238095238095238,1.095383252404606,26.36409065979127,True,True,False,True,False
SPXW,202307,19,0,19,0.6842105263157895,2.540174161057774,173.27815501369798,True,True,True,True,True
SPXW,202308,23,0,23,0.5652173913043478,1.5414509977597477,130.65999606156166,True,True,True,True,True
SPXW,202309,20,0,20,0.5,1.5778011564354744,143.30201411587578,True,True,True,True,True
SPXW,202310,22,0,22,0.4090909090909091,0.5349617123733825,-296.98225410762575,True,False,False,False,False
SPXW,202311,20,0,20,0.4,0.31543520735311603,-230.20904074920304,True,False,False,False,False
SPXW,202312,20,0,20,0.55,1.8670073183591411,100.23917634008674,True,True,True,True,True
SPY,202301,20,1,19,0.631578947368421,0.9029126294062433,-46.22277069268631,True,True,False,False,False
SPY,202302,19,0,19,0.47368421052631576,0.7612208117287105,-97.80574427040787,True,True,False,False,False
SPY,202303,23,0,23,0.4782608695652174,1.0100031197630266,5.088401893761215,True,True,False,True,False
SPY,202304,19,0,19,0.5263157894736842,0.6636762591324692,-111.05350707067377,True,True,False,False,False
SPY,202305,22,1,21,0.5714285714285714,0.7205895440899146,-89.70069084472188,True,True,False,False,False
SPY,202306,21,0,21,0.42857142857142855,0.30634878521128006,-307.31199244959697,True,False,False,False,False
SPY,202307,19,1,18,0.3333333333333333,0.6056216250451013,-96.3725442207313,True,False,False,False,False
SPY,202308,23,1,22,0.45454545454545453,1.1285967074987509,30.104337734428267,True,True,False,True,False
SPY,202309,20,1,19,0.3684210526315789,0.8960758939767801,-34.28938262579912,True,False,False,False,False
SPY,202310,22,0,22,0.6818181818181818,1.8489347977078483,288.9805491210427,True,True,True,True,True
SPY,202311,20,0,20,0.4,0.3692220588442629,-202.90516166569387,True,False,False,False,False
SPY,202312,20,1,19,0.47368421052631576,0.56421812915139,-91.91796616342529,True,True,False,False,False
