ticker,trades,win_rate,profit_factor,net_bps,min_month_trades,positive_months,months_passing,all_months_pass
QQQ,240,0.49166666666666664,0.9467777198647689,-270.2957455971409,18,4,4,False
SPXW,248,0.4798387096774194,0.8429790940604568,-665.6075017763313,19,6,5,False
SPY,242,0.48760330578512395,0.8193299445610954,-753.4064712545041,18,3,1,False
