ticker,trade_date,source_sha256,underlying_rows,required_window_minutes,expected_required_window_minutes,out_of_scope_invalid_rows
QQQ,20230103,4945926239a47c2f2c080dea4338c662860c126eb0a550866cda888bb8fb578b,391,390,390,0
QQQ,20230104,7d176aa1366a152bbdc6901c858cb2b382b5d17b6d9e99f26ebc2fb8c27ce0e9,391,390,390,0
QQQ,20230105,c415faa04fa906a5fb4311b7a4749a702db5b8a64eee912900d5bb87b9bba9c4,391,390,390,0
QQQ,20230106,ae382491029d9eea18012e6cd96aaafde6894fe14e4360d979b82409d6b2d2a7,391,390,390,0
QQQ,20230109,8b6a84ed1ea1b208b4357f7efda6d530a9452be1c04d76c58fa56a106d69040a,391,390,390,0
QQQ,20230110,b730c4e89aae9d88cb97bf21795f2a4dfe81570ac67c04fc209d702588c50391,391,390,390,0
QQQ,20230111,1b1b1821df316deb7943215a5e6ad1f62bd25cc959519e6e9d6362dca799c43a,391,390,390,0
QQQ,20230112,47f9a75c6202fbd711b876b5333f7c7d9e7ada27094a0b3020121c53d24ef6cd,391,390,390,0
QQQ,20230113,ada9905d28001100d0fe0d82b9b9f289224fcead73823e489d721beb54398934,391,390,390,0
QQQ,20230117,4abddc3ac3e63779c72bad0e582cccb087c06b42c9313605af0743f0dd3da82f,391,390,390,0
QQQ,20230118,db108110dbfc266159ebcd4767f9fd1770069189f0ac85960d2f4a959408363e,391,390,390,0
QQQ,20230119,cd6cc54f4d474270e9a1d206632e63416dcf77b3cb0caeae49d25bbb2fc74386,391,390,390,0
QQQ,20230120,3f49f69b4884ab8625f236e62b731b7f724582b2fe9f95cd8b0747392dc20dc3,391,390,390,0
QQQ,20230123,5ad9a4fb9c05a9d072c59aececc13f34076f688ea0a8a4eaaade3e3920cdc0ff,391,390,390,0
QQQ,20230124,3d245bcd1871af39e168673697a55c9074e5cf3cf09bc96c2859ebc94d32ff6b,391,390,390,0
QQQ,20230125,f9e1b8cbc641463902e9a39f0d5c48bd403ee550d80ef33d6a902e0fbc381f69,391,390,390,0
QQQ,20230126,3157bff7030790cd0d3f8c9691bcb2ffbc5323f5fd315dfacc593f6ca8c88e4c,391,390,390,0
QQQ,20230127,97f5072184feb565e415f0046caaaf7dc43bda227c4311492e0b449512e5b0e3,391,390,390,0
QQQ,20230130,40fdfc552ef294507c7f4afad03a024ddcaded63c614aa2ea15abb969132567c,391,390,390,0
QQQ,20230131,d469e28c98af4047e27d17d60c3caf43ef353c705c6fbfb72469c6634aa9236e,391,390,390,0
QQQ,20230201,e89063b8b8c118f8e60373ad5483e62f08bffc490002e06270a522b466a0dfd2,391,390,390,0
QQQ,20230202,b84a537c50380f9b4799833b80eb4fd100a7083f97ca7af20ce1683374302bcc,391,390,390,0
QQQ,20230203,76146ad42fa4ac45dac2bfb456c7a78c0acbb3c77b6f1b11879c82f9dfe85976,391,390,390,0
QQQ,20230206,9d36f678c6df2db5cb2d61da100ec5935c6d0001bc7dee24441fc1e78b4bf9de,391,390,390,0
QQQ,20230207,947f2e64050df30ec89719c129e7d7a458e5b7a3415a08be137600aeee41d76f,391,390,390,0
QQQ,20230208,3818702faf694a5d0c9956a0e6387e7712b06700564520d6cc9cb95269fe17a0,391,390,390,0
QQQ,20230209,85b47049f439d2a95e818e0b9d86d9684453b89699211578512677bba07b4806,391,390,390,0
QQQ,20230210,08de4c859e64a8ba9371c87f55a57caf47776befdee897f94cbc7d2880821f49,391,390,390,0
QQQ,20230213,af96a5aab75f74948b4ce9e872390bc0684dd3e4212584501f8d2ae60f8af3b5,391,390,390,0
QQQ,20230214,8329d78770af562748d68b193e9b286921e1bfca5c1c0f97f8526b3b33f90ae5,391,390,390,0
QQQ,20230215,62965396a3b8dcde832693a55cf0a80bbbda907134cc51710cb44998f9b65695,391,390,390,0
QQQ,20230216,2afa039331f0522b89e1bbea055b461e6ceca08d5158ce9e66d4d65ac4506f7d,391,390,390,0
QQQ,20230217,a77096e47505643d49d83fcc7c4ef020fd00a36f70e7e98e3d7001aa18bceb52,391,390,390,0
QQQ,20230221,22676474408d16bbeacc59af3863e685288420909b3fee48a82b96e246bff86f,391,390,390,0
