profile_id,worst_positive_months,total_positive_months,worst_profit_factor,worst_monthly_q25,rank,selected
ONLINE_LINEAR_EXPANDING,5,17,0.9764208562382711,-224.57595746561861,1,True
ONLINE_LINEAR_ROLL63,5,16,0.8870851741649176,-198.8388707715007,2,False
ONLINE_LINEAR_ROLL126,3,12,0.8336526142346653,-239.5960581637524,3,False
