ticker,trade_date,minute,ret_15m_bps,option_price_mode,call_d25_opt_exit_ret,call_d25_opt_exit_minutes,call_d35_opt_exit_ret,call_d35_opt_exit_minutes,put_d25_opt_exit_ret,put_d25_opt_exit_minutes,put_d35_opt_exit_ret,put_d35_opt_exit_minutes,wall_net_gamma_total_log,lag_minute,gex_log_lag45,net_gex_proxy,net_gex_proxy_lag45,net_gex_slope15,month,action,score,realized_return,exit_minutes,date,deploy_config,arm,policy
SPY,20230201,690,13.838034217876771,executable_quote,-0.46341463237344893,180,-0.3758865134300259,180,-0.15789471372673025,180,-0.10691828473280662,180,19.807469944408744,645.0,19.703469023017334,400197983.71586806,360668214.4861761,13176589.743230661,202302,PUT,1.0,-0.10691828473280662,180.0,20230201,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPY,20230202,680,-14.401373155547015,executable_quote,0.7413793440097587,164,0.4516129176979713,165,-0.6093749912688506,105,-0.6315789490195193,141,21.225514685335643,635.0,21.215577585494763,1652433166.0557508,1636094088.6672556,5446359.129498403,202302,CALL,1.0,0.4516129176979713,165.0,20230202,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPY,20230203,680,-1.4422143021886047,executable_quote,-0.6122449103716459,41,-0.600000014901161,98,0.22807016993493567,43,0.25581398250090825,43,20.89434183037846,635.0,20.85463988545173,1186580916.951902,1140394263.3143923,15395551.212503195,202302,CALL,1.0,-0.600000014901161,98.0,20230203,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPY,20230206,710,-17.281037958637448,executable_quote,-0.6285714358699566,107,-0.625,117,-0.6551723987324763,141,-0.6000000108372079,143,-20.761162014091074,665.0,-20.721915627108913,-1038623393.4341166,-998650700.2856895,-13324231.049475709,202302,PUT,1.0,-0.6000000108372079,143.0,20230206,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPY,20230207,695,16.842061980872902,executable_quote,2.1599998474121094,84,1.672896967193271,85,-0.6065573950699339,72,-0.6083333498901784,73,18.200670457168705,650.0,-18.798360034481192,80251053.26676808,-145889497.64011842,75380183.63562883,202302,PUT,1.0,-0.6083333498901784,73.0,20230207,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPY,20230208,680,-0.4856044917234126,executable_quote,-0.6037735758875132,45,-0.6117647013449753,81,1.4736842352927888,30,1.2153847846759205,30,-20.072874068272572,635.0,-19.990657365689756,-521841294.63663596,-480653581.40049446,-13729237.7453805,202302,PUT,1.0,1.2153847846759205,30.0,20230208,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPY,20230209,730,18.244180269071375,executable_quote,-0.7142857218883475,30,-0.7037037221001983,30,1.3783783348395588,32,1.1666665010982156,32,20.195564761435232,685.0,19.781282542833353,589959683.6544625,389853872.2232265,66701937.143745326,202302,PUT,1.0,1.1666665010982156,32.0,20230209,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPY,20230210,680,20.414607635790283,executable_quote,-0.6486486660641765,39,-0.625,43,0.4489795198444537,48,0.48000001907348633,48,-20.59212035353748,635.0,-20.402196803405992,-877090162.0417436,-725373173.1833328,-50572329.619470276,202302,CALL,1.0,-0.625,43.0,20230210,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPY,20230213,680,0.4855591376551338,executable_quote,-0.25581398250090825,180,-0.25581398250090825,180,-0.604651165208409,83,-0.6056337892193328,127,21.187066166035915,635.0,20.85942032493973,1590105439.9392152,1145858900.3640208,148082179.8583981,202302,PUT,1.0,-0.6056337892193328,127.0,20230213,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPY,20230214,690,-32.102125936460666,executable_quote,1.4727272451416527,98,1.1954022484516154,100,0.0,30,0.04999995231628418,30,-19.469297051802666,645.0,-18.67927160135864,-285369973.30182785,-129510380.42808685,-51953197.62458033,202302,PUT,1.0,0.04999995231628418,30.0,20230214,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPY,20230215,710,24.052240517362655,executable_quote,-0.6315789411768027,30,-0.6315789411768027,30,0.9487179957433112,37,0.797101469306329,38,12.751624753607201,665.0,-20.061873610246852,345111.16309857386,-516132259.93696636,172159123.70002165,202302,PUT,1.0,0.797101469306329,38.0,20230215,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPY,20230216,695,4.1340651120824745,executable_quote,0.4883720349981835,78,0.37974684021828575,80,-0.6296296388278769,60,-0.6296296388278769,60,-19.891310611512267,650.0,-19.85504775523117,-435197543.6112512,-419698751.2032636,-5166264.135995865,202302,CALL,1.0,0.37974684021828575,80.0,20230216,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPY,20230217,680,-3.2099971064813992,executable_quote,-0.4693877848919502,180,-0.2820512526604305,180,-0.618181838378433,161,-0.6551724019808474,163,-21.31446149000848,635.0,-20.750812481054172,-1806146648.6632524,-1027929559.8462578,-259405696.2723315,202302,PUT,1.0,-0.6551724019808474,163.0,20230217,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPY,20230221,680,-7.4754000023424805,executable_quote,-0.636363642521141,111,-0.602739747838066,125,0.8095238433132916,180,0.916666583882441,180,-21.04452325740551,635.0,-20.979274599918764,-1378860481.1107128,-1291764046.582742,-29032144.84265693,202302,PUT,1.0,0.916666583882441,180.0,20230221,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPY,20230222,760,2.499652741254632,executable_quote,-0.6428571390558262,94,-0.688888879322711,96,-0.6153845955457906,91,0.22222223039844224,114,17.686993164499217,715.0,-19.585953117892707,48013517.49338348,-320679620.1981545,122897712.56384599,202302,PUT,1.0,0.22222223039844224,114.0,20230222,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPY,20230223,680,-24.29132532584477,executable_quote,-0.6078431240781732,32,-0.6279069912504541,35,1.0,30,1.183333151208037,44,-17.578696873471326,635.0,19.85814081560587,-43085490.465441175,420998914.4882268,-154694801.65122265,202302,PUT,1.0,1.183333151208037,44.0,20230223,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPY,20230224,705,11.888833042448255,executable_quote,-0.6052631372560091,63,-0.6153846012770066,71,0.26530610755402484,95,0.3500000335276121,95,-21.802530462762032,660.0,-21.762585990366695,-2942514904.7520914,-2827294233.512784,-38406890.41310247,202302,CALL,1.0,-0.6153846012770066,71.0,20230224,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPY,20230227,740,5.529752854795955,executable_quote,0.3200000524520874,63,0.21568630659227384,64,-0.6170212604061626,53,-0.6170212604061626,53,19.87748735253484,695.0,19.482340033917154,429223083.6337623,289116428.1324347,46702218.50044253,202302,PUT,1.0,-0.6170212604061626,53.0,20230227,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPY,20230228,680,3.0148768685034355,executable_quote,-0.5937500058207662,180,-0.3968253998289063,180,-0.6764705933914053,92,-0.6101694671253598,94,17.624563787636344,635.0,-19.431650669188105,45107710.9999633,-274826532.4615189,106644747.82049406,202302,PUT,1.0,-0.6101694671253598,94.0,20230228,thr-inf_maxday1,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
