config,threshold,max_trades_per_day,selection_score,val_trades,val_win_rate,val_profit_factor,val_pnl_return,val_avg_return,val_max_drawdown,val_call_rate,val_days_with_trades,val_daily_win_rate,val_median_daily_return,val_daily_max_drawdown,val_top5_day_return,val_top5_share_of_pnl,val_min_month_trades,val_positive_month_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_avg_return,test_max_drawdown,test_call_rate,test_days_with_trades,test_daily_win_rate,test_median_daily_return,test_daily_max_drawdown,test_top5_day_return,test_top5_share_of_pnl,test_min_month_trades,test_positive_month_rate
thr0.385_maxday1,0.38517512,1,8.635324471225967,116,0.5948275862068966,2.446808510638297,20.4,0.17586206896551723,-1.299999999999999,0.22413793103448276,116,0.5948275862068966,0.5,-1.299999999999999,2.5,0.12254901960784315,17,1.0,20,0.25,0.5555555555555557,-1.9999999999999998,-0.09999999999999999,-2.2,0.1,20,0.25,-0.3,-2.2,2.5,-1.2500000000000002,20,0.0
thr0.358_maxday1,0.35836644,1,8.588772224735955,118,0.5932203389830508,2.4305555555555554,20.6,0.1745762711864407,-1.5999999999999988,0.2542372881355932,118,0.5932203389830508,0.5,-1.5999999999999988,2.5,0.12135922330097086,17,1.0,20,0.25,0.5555555555555557,-1.9999999999999998,-0.09999999999999999,-2.2,0.15,20,0.25,-0.3,-2.2,2.5,-1.2500000000000002,20,0.0
thr0.371_maxday1,0.37058767,1,8.494743961040903,118,0.5847457627118644,2.346938775510204,19.799999999999997,0.1677966101694915,-1.299999999999999,0.23728813559322035,118,0.5847457627118644,0.5,-1.299999999999999,2.5,0.12626262626262627,17,1.0,20,0.3,0.7142857142857144,-1.2,-0.06,-1.6,0.1,20,0.3,-0.3,-1.6,2.5,-2.0833333333333335,20,0.0
thr0.399_maxday1,0.39901915,1,8.38940152412069,114,0.5789473684210527,2.2916666666666665,18.6,0.1631578947368421,-0.9000000000000021,0.20175438596491227,114,0.5789473684210527,0.5,-0.9000000000000021,2.5,0.13440860215053763,17,1.0,20,0.25,0.5555555555555557,-1.9999999999999998,-0.09999999999999999,-2.2,0.1,20,0.25,-0.3,-2.2,2.5,-1.2500000000000002,20,0.0
thr0.371_maxday2,0.37058767,2,8.20788781145239,232,0.5043103448275862,1.6956521739130441,24.0,0.10344827586206896,-3.100000000000012,0.1810344827586207,118,0.7627118644067796,0.2,-2.799999999999999,5.0,0.20833333333333334,34,1.0,39,0.358974358974359,0.9333333333333335,-0.4999999999999998,-0.012820512820512815,-1.9000000000000001,0.05128205128205128,20,0.65,0.2,-1.7999999999999998,1.7999999999999998,-3.6000000000000014,39,0.0
thr0.371_maxday3,0.37058767,3,8.193799304603978,342,0.4678362573099415,1.4652014652014653,25.4,0.0742690058479532,-3.399999999999995,0.18421052631578946,118,0.4406779661016949,-0.09999999999999998,-3.199999999999996,7.5,0.29527559055118113,51,1.0,58,0.39655172413793105,1.0952380952380951,0.9999999999999998,0.017241379310344824,-1.9000000000000001,0.034482758620689655,20,0.35,-0.09999999999999998,-1.3000000000000003,3.5,3.500000000000001,58,1.0
thr0.415_maxday1,0.41469617,1,8.140487347999203,110,0.5727272727272728,2.2340425531914887,17.4,0.15818181818181817,-1.2000000000000028,0.20909090909090908,110,0.5727272727272728,0.5,-1.2000000000000028,2.5,0.14367816091954025,15,1.0,20,0.25,0.5555555555555557,-1.9999999999999998,-0.09999999999999999,-2.2,0.1,20,0.25,-0.3,-2.2,2.5,-1.2500000000000002,20,0.0
thr0.464_maxday2,0.46439143,2,8.074965570646603,123,0.5528455284552846,2.06060606060606,17.500000000000004,0.14227642276422767,-1.0000000000000036,0.08943089430894309,77,0.6753246753246753,0.2,-0.9000000000000004,5.0,0.28571428571428564,12,1.0,29,0.3793103448275862,1.0185185185185186,0.10000000000000026,0.003448275862068974,-3.0,0.034482758620689655,16,0.5,-0.04999999999999999,-2.9999999999999996,3.7,36.99999999999991,29,1.0
thr0.447_maxday2,0.4465488,2,8.046501941069252,146,0.541095890410959,1.9651741293532337,19.400000000000002,0.13287671232876713,-2.0000000000000107,0.0958904109589041,90,0.6444444444444445,0.2,-1.70000000000001,5.0,0.25773195876288657,16,1.0,35,0.37142857142857144,0.9848484848484851,-0.09999999999999976,-0.00285714285714285,-2.5000000000000004,0.02857142857142857,18,0.6111111111111112,0.2,-2.1,2.6000000000000005,-26.000000000000068,35,0.0
thr0.358_maxday2,0.35836644,2,7.999954594952488,236,0.4915254237288136,1.6111111111111114,22.0,0.09322033898305085,-2.700000000000017,0.19491525423728814,118,0.7457627118644068,0.2,-2.599999999999996,5.0,0.22727272727272727,34,1.0,40,0.325,0.8024691358024691,-1.5999999999999999,-0.039999999999999994,-2.5999999999999996,0.1,20,0.6,0.2,-2.4000000000000004,1.7999999999999998,-1.125,40,0.0
