test_month,train_month_start,train_month_end,train_rows,test_rows,train_ticker_counts,test_ticker_counts,training_recomputed_sha256,causal_fold_pass
202601,202501,202512,735,60,247/244/244,20/20/20,8b2c366635d3a408b37f5fbdb72589ca99d0ce4fe89364c4ed4e2b32e0591c41,True
202602,202502,202601,735,57,247/244/244,19/19/19,4287d7f335df80ac9e9ec7c73f1b0c731f392d85fc1216a3a57ba659f9650cf1,True
202603,202503,202602,739,63,247/246/246,21/21/21,8d4fa1977f667222c8230f98e53405d8ea4e0f067e2981414ca29e5b29970dc0,True
202604,202504,202603,739,54,247/246/246,18/18/18,911f442485b8361b5ab3d119f4ea57ba282aefeebb4ee74782fdfa2dc04745db,True
202605,202505,202604,732,60,244/244/244,20/20/20,92333a5edc7165e5adc0fc2f193593456388843687aae100ad24f46df1206649,True
202606,202506,202605,729,62,243/243/243,20/21/21,059d2cdc35f99ea918ca19904b95c4d76ed29ec37e0ffc39f225d21eff66387c,True
202607,202507,202606,731,38,243/244/244,12/13/13,b9d9de5042a6410fd92efcd708258f4f3b14441b8221f66635d5c8a567fe373c,True
