ticker,month,trades,win_rate,profit_factor,net_bps,frequency_pass,pnl_positive,month_complete,july_mtd
QQQ,202601,20,0.6,0.8453101972373461,-57.088456035682555,True,False,True,False
QQQ,202602,19,0.5263157894736842,0.7771712701335034,-115.50066074197025,True,False,True,False
QQQ,202603,21,0.47619047619047616,0.526102662260775,-330.90187037310864,True,False,True,False
QQQ,202604,18,0.4444444444444444,0.44686275354375116,-266.2764489723207,True,False,True,False
QQQ,202605,20,0.35,0.47040815199058045,-316.0875771070154,True,False,True,False
QQQ,202606,20,0.65,2.094679519003261,500.52647391709013,True,True,True,False
QQQ,202607,12,0.6666666666666666,1.824662754896745,181.23883294965106,False,True,False,True
SPXW,202601,20,0.6,0.7242554918051161,-74.29197848521818,True,False,True,False
SPXW,202602,19,0.631578947368421,0.848201293811029,-56.990307103541944,True,False,True,False
SPXW,202603,21,0.47619047619047616,2.4426004930766827,348.380396081579,True,True,True,False
SPXW,202604,18,0.5555555555555556,1.1561939206461416,38.353717238029525,True,True,True,False
SPXW,202605,20,0.4,0.6979454511553181,-92.12178690651186,True,False,True,False
SPXW,202606,21,0.42857142857142855,0.9678571863588283,-13.982773705226837,True,False,True,False
SPXW,202607,13,0.46153846153846156,0.6384845053888726,-80.9146823041662,True,False,False,True
SPY,202601,20,0.5,0.6573103648196938,-96.50633687854022,True,False,True,False
SPY,202602,19,0.631578947368421,0.8453479252321254,-58.04655109075511,True,False,True,False
SPY,202603,21,0.42857142857142855,1.4674172568860355,156.94733304354355,True,True,True,False
SPY,202604,18,0.6111111111111112,1.6408087499339088,125.76329665180144,True,True,True,False
SPY,202605,20,0.4,0.6832207360857442,-98.05247659321871,True,False,True,False
SPY,202606,21,0.42857142857142855,1.075388520128296,30.970395007603102,True,True,True,False
SPY,202607,13,0.46153846153846156,0.634536169410444,-80.85986314677888,True,False,False,True
