period,scope,cost_bps,trades,win_rate,profit_factor,net_bps
CLOSED_H1,QQQ,1.0,118,0.5084745762711864,0.8124623761285691,-585.3285393130075
CLOSED_H1,QQQ,2.0,118,0.5,0.7788132141402112,-703.3285393130075
CLOSED_H1,QQQ,3.0,118,0.4915254237288136,0.7464546337160998,-821.3285393130076
CLOSED_H1,SPXW,1.0,119,0.5126050420168067,1.0797834674480598,149.34726711910977
CLOSED_H1,SPXW,2.0,119,0.4957983193277311,1.0157143513091378,30.347267119109755
CLOSED_H1,SPXW,3.0,119,0.47058823529411764,0.9555294635467636,-88.65273288089027
CLOSED_H1,SPY,1.0,119,0.4957983193277311,1.03198811660872,61.07566014043415
CLOSED_H1,SPY,2.0,119,0.47058823529411764,0.9706094062918623,-57.924339859565926
CLOSED_H1,SPY,3.0,119,0.453781512605042,0.9130585107205766,-176.92433985956592
CLOSED_H1,POOLED,1.0,356,0.5056179775280899,0.945684405570802,-374.90561205346364
CLOSED_H1,POOLED,2.0,356,0.4887640449438202,0.8967913104781198,-730.9056120534638
CLOSED_H1,POOLED,3.0,356,0.47191011235955055,0.850450658343362,-1086.9056120534638
JULY_MTD,QQQ,1.0,12,0.6666666666666666,1.824662754896745,181.23883294965106
JULY_MTD,QQQ,2.0,12,0.6666666666666666,1.7562960067182578,169.23883294965106
JULY_MTD,QQQ,3.0,12,0.6666666666666666,1.690330479621095,157.23883294965106
JULY_MTD,SPXW,1.0,13,0.46153846153846156,0.6384845053888726,-80.9146823041662
JULY_MTD,SPXW,2.0,13,0.46153846153846156,0.5931272752171831,-93.91468230416619
JULY_MTD,SPXW,3.0,13,0.46153846153846156,0.5504401279763533,-106.91468230416619
JULY_MTD,SPY,1.0,13,0.46153846153846156,0.634536169410444,-80.85986314677888
JULY_MTD,SPY,2.0,13,0.46153846153846156,0.5887897107677307,-93.85986314677888
JULY_MTD,SPY,3.0,13,0.46153846153846156,0.5457656455008272,-106.85986314677888
JULY_MTD,POOLED,1.0,38,0.5263157894736842,1.0292763511381322,19.464287498706028
JULY_MTD,POOLED,2.0,38,0.5263157894736842,0.9728552388192742,-18.535712501293972
JULY_MTD,POOLED,3.0,38,0.5263157894736842,0.9193322778934412,-56.53571250129397
ALL_AVAILABLE,QQQ,1.0,130,0.5230769230769231,0.8790476208087725,-404.08970636335636
ALL_AVAILABLE,QQQ,2.0,130,0.5153846153846153,0.8430794589968593,-534.0897063633564
ALL_AVAILABLE,QQQ,3.0,130,0.5076923076923077,0.8084622750095408,-664.0897063633565
ALL_AVAILABLE,SPXW,1.0,132,0.5075757575757576,1.0326533677503125,68.4325848149436
ALL_AVAILABLE,SPXW,2.0,132,0.49242424242424243,0.9705978986491783,-63.56741518505646
ALL_AVAILABLE,SPXW,3.0,132,0.4696969696969697,0.9123541534777246,-195.56741518505638
ALL_AVAILABLE,SPY,1.0,132,0.49242424242424243,0.9907141534441256,-19.784203006344853
ALL_AVAILABLE,SPY,2.0,132,0.4696969696969697,0.9309789103032603,-151.78420300634482
ALL_AVAILABLE,SPY,3.0,132,0.45454545454545453,0.874997841022311,-283.7842030063449
ALL_AVAILABLE,POOLED,1.0,394,0.5076142131979695,0.9530287084669338,-355.4413245547575
ALL_AVAILABLE,POOLED,2.0,394,0.49238578680203043,0.9034805855115469,-749.4413245547579
ALL_AVAILABLE,POOLED,3.0,394,0.47715736040609136,0.8565087783929566,-1143.441324554758
