ticker,trade_date,month,sensor_ticker,signal_pressure,base_side,entry_open,exit_open,underlying_return_bps,base_gross_bps,direct_probability,orientation,side,gross_bps,net_bps_1bp,net_bps_2bp,net_bps_3bp,net_bps,train_month_start,train_month_end
QQQ,20260102,202601,QQQ,-0.006200000000000011,-1,616.83,611.57,-85.64038014541728,85.64038014541728,0.30661746665011097,-1,1,-85.64038014541728,-86.64038014541728,-87.64038014541728,-88.64038014541728,-86.64038014541728,202501,202512
QQQ,20260105,202601,QQQ,-0.004849999999999993,-1,619.89,618.29,-25.8443988850931,25.8443988850931,0.5058064137183719,1,-1,25.8443988850931,24.8443988850931,23.8443988850931,22.8443988850931,24.8443988850931,202501,202512
QQQ,20260106,202601,QQQ,0.00874999999999998,1,621.94,622.23,4.661742450820493,4.661742450820493,0.5447544748904853,1,1,4.661742450820493,3.661742450820493,2.661742450820493,1.6617424508204932,3.661742450820493,202501,202512
QQQ,20260107,202601,QQQ,0.0019500000000000073,1,625.59,626.83,19.80167044883165,19.80167044883165,0.4677620811565906,-1,-1,-19.80167044883165,-20.80167044883165,-21.80167044883165,-22.80167044883165,-20.80167044883165,202501,202512
QQQ,20260108,202601,QQQ,0.010550000000000032,1,619.89,620.04,2.419491434704531,2.419491434704531,0.5316050318344758,1,1,2.419491434704531,1.4194914347045309,0.4194914347045309,-0.5805085652954691,1.4194914347045309,202501,202512
QQQ,20260109,202601,QQQ,-0.007300000000000029,-1,625.01,626.83,29.077218850944394,-29.077218850944394,0.5513757768416309,1,-1,-29.077218850944394,-30.077218850944394,-31.077218850944394,-32.07721885094439,-30.077218850944394,202501,202512
QQQ,20260112,202601,QQQ,0.007849999999999996,1,626.07,627.94,29.824345677056144,29.824345677056144,0.5175167484135299,1,1,29.824345677056144,28.824345677056144,27.824345677056144,26.824345677056144,28.824345677056144,202501,202512
QQQ,20260113,202601,QQQ,-0.0019500000000000073,-1,625.1,625.98,14.067847701663302,-14.067847701663302,0.4256634082590306,-1,1,14.067847701663302,13.067847701663302,12.067847701663302,11.067847701663302,13.067847701663302,202501,202512
QQQ,20260114,202601,QQQ,0.01830000000000001,1,618.72,614.95,-61.11864170567407,-61.11864170567407,0.5406781139064077,1,1,-61.11864170567407,-62.11864170567407,-63.11864170567407,-64.11864170567407,-62.11864170567407,202501,202512
QQQ,20260115,202601,QQQ,-0.006449999999999956,-1,626.36,626.24,-1.916014695307489,1.916014695307489,0.48290937634295555,-1,1,-1.916014695307489,-2.916014695307489,-3.916014695307489,-4.916014695307489,-2.916014695307489,202501,202512
