date,pnl,cum_pnl
20260601,7240.106636866796,7240.106636866796
20260602,-1165.3179195136397,6074.788717353156
20260603,6000.0,12074.788717353156
20260604,-5255.663569629933,6819.125147723224
20260605,4500.0,11319.125147723224
20260608,-1012.3458841322035,10306.77926359102
20260609,-211.7977020956214,10094.981561495399
20260611,-7500.0,2594.9815614953986
20260612,-6000.0,-3405.0184385046014
20260615,164.9336342488764,-3240.084804255725
20260616,1130.3531345924998,-2109.731669663225
20260617,10000.0,7890.268330336775
20260618,-2000.0,5890.268330336775
20260622,-1527.3203996775237,4362.947930659251
