date,ticker,pnl
20260601,QQQ,1799.883286549917
20260601,SPXW,1226.5138783505772
20260601,SPY,4213.709471966302
20260602,SPXW,-1165.3179195136397
20260603,QQQ,1000.0
20260603,SPY,5000.0
20260604,QQQ,-2255.6635696299327
20260604,SPY,-3000.0
20260605,QQQ,3500.0
20260605,SPY,1000.0
20260608,QQQ,2555.1010554961617
20260608,SPXW,-567.4469396283652
20260608,SPY,-3000.0
20260609,QQQ,4788.202297904379
20260609,SPXW,-2000.0
20260609,SPY,-3000.0
20260611,QQQ,-4500.0
20260611,SPY,-3000.0
20260612,QQQ,-3000.0
20260612,SPY,-3000.0
20260615,QQQ,-111.35978659235548
20260615,SPXW,-1741.9790662487192
20260615,SPY,2018.272487089951
20260616,QQQ,2680.597862775773
20260616,SPXW,-3448.2492424338475
20260616,SPY,1898.0045142505742
20260617,SPXW,10000.0
20260618,QQQ,-3000.0
20260618,SPY,1000.0
20260622,QQQ,2580.0639763531517
20260622,SPXW,-2984.0967439451533
20260622,SPY,-1123.287632085522
