trades,wr,pf,pnl_r,name,ticker,month,date_min,date_max,pnl_dollars
58,0.3620689655172414,0.5865124917648357,-3.4206431775387705,spx_base,TOTAL,ALL,20260601,20260622,-17103.215887693852
58,0.3620689655172414,0.5865124917648357,-3.4206431775387705,spx_base,SPXW,ALL,20260601,20260622,-17103.215887693852
58,0.3620689655172414,0.5865124917648357,-3.4206431775387705,spx_base,SPXW,202606,20260601,20260622,-17103.215887693852
71,0.38028169014084506,0.8968406152971188,-0.9131964061955329,spx_wide,TOTAL,ALL,20260601,20260622,-4565.982030977664
71,0.38028169014084506,0.8968406152971188,-0.9131964061955329,spx_wide,SPXW,ALL,20260601,20260622,-4565.982030977664
71,0.38028169014084506,0.8968406152971188,-0.9131964061955329,spx_wide,SPXW,202606,20260601,20260622,-4565.982030977664
78,0.41025641025641024,0.9345989329446391,-0.6242496055680274,spx_primary,TOTAL,ALL,20260601,20260622,-3121.248027840137
78,0.41025641025641024,0.9345989329446391,-0.6242496055680274,spx_primary,SPXW,ALL,20260601,20260622,-3121.248027840137
78,0.41025641025641024,0.9345989329446391,-0.6242496055680274,spx_primary,SPXW,202606,20260601,20260622,-3121.248027840137
57,0.3508771929824561,0.5584241806085781,-3.653008334917586,spx_fallback_circuit,TOTAL,ALL,20260601,20260622,-18265.04167458793
57,0.3508771929824561,0.5584241806085781,-3.653008334917586,spx_fallback_circuit,SPXW,ALL,20260601,20260622,-18265.04167458793
57,0.3508771929824561,0.5584241806085781,-3.653008334917586,spx_fallback_circuit,SPXW,202606,20260601,20260622,-18265.04167458793
32,0.40625,0.967155255568527,-0.13611520668382937,spx_selected,TOTAL,ALL,20260601,20260622,-680.5760334191468
32,0.40625,0.967155255568527,-0.13611520668382937,spx_selected,SPXW,ALL,20260601,20260622,-680.5760334191468
32,0.40625,0.967155255568527,-0.13611520668382937,spx_selected,SPXW,202606,20260601,20260622,-680.5760334191468
24,0.4166666666666667,0.9502895253607615,-0.19866023175573888,spy_raw,TOTAL,ALL,20260601,20260622,-993.3011587786945
24,0.4166666666666667,0.9502895253607615,-0.19866023175573888,spy_raw,SPY,ALL,20260601,20260622,-993.3011587786945
24,0.4166666666666667,0.9502895253607615,-0.19866023175573888,spy_raw,SPY,202606,20260601,20260622,-993.3011587786945
24,0.4166666666666667,0.9502895253607615,-0.19866023175573888,spy_selected,TOTAL,ALL,20260601,20260622,-993.3011587786945
24,0.4166666666666667,0.9502895253607615,-0.19866023175573888,spy_selected,SPY,ALL,20260601,20260622,-993.3011587786945
24,0.4166666666666667,0.9502895253607615,-0.19866023175573888,spy_selected,SPY,202606,20260601,20260622,-993.3011587786945
38,0.631578947368421,2.431323995011194,3.4660991873362574,qqq_meta_sel,TOTAL,ALL,20260601,20260622,17330.495936681287
38,0.631578947368421,2.431323995011194,3.4660991873362574,qqq_meta_sel,QQQ,ALL,20260601,20260622,17330.495936681287
38,0.631578947368421,2.431323995011194,3.4660991873362574,qqq_meta_sel,QQQ,202606,20260601,20260622,17330.495936681287
38,0.5789473684210527,2.219708812520218,3.436808782179204,qqq_current_sel,TOTAL,ALL,20260601,20260622,17184.04391089602
38,0.5789473684210527,2.219708812520218,3.436808782179204,qqq_current_sel,QQQ,ALL,20260601,20260622,17184.04391089602
38,0.5789473684210527,2.219708812520218,3.436808782179204,qqq_current_sel,QQQ,202606,20260601,20260622,17184.04391089602
18,0.3333333333333333,0.6761178497950214,-1.0818271212269672,qqq_online_sel,TOTAL,ALL,20260601,20260622,-5409.135606134836
18,0.3333333333333333,0.6761178497950214,-1.0818271212269672,qqq_online_sel,QQQ,ALL,20260601,20260622,-5409.135606134836
18,0.3333333333333333,0.6761178497950214,-1.0818271212269672,qqq_online_sel,QQQ,202606,20260601,20260622,-5409.135606134836
34,0.5,1.3312504626264754,1.207365024571419,qqq_selected,TOTAL,ALL,20260601,20260622,6036.825122857094
34,0.5,1.3312504626264754,1.207365024571419,qqq_selected,QQQ,ALL,20260601,20260622,6036.825122857094
34,0.5,1.3312504626264754,1.207365024571419,qqq_selected,QQQ,202606,20260601,20260622,6036.825122857094
90,0.4444444444444444,1.0740397752056963,0.87258958613185,combined,TOTAL,ALL,20260601,20260622,4362.94793065925
34,0.5,1.3312504626264754,1.207365024571419,combined,QQQ,ALL,20260601,20260622,6036.825122857094
34,0.5,1.3312504626264754,1.207365024571419,combined,QQQ,202606,20260601,20260622,6036.825122857094
32,0.40625,0.967155255568527,-0.13611520668382937,combined,SPXW,ALL,20260601,20260622,-680.5760334191468
32,0.40625,0.967155255568527,-0.13611520668382937,combined,SPXW,202606,20260601,20260622,-680.5760334191468
24,0.4166666666666667,0.9502895253607615,-0.19866023175573888,combined,SPY,ALL,20260601,20260622,-993.3011587786945
24,0.4166666666666667,0.9502895253607615,-0.19866023175573888,combined,SPY,202606,20260601,20260622,-993.3011587786945
