run,group,rows,acc,bal_acc,macro_f1,trade_rate,trade_precision,avg_trade_conf,ticker,month
baseline_sigvic,overall,27887,0.2270592032129666,0.17740704445061675,0.144679376793679,0.6649334815505432,0.2727174675079545,0.3504679069234517,,
baseline_sigvic,ticker,9085,0.21695101816180518,0.1598755593624756,0.1314508577096669,0.6653824986241057,0.27444168734491314,0.35942252907834343,QQQ,
baseline_sigvic,ticker,9717,0.2561490171863744,0.19418118805028609,0.15563310324905394,0.6655346300298446,0.3191588062471007,0.3477497929878732,SPX,
baseline_sigvic,ticker,9085,0.20605393505778757,0.17443667454771164,0.1436452007961282,0.6638414969730325,0.22119051566904327,0.34442048489096144,SPY,
baseline_sigvic,month,4740,0.2721518987341772,0.16954770536679306,0.15285627633591883,0.7875527426160338,0.3150281275113849,0.3631237952706683,,202601
baseline_sigvic,month,4503,0.14945591827670443,0.1455806464222156,0.10059923391973609,0.5336442371752165,0.18684977111943404,0.3446017635575459,,202602
baseline_sigvic,month,5214,0.19677790563866512,0.2137922303629657,0.14651585872624895,0.5991561181434599,0.2147887323943662,0.3388628186590149,,202603
baseline_sigvic,month,4345,0.2607594936708861,0.20348366563750156,0.16059210262040893,0.587571921749137,0.3063063063063063,0.34084552193126966,,202604
baseline_sigvic,month,4424,0.2827757685352622,0.16817838533517734,0.14690139561000828,0.7520343580470162,0.34746017433122933,0.36140585795826335,,202605
baseline_sigvic,month,4661,0.20574983909032396,0.16008288828166087,0.13476321467527608,0.7301008367303153,0.2418454305024978,0.35483500206068946,,202606
baseline_sigvic,ticker_month,1580,0.15886075949367087,0.11298618684114865,0.09656263109321252,0.6569620253164556,0.20520231213872833,0.3699510855765282,QQQ,202601
baseline_sigvic,ticker_month,1501,0.27048634243837444,0.18456808624651463,0.14740339036574426,0.6175882744836776,0.39158576051779936,0.35643481495458235,QQQ,202602
baseline_sigvic,ticker_month,1738,0.17491369390103567,0.18605886134324603,0.14531858707872514,0.7140391254315305,0.16116035455278002,0.3505056968389638,QQQ,202603
baseline_sigvic,ticker_month,1343,0.18689501116902457,0.1631336405529954,0.11672679172679173,0.5107967237527923,0.22157434402332363,0.34989799253992065,QQQ,202604
baseline_sigvic,ticker_month,1422,0.22855133614627285,0.10863840719332048,0.10871972346203945,0.7088607594936709,0.31845238095238093,0.3707996058145488,QQQ,202605
baseline_sigvic,ticker_month,1501,0.28914057295136575,0.16968788036863156,0.1474084474084474,0.7628247834776816,0.35807860262008734,0.35939597579179644,QQQ,202606
baseline_sigvic,ticker_month,1580,0.32974683544303796,0.18066526400820082,0.16408177433951973,0.8848101265822785,0.3648068669527897,0.3718293594220017,SPX,202601
baseline_sigvic,ticker_month,1501,0.09593604263824117,0.13029400370991776,0.06458224841038697,0.43037974683544306,0.0913312693498452,0.3338038516910294,SPX,202602
baseline_sigvic,ticker_month,1738,0.2710011507479862,0.28808645450802106,0.1774767597803785,0.5195627157652474,0.38205980066445183,0.33886527012009066,SPX,202603
baseline_sigvic,ticker_month,1659,0.4002411091018686,0.2679704329916254,0.2070673602907486,0.7588908981314044,0.4511517077045274,0.3455103216148271,SPX,202604
baseline_sigvic,ticker_month,1580,0.2221518987341772,0.1502463789438222,0.13106190248923086,0.7234177215189873,0.2694663167104112,0.3527895295733138,SPX,202605
baseline_sigvic,ticker_month,1659,0.20373719107896324,0.17243643014620783,0.13480896387067476,0.6738999397227246,0.24508050089445438,0.3441819466151984,SPX,202606
baseline_sigvic,ticker_month,1580,0.3278481012658228,0.21456426213264065,0.18849973814155319,0.8208860759493671,0.3492675404780262,0.347590940813475,SPY,202601
baseline_sigvic,ticker_month,1501,0.08194536975349767,0.10801393728222997,0.06164321421119004,0.5529646902065289,0.03253012048192771,0.34356662402702604,SPY,202602
baseline_sigvic,ticker_month,1738,0.14441887226697353,0.17060159004232153,0.1109906385947022,0.5638665132336018,0.12857142857142856,0.3272174890179903,SPY,202603
baseline_sigvic,ticker_month,1343,0.16232315711094564,0.1588973833053639,0.10639233837827863,0.4527177959791511,0.10197368421052631,0.32603065171351825,SPY,202604
baseline_sigvic,ticker_month,1422,0.40436005625879046,0.2500672609021149,0.1967120511859655,0.8270042194092827,0.4481292517006803,0.3615858083074774,SPY,202605
baseline_sigvic,ticker_month,1501,0.1245836109260493,0.12039462964773356,0.10587996038214464,0.759493670886076,0.12192982456140351,0.3620484580324937,SPY,202606
visreg_straight,overall,27887,0.2365618388496432,0.18792654135505038,0.14857265237251552,0.6362821386309033,0.29266230838593327,0.34714628795640945,,
visreg_straight,ticker,9085,0.22498624105668685,0.1721947812388719,0.13465580919851322,0.6237754540451294,0.2968060702311629,0.3483788191648913,QQQ,
visreg_straight,ticker,9717,0.28033343624575485,0.20352276710097197,0.16468827853236767,0.6935268086858084,0.34604540733046446,0.35279613661523146,SPX,
visreg_straight,ticker,9085,0.20132085855806275,0.1814401883244877,0.13877069241294251,0.5875619152449092,0.22086923941551143,0.3398708751389268,SPY,
visreg_straight,month,4740,0.2871308016877637,0.18024840894238894,0.15972938198338657,0.7843881856540085,0.3321678321678322,0.3617202212979019,,202601
visreg_straight,month,4503,0.18609815678436598,0.17346918758165575,0.12004484525921547,0.5252054186098157,0.24735729386892177,0.3442755568075148,,202602
visreg_straight,month,5214,0.1946682009973149,0.2018654470710326,0.13950996292863763,0.5897583429228999,0.22861788617886178,0.34159481916383716,,202603
visreg_straight,month,4345,0.26398158803222094,0.20273512022817855,0.16115926082369036,0.5855005753739931,0.31957547169811323,0.3416241159236061,,202604
visreg_straight,month,4424,0.31871609403254975,0.20327729368775307,0.17207042976916453,0.7398282097649186,0.3794683776351971,0.3524395363509763,,202605
visreg_straight,month,4661,0.17721518987341772,0.17215660509772887,0.12023343508744799,0.5940785239219052,0.2221018418201517,0.34143256197362415,,202606
visreg_straight,ticker_month,1580,0.20443037974683545,0.13326972010178118,0.11901351154009304,0.6905063291139241,0.26397800183318054,0.3576619898782501,QQQ,202601
visreg_straight,ticker_month,1501,0.2618254497001999,0.1544493186682773,0.13942728588985975,0.7268487674883412,0.3400549954170486,0.3681896169490611,QQQ,202602
visreg_straight,ticker_month,1738,0.1565017261219793,0.17737243448205187,0.11696355297724297,0.5736478711162255,0.16549648946840523,0.3399757112197415,QQQ,202603
visreg_straight,ticker_month,1343,0.3268801191362621,0.22589179040791943,0.17867907628109658,0.6411020104244229,0.41114982578397213,0.35720525594318614,QQQ,202604
visreg_straight,ticker_month,1422,0.270042194092827,0.16175337186897878,0.1378538172796546,0.6582278481012658,0.3717948717948718,0.34503914396974106,QQQ,202605
visreg_straight,ticker_month,1501,0.1552298467688208,0.2042108618790935,0.09704646145081425,0.4603597601598934,0.22575976845151954,0.32379274184429035,QQQ,202606
visreg_straight,ticker_month,1580,0.389873417721519,0.22137418823061986,0.1846885254373046,0.8848101265822785,0.4241773962804006,0.3830582559108734,SPX,202601
visreg_straight,ticker_month,1501,0.11192538307794804,0.15280736060374087,0.07305732949836688,0.3930712858094604,0.1152542372881356,0.33253035302721284,SPX,202602
visreg_straight,ticker_month,1738,0.2928653624856157,0.27577682725625147,0.19094119579500657,0.6398158803222095,0.368705035971223,0.3474126512182596,SPX,202603
visreg_straight,ticker_month,1659,0.29897528631705844,0.20930556292602942,0.17216633907827106,0.6955997588908981,0.34748700173310226,0.34356662902291674,SPX,202604
visreg_straight,ticker_month,1580,0.3392405063291139,0.19438136603318176,0.163591529218318,0.8759493670886076,0.3764450867052023,0.3628226575029047,SPX,202605
visreg_straight,ticker_month,1659,0.24050632911392406,0.18939471557210022,0.14773025922828814,0.6636528028933092,0.3079019073569482,0.3476310615046618,SPX,202606
visreg_straight,ticker_month,1580,0.2670886075949367,0.1830483360883839,0.16567359960870193,0.7778481012658228,0.28803905614320585,0.3444404181045822,SPY,202601
visreg_straight,ticker_month,1501,0.18454363757495004,0.1896535036778939,0.12051833644527093,0.45569620253164556,0.2134502923976608,0.33210670044627055,SPY,202602
visreg_straight,ticker_month,1738,0.13463751438434982,0.15349451214395712,0.10044444444444445,0.5558112773302647,0.13250517598343686,0.33739609505351037,SPY,202603
visreg_straight,ticker_month,1343,0.15785554728220402,0.15531634131298497,0.09842185204551679,0.39389426656738646,0.10964083175803403,0.3236434008989952,SPY,202604
visreg_straight,ticker_month,1422,0.34458509142053445,0.24432961351300767,0.19969155844155845,0.670182841068917,0.391395592864638,0.34830312745229103,SPY,202605
visreg_straight,ticker_month,1501,0.12924716855429713,0.14489523250887998,0.10743970768603106,0.6508994003997335,0.12282497441146366,0.35222140893707427,SPY,202606
