capture_id,ticker,trade_date,role,expiration,rows,raw_bytes,parquet_bytes,greek_rows,native_extra_target_key_rows,revised_bid_ask_rows,crossed_native_rows,raw_sha256,parquet_sha256,manifest_sha256
8fda43ad194f04734da2bef6,QQQ,20240102,back,20240105,3792,723372,54986,1264,0,0,0,b161d72ac9c930e8954d1199cb6009d9ff1ee8489dd09928836db2a33cebf8ab,6fecab7b4bc328b83e780ba244c0a7d85c9de1abe5924ca92e35c204c9f9bfc1,322192946e0f821af49ad33d2160fb2fbd07f0d7b9989f7c504e9d4d0343fdf7
173efda820bc2a3397184f9f,QQQ,20240102,front,20240102,1968,375064,31251,656,0,0,0,fe453c3ae1639c37f9edd24a1966a61765f4e82d5872fec847ff5ec8702935c1,a1cdaf033aad9b8d66a05fd36bb0cc990a39401613cd0a2f770863cfa2abf726,8a24b87842de59876cc018373219c751dec0ec147acf49549266eb603ae3fc40
7f17259679fb8958505998b5,QQQ,20241231,back,20250103,1860,352936,31247,620,0,0,0,929741125bf0cecc9bcfa4aee7dd0a828060db43e54ca3ac2ad538a45bd4ded7,546082226c02cf9fd3270e1a299772962889dd5c9a8fa2e2b983b9f00eea1e03,cd7ee8e1c742eb63cda7e2e4007d3a8add823b3ab89cb1fafe3c38bf0888b7c6
64cfabbb16bd71c440ab8b05,QQQ,20241231,front,20241231,2988,565398,37324,996,0,0,0,df8b6b63d26e5f86f81b396c7da646fa079c13153c612315116fb5583139e8d8,01cf9934d74d9e150534811332f6dc53161f5360240d9142167d055dc8791e55,e3bf3afb75bc8f4cf806f5152922320a6ae9c04b0225d0692f0977071971e623
af97b97c5868b2594532a953,QQQ,20250102,back,20250103,1860,352081,29754,620,0,0,0,5e4e58b38746aa2a25481324a8a4dae12861ee40f57a050d227192a3f65ff02c,a8f55a68fd54142268aa9296d7cb7ef93fcc45d24915116dc91ab54b9b5f3801,81c29a9c350183b8ed7f93dc05ab7ca2b732346eb8be160cbfcba7f0bdf5f294
f25071c59d724a7e702757d8,QQQ,20250102,front,20250102,1668,315292,24726,556,0,0,0,ae6ee094cefec0176302f9d4c5a4a9e49f9fae47609e25b1c8cd25d24a98e57d,0054aa1cc24a4160d9078e39840134bb568c8a31131cd00c132ae7cd2b92013d,0dadf910ce9b73e1f0b5a349bc862b769e49d4c8bcd04abe03e4d9f4e2acc842
dafb06c54ddd9c8c74eee649,QQQ,20251231,back,20260102,1524,288458,21820,508,0,0,0,85dbd8362ba004c352bf486b8d08308ad094bbaa4eeb776a497c659c4000956d,b868188527fdb6e167bda44f42c89e516718b3a5527d2d1f76710495d620a0bf,fd679822efc9bd9292d65ed40aec3beb4dbfc484039c9fdc37e5c607ac034d1b
6561dd8a85457da8b8a44889,QQQ,20251231,front,20251231,2820,532997,32473,940,0,0,0,d4dade612498be289ecc41981da3b99abbd352c3ccf011da708a42128214cbcb,2ee5cc6f57b422cb46cddebb75969c6d294dd881c788a40dcbcdf3f096659bb5,3b04342282a6d06abfedddf1a03ca5886e445e10ebc3738b06cf7a2a0dc5939f
e02bd596daa7198bf4dd2707,SPXW,20240102,back,20240105,2676,508841,37284,892,0,0,0,3e0f091cbfa1ea417b7422a44fce8255f4d85f540919cc63628acdbfa0c6f90d,ae97ccb5ca53a7ee358911d98e05f2158b48378af096779d7f643ad62aa886b8,7afa64c203102d65b180caa4f620baa876e5c3748c1efb230784142c60d696a6
7574b39b9bbe27ca707447cf,SPXW,20240102,front,20240102,1992,375055,26556,664,0,0,0,f68438c9b46a3892f6a6ce0ceeb9cb18a947a74b89d3f36ee43a6de10343d4db,1a61919864d9bc6b3f74aa2406524daf3e9edac28cf241e22b75fce211c7ba4b,1033d89c41a9474c3fc25f61996eee0f9394dfcda1ac7e75c6523ebc9a0034b4
