ticker,year,month,rows,qsize_both_valid,qsize_call_valid,qsize_put_valid
QQQ,2022,202208,29,1.0,1.0,1.0
QQQ,2022,202209,19,1.0,1.0,1.0
QQQ,2022,202210,19,0.9473684210526315,0.9473684210526315,0.9473684210526315
QQQ,2022,202211,66,1.0,1.0,1.0
QQQ,2022,202212,64,0.96875,0.96875,0.96875
QQQ,2023,202301,48,1.0,1.0,1.0
QQQ,2023,202302,46,1.0,1.0,1.0
QQQ,2023,202303,51,0.9411764705882353,0.9411764705882353,0.9411764705882353
QQQ,2023,202304,100,1.0,1.0,1.0
QQQ,2023,202305,97,0.9896907216494846,0.9896907216494846,0.9896907216494846
QQQ,2023,202306,89,1.0,1.0,1.0
QQQ,2023,202307,64,1.0,1.0,1.0
QQQ,2023,202308,74,1.0,1.0,1.0
QQQ,2023,202309,92,0.9782608695652174,0.9782608695652174,0.9782608695652174
QQQ,2023,202310,75,0.9866666666666667,1.0,0.9866666666666667
QQQ,2023,202311,70,0.9571428571428572,0.9571428571428572,0.9571428571428572
QQQ,2023,202312,81,1.0,1.0,1.0
QQQ,2024,202401,127,0.9921259842519685,0.9921259842519685,0.9921259842519685
QQQ,2024,202402,100,0.98,0.99,0.98
QQQ,2024,202403,70,1.0,1.0,1.0
QQQ,2024,202404,112,0.9821428571428571,0.9821428571428571,0.9821428571428571
QQQ,2024,202405,106,0.9905660377358491,0.9905660377358491,0.9905660377358491
QQQ,2024,202406,64,1.0,1.0,1.0
QQQ,2024,202407,88,0.9772727272727273,0.9772727272727273,0.9772727272727273
QQQ,2024,202408,67,0.9850746268656716,0.9850746268656716,0.9850746268656716
QQQ,2024,202409,94,0.9893617021276596,0.9893617021276596,0.9893617021276596
QQQ,2024,202410,122,1.0,1.0,1.0
QQQ,2024,202411,92,1.0,1.0,1.0
QQQ,2024,202412,100,0.97,0.97,0.97
QQQ,2025,202501,67,0.9701492537313433,0.9701492537313433,0.9701492537313433
QQQ,2025,202502,78,0.9871794871794872,0.9871794871794872,0.9871794871794872
QQQ,2025,202503,59,1.0,1.0,1.0
QQQ,2025,202504,48,1.0,1.0,1.0
QQQ,2025,202505,54,0.9814814814814815,0.9814814814814815,0.9814814814814815
QQQ,2025,202506,98,0.9897959183673469,0.9897959183673469,0.9897959183673469
QQQ,2025,202507,97,0.9690721649484536,0.9690721649484536,0.9690721649484536
QQQ,2025,202508,79,0.9873417721518988,0.9873417721518988,0.9873417721518988
QQQ,2025,202509,75,1.0,1.0,1.0
QQQ,2025,202510,82,1.0,1.0,1.0
QQQ,2025,202511,54,0.9814814814814815,0.9814814814814815,0.9814814814814815
QQQ,2025,202512,79,1.0,1.0,1.0
SPXW,2022,202208,115,1.0,1.0,1.0
SPXW,2022,202209,44,0.9318181818181818,0.9318181818181818,0.9318181818181818
SPXW,2022,202210,35,1.0,1.0,1.0
SPXW,2022,202211,61,0.9836065573770492,0.9836065573770492,0.9836065573770492
SPXW,2022,202212,65,1.0,1.0,1.0
SPXW,2023,202301,37,0.972972972972973,0.972972972972973,0.972972972972973
SPXW,2023,202302,35,1.0,1.0,1.0
SPXW,2023,202303,40,1.0,1.0,1.0
SPXW,2023,202304,81,1.0,1.0,1.0
SPXW,2023,202305,95,0.9894736842105263,0.9894736842105263,0.9894736842105263
SPXW,2023,202306,133,0.9924812030075187,0.9924812030075187,0.9924812030075187
SPXW,2023,202307,87,1.0,1.0,1.0
SPXW,2023,202308,89,1.0,1.0,1.0
SPXW,2023,202309,117,0.9914529914529915,0.9914529914529915,0.9914529914529915
SPXW,2023,202310,131,1.0,1.0,1.0
SPXW,2023,202311,97,0.9587628865979382,0.9587628865979382,0.9587628865979382
SPXW,2023,202312,125,0.992,0.992,0.992
SPXW,2024,202401,129,1.0,1.0,1.0
SPXW,2024,202402,111,1.0,1.0,1.0
SPXW,2024,202403,88,1.0,1.0,1.0
SPXW,2024,202404,67,1.0,1.0,1.0
SPXW,2024,202405,85,0.9882352941176471,0.9882352941176471,0.9882352941176471
SPXW,2024,202406,105,0.9904761904761905,0.9904761904761905,0.9904761904761905
SPXW,2024,202407,106,0.9716981132075472,0.9716981132075472,0.9716981132075472
SPXW,2024,202408,73,1.0,1.0,1.0
SPXW,2024,202409,80,0.9875,0.9875,0.9875
SPXW,2024,202410,96,1.0,1.0,1.0
SPXW,2024,202411,66,0.9848484848484849,0.9848484848484849,0.9848484848484849
SPXW,2024,202412,150,0.9933333333333333,0.9933333333333333,0.9933333333333333
SPXW,2025,202501,85,0.9647058823529412,0.9647058823529412,0.9647058823529412
SPXW,2025,202502,70,1.0,1.0,1.0
SPXW,2025,202503,46,0.9565217391304348,0.9565217391304348,0.9565217391304348
