ticker,year,month,feature,rows,finite,missing_rate,zero_rate_finite,distinct_finite,minimum,maximum
QQQ,2022,202208,qsize_call_local_qimb,29,29,0.0,0.0,29,-0.8323108384458078,0.841688654353562
QQQ,2022,202208,qsize_call_local_log_bid_depth,29,29,0.0,0.0,29,6.259581464064923,8.990067695753655
QQQ,2022,202208,qsize_call_local_log_ask_depth,29,29,0.0,0.0,28,6.591673732008658,9.21602418844448
QQQ,2022,202208,qsize_call_relative_qimb,29,29,0.0,0.0,29,-0.7320633521206588,1.4633102759751835
QQQ,2022,202208,qsize_call_local_signable_fraction,29,29,0.0,0.0,2,0.8888888888888888,1.0
QQQ,2022,202208,qsize_call_local_qimb_change_1m,29,29,0.0,0.0,29,-1.3417052381313705,0.6666666666666667
QQQ,2022,202208,qsize_call_local_log_bid_depth_change_1m,29,29,0.0,0.0,29,-1.2437081666101584,1.5352230969659972
QQQ,2022,202208,qsize_call_local_log_ask_depth_change_1m,29,29,0.0,0.0,29,-1.6647166264724707,1.2626804051527145
QQQ,2022,202208,qsize_call_relative_qimb_change_1m,29,29,0.0,0.0,29,-1.250374882202287,0.8256415848940295
QQQ,2022,202208,qsize_call_local_signable_fraction_change_1m,29,29,0.0,1.0,1,0.0,0.0
QQQ,2022,202208,qsize_call_local_qimb_change_5m,29,29,0.0,0.0,29,-1.0168459062925859,1.1235159817351599
QQQ,2022,202208,qsize_call_local_log_bid_depth_change_5m,29,29,0.0,0.0,29,-1.4143819429301523,2.5100231338270023
QQQ,2022,202208,qsize_call_local_log_ask_depth_change_5m,29,29,0.0,0.0,29,-1.7191156261792226,1.456388075732006
QQQ,2022,202208,qsize_call_relative_qimb_change_5m,29,29,0.0,0.0,29,-1.291231032659728,1.8411544888698894
QQQ,2022,202208,qsize_call_local_signable_fraction_change_5m,29,29,0.0,1.0,1,0.0,0.0
QQQ,2022,202208,qsize_call_local_qimb_change_15m,29,29,0.0,0.0,29,-1.557801034524239,1.1362550685996777
QQQ,2022,202208,qsize_call_local_log_bid_depth_change_15m,29,29,0.0,0.0,29,-2.0372144017051292,1.5978619395508593
QQQ,2022,202208,qsize_call_local_log_ask_depth_change_15m,29,29,0.0,0.0,29,-1.7078046407209744,1.8843216717425717
QQQ,2022,202208,qsize_call_relative_qimb_change_15m,29,29,0.0,0.0,29,-0.940393555371585,1.458593294843108
QQQ,2022,202208,qsize_call_local_signable_fraction_change_15m,29,29,0.0,1.0,1,0.0,0.0
