policy,ticker,trades,win_rate,profit_factor,pnl_r,mean_return,median_return,months,minimum_monthly_trades,worst_month_pf,worst_month_wr,worst_month_pnl_r,passing_months
ALWAYS_CALL,QQQ,416,0.40625,1.0418899447838181,5.757313278314493,0.013839695380563686,-0.17945537605594258,48,8,0.0,0.0,-5.403695209168578,13
ALWAYS_CALL,SPXW,417,0.41247002398081534,1.0535389806744302,7.315438166300314,0.017543017185372458,-0.18352059925093628,48,8,0.0016190567723160555,0.1,-5.605850608929205,12
ALWAYS_CALL,SPY,417,0.4172661870503597,1.0558887283796585,7.562251760424818,0.018134896307973186,-0.1731391585760517,48,8,0.0,0.0,-5.645294140223875,12
ALWAYS_PUT,QQQ,416,0.3125,0.7705262630995802,-37.93013212446773,-0.09117820222227821,-0.37252572091001307,48,8,0.0,0.0,-5.131505502679837,6
ALWAYS_PUT,SPXW,417,0.3237410071942446,0.807891440801678,-31.741283137743658,-0.0761181849825987,-0.38273921200750466,48,8,0.0,0.0,-4.833557167360353,8
ALWAYS_PUT,SPY,417,0.3237410071942446,0.8044504638719056,-32.03594465938378,-0.07682480733665176,-0.3839285714285715,48,8,0.0,0.0,-4.780276825498731,8
DAILY_OVERLAP_ORACLE,QQQ,786,0.7290076335877863,12.765973336374806,524.6677395268237,0.6675162080493939,0.3607730925769064,48,14,4.053835702023214,0.47058823529411764,4.575054881419195,43
DAILY_OVERLAP_ORACLE,SPXW,788,0.733502538071066,13.783902774417925,539.8640057757377,0.685106606314388,0.3646825396825397,48,14,4.580747875405873,0.4375,4.32202371292748,46
DAILY_OVERLAP_ORACLE,SPY,787,0.7344345616264295,13.61060331450469,525.5035663788657,0.6677300716376946,0.3508771929824561,48,14,4.498624333772915,0.4375,4.450276410104627,46
NON_OVERLAP_ORACLE,QQQ,416,0.71875,12.27720836633128,248.52060824699305,0.597405308286041,0.32874827315328986,48,8,1.6378129081583777,0.375,0.8321613579588099,41
NON_OVERLAP_ORACLE,SPXW,417,0.7362110311750599,13.960069004239958,257.56387380784054,0.6176591698029749,0.3234421364985163,48,8,2.299231996911728,0.3333333333333333,1.6698729254923965,43
NON_OVERLAP_ORACLE,SPY,417,0.7410071942446043,13.875859314214832,254.86645768672787,0.6111905460113378,0.32440476190476203,48,8,2.240841186973166,0.3333333333333333,1.527052586785238,44
