trade_date,month,open_time,decision_bar_time,entry_time,exit_time,hold_minutes,qqq_opening_move_bps,spxw_opening_move_bps,spy_opening_move_bps,market_anchor_bps,relative_impulse_bps,action,trade_executed,qqq_position,spy_position,qqq_leg_return_bps,spy_leg_return_bps,gross_bps,cost_bps,net_bps,mean_reversion_control_net_bps,fixed_long_qqq_short_spy_net_bps
20220103,202201,09:30,10:34,10:36,13:36,180,17.0255424201097,-11.377707615637847,-6.720571501507236,-9.049139558572541,26.074681978682243,LONG_QQQ_SHORT_SPY,True,1,-1,17.500441977419328,1.0504532715519612,16.449988705867366,2.0,14.449988705867366,-18.449988705867366,14.449988705867366
20220104,202201,09:30,10:34,10:36,13:36,180,-89.14695773237139,-6.236293349467598,-1.669553606982795,-3.9529234782251965,-85.19403425414619,SHORT_QQQ_LONG_SPY,True,-1,1,-112.79880376996894,-62.18027131655311,50.61853245341583,2.0,48.61853245341583,-52.61853245341583,-52.61853245341583
20220105,202201,09:30,10:34,10:36,13:36,180,-32.98658154759095,-3.9459468435530387,-1.0478775250335288,-2.4969121842932838,-30.48966936329767,SHORT_QQQ_LONG_SPY,True,-1,1,-48.62349358061834,-28.950866718598753,19.672626862019584,2.0,17.672626862019584,-21.672626862019584,-21.672626862019584
20220106,202201,09:30,10:34,10:36,13:36,180,77.10781144719225,18.570265479882874,19.00309105101677,18.786678265449822,58.321133181742425,LONG_QQQ_SHORT_SPY,True,1,-1,0.25988539055856313,9.816684883176077,-9.556799492617513,2.0,-11.556799492617513,7.556799492617513,-11.556799492617513
20220107,202201,09:30,10:34,10:36,13:36,180,-63.474033424952665,-21.76836218568801,-22.249805935703435,-22.00908406069572,-41.464949364256945,SHORT_QQQ_LONG_SPY,True,-1,1,-8.392782699949775,14.342137295917741,22.734919995867514,2.0,20.734919995867514,-24.734919995867514,-24.734919995867514
20220110,202201,09:30,10:34,10:36,13:36,180,-111.60111537132182,-101.20904195380568,-99.47953454278029,-100.34428824829298,-11.256827123028842,SHORT_QQQ_LONG_SPY,True,-1,1,103.66683413056575,54.658629378149406,-49.00820475241634,2.0,-51.00820475241634,47.00820475241634,47.00820475241634
20220111,202201,09:30,10:34,10:36,13:36,180,-3.9548097592866727,-37.629900141422404,-40.92540067862652,-39.277650410024464,35.32284065073779,LONG_QQQ_SHORT_SPY,True,1,-1,146.80939353641605,103.47214658362884,43.33724695278721,2.0,41.33724695278721,-45.33724695278721,41.33724695278721
20220112,202201,09:30,10:34,10:36,13:36,180,-2.5744664560503017,9.063626641321482,6.359705124045681,7.711665882683581,-10.286132338733882,SHORT_QQQ_LONG_SPY,True,-1,1,-28.09099199198978,-27.788107184850958,0.30288480713882393,2.0,-1.697115192861176,-2.302884807138824,-2.302884807138824
20220113,202201,09:30,10:34,10:36,13:36,180,-82.65577214474175,-33.63956017720998,-33.09224292283261,-33.36590155002129,-49.289870594720455,SHORT_QQQ_LONG_SPY,True,-1,1,-110.86443453881031,-53.06635075444081,57.7980837843695,2.0,55.7980837843695,-59.7980837843695,-59.7980837843695
20220114,202201,09:30,10:34,10:36,13:36,180,78.87963347521523,38.548155254879575,44.35364642003301,41.45090083745629,37.42873263775894,LONG_QQQ_SHORT_SPY,True,1,-1,-56.29180314256788,-60.67059411086147,4.378790968293593,2.0,2.3787909682935933,-6.378790968293593,2.3787909682935933
20220118,202201,09:30,10:34,10:36,13:36,180,12.021640397914384,-22.71691714259351,-30.282257926408043,-26.499587534500776,38.52122793241516,LONG_QQQ_SHORT_SPY,True,1,-1,-73.14459178635164,-41.32372808476346,-31.82086370158818,2.0,-33.82086370158818,29.82086370158818,-33.82086370158818
20220119,202201,09:30,10:34,10:36,13:36,180,-5.644478640366722,-43.252172262253964,-42.21584439951184,-42.7340083308829,37.08952969051618,LONG_QQQ_SHORT_SPY,True,1,-1,1.0761945770160783,15.116167315930841,-14.039972738914763,2.0,-16.039972738914763,12.039972738914763,-16.039972738914763
20220120,202201,09:30,10:34,10:36,13:36,180,85.63402269876799,67.0446853000884,76.18624448006722,71.61546489007782,14.018557808690176,LONG_QQQ_SHORT_SPY,True,1,-1,-69.98494285729025,-38.12366309785666,-31.861279759433593,2.0,-33.86127975943359,29.861279759433593,-33.86127975943359
20220121,202201,09:30,10:34,10:36,13:36,180,-10.855799871977045,0.492704612486386,-11.676997644075879,-5.592146515794746,-5.2636533561822985,SHORT_QQQ_LONG_SPY,True,-1,1,-91.7129792745211,-70.0840042287764,21.62897504574471,2.0,19.62897504574471,-23.62897504574471,-23.62897504574471
20220124,202201,09:30,10:34,10:36,13:36,180,-47.81578334358765,-34.978434764338466,-57.33468196248907,-46.156558363413765,-1.6592249801738816,SHORT_QQQ_LONG_SPY,True,-1,1,-62.652281929675915,-42.44211398770968,20.210167941966233,2.0,18.210167941966233,-22.210167941966233,-22.210167941966233
20220125,202201,09:30,10:34,10:36,13:36,180,-25.41811252685587,-29.27666213664023,-24.968224738665207,-27.12244343765272,1.7043309107968483,LONG_QQQ_SHORT_SPY,True,1,-1,-2.024906355000311,43.4291148991738,-45.45402125417411,2.0,-47.45402125417411,43.45402125417411,-47.45402125417411
20220126,202201,09:30,10:34,10:36,13:36,180,-52.277301772017786,-42.09836102275488,-37.51070041936728,-39.804530721061084,-12.472771050956702,SHORT_QQQ_LONG_SPY,True,-1,1,52.85154234053822,32.06260634457977,-20.788935995958447,2.0,-22.788935995958447,18.788935995958447,18.788935995958447
20220127,202201,09:30,10:34,10:36,13:36,180,-64.59878050484913,-24.546595044629424,-20.786466591101956,-22.66653081786569,-41.93224968698344,SHORT_QQQ_LONG_SPY,True,-1,1,-127.58603782760352,-122.42984423443802,5.156193593165497,2.0,3.156193593165497,-7.156193593165497,-7.156193593165497
20220128,202201,09:30,10:34,10:36,13:36,180,-96.38134693501908,-77.5594625707625,-72.83556125940109,-75.1975119150818,-21.183835019937277,SHORT_QQQ_LONG_SPY,True,-1,1,221.7850445323601,157.21815639562237,-64.56688813673773,2.0,-66.56688813673773,62.56688813673773,62.56688813673773
20220131,202201,09:30,10:34,10:36,13:36,180,131.06642411170208,80.5964235787774,79.9101317739496,80.2532776763635,50.81314643533858,LONG_QQQ_SHORT_SPY,True,1,-1,31.774373129219782,37.4544872953905,-5.680114166170718,2.0,-7.680114166170718,3.6801141661707177,-7.680114166170718
20220201,202202,09:30,10:34,10:36,13:36,180,-90.97237102391081,-38.89209145414569,-44.027465942992315,-41.459778698569,-49.51259232534181,SHORT_QQQ_LONG_SPY,True,-1,1,41.777973806998325,26.497159823395407,-15.280813983602918,2.0,-17.28081398360292,13.280813983602918,13.280813983602918
20220202,202202,09:30,10:34,10:36,13:36,180,-78.73415092612355,-34.027061517754156,-34.30836881863068,-34.167715168192416,-44.56643575793113,SHORT_QQQ_LONG_SPY,True,-1,1,25.619375709103146,54.96331304112537,29.34393733202222,2.0,27.34393733202222,-31.34393733202222,-31.34393733202222
20220203,202202,09:30,10:34,10:36,13:36,180,59.22853602310524,25.07351203685145,28.564805020848887,26.819158528850167,32.409377494255075,LONG_QQQ_SHORT_SPY,True,1,-1,-68.7058515554056,-44.75073375771737,-23.95511779768823,2.0,-25.95511779768823,21.95511779768823,-25.95511779768823
20220204,202202,09:30,10:34,10:36,13:36,180,46.77514234307054,5.895936887739718,2.911892862919581,4.403914875329649,42.371227467740894,LONG_QQQ_SHORT_SPY,True,1,-1,96.90323965561737,87.05217804813198,9.851061607485391,2.0,7.851061607485391,-11.851061607485391,7.851061607485391
20220207,202202,09:30,10:34,10:36,13:36,180,35.349003477624066,29.39943783976064,29.1017544245871,29.250596132173868,6.098407345450198,LONG_QQQ_SHORT_SPY,True,1,-1,-70.01130364053513,-33.56714908093401,-36.444154559601124,2.0,-38.444154559601124,34.444154559601124,-38.444154559601124
20220208,202202,09:30,10:34,10:36,13:36,180,-18.379499313688616,-17.011970525395665,-9.630783413466313,-13.32137696943099,-5.058122344257626,SHORT_QQQ_LONG_SPY,True,-1,1,153.98753189565815,95.7073195810407,-58.28021231461746,2.0,-60.28021231461746,56.28021231461746,56.28021231461746
20220209,202202,09:30,10:34,10:36,13:36,180,5.222147520658188,28.89691768389021,29.39243177681533,29.14467473035277,-23.92252720969458,SHORT_QQQ_LONG_SPY,True,-1,1,27.98278965133786,-0.4380969071060572,-28.420886558443918,2.0,-30.420886558443918,26.420886558443918,26.420886558443918
20220210,202202,09:30,10:34,10:36,13:36,180,146.07668382649896,91.26425573344544,105.57618920572088,98.42022246958317,47.6564613569158,LONG_QQQ_SHORT_SPY,True,1,-1,-147.61535580277885,-123.8910981266466,-23.724257676132254,2.0,-25.724257676132254,21.724257676132254,-25.724257676132254
20220211,202202,09:30,10:34,10:36,13:36,180,-35.21425622664924,-10.048056280506074,2.0024697193381247,-4.022793280583975,-31.191462946065265,SHORT_QQQ_LONG_SPY,True,-1,1,-143.91173621418352,-107.62776884615708,36.28396736802644,2.0,34.28396736802644,-38.28396736802644,-38.28396736802644
