month,trades,win_rate,profit_factor,net_bps,frequency_pass,win_rate_pass,profit_factor_pass,pnl_pass,month_pass
202201,20,0.5,0.8273739368547508,-50.48866888737554,True,True,False,False,False
202202,19,0.42105263157894735,0.8331319323077043,-46.595430218253036,True,False,False,False,False
202203,23,0.5217391304347826,0.4299775086936207,-229.97409413292397,True,True,False,False,False
202204,20,0.5,0.5206254179588192,-176.16245168048636,True,True,False,False,False
202205,21,0.38095238095238093,0.9955893365188118,-1.2911404522707883,True,False,False,False,False
202206,21,0.38095238095238093,0.47412797187361144,-244.5873741539092,True,False,False,False,False
202207,20,0.55,0.909698200157317,-18.916818247162716,True,True,False,False,False
202208,23,0.6086956521739131,1.0394190402380323,9.568819513421591,True,True,False,True,False
202209,21,0.47619047619047616,0.7680453916695156,-42.87847548291162,True,True,False,False,False
202210,21,0.5238095238095238,0.8199160140104658,-51.86128398691588,True,True,False,False,False
202211,20,0.6,1.6321562447799718,130.9239114959155,True,True,True,True,True
202212,21,0.5238095238095238,1.160270722391714,22.645607259756133,True,True,False,True,False
202301,20,0.45,0.7348801217577661,-61.720429981198706,True,False,False,False,False
202302,19,0.5263157894736842,0.9017247535014052,-19.930108962849168,True,True,False,False,False
202303,23,0.6521739130434783,1.1642430251975258,33.654323503641336,True,True,False,True,False
202304,19,0.6842105263157895,3.3699437880675265,135.54275000993601,True,True,True,True,True
202305,22,0.5,0.9498414167952539,-9.914051172492982,True,True,False,False,False
202306,20,0.4,0.506945429116908,-158.94259936223276,True,False,False,False,False
202307,19,0.42105263157894735,0.43826621900758045,-138.82485591685725,True,False,False,False,False
202308,23,0.4782608695652174,0.700009164848399,-42.236901124129155,True,True,False,False,False
202309,20,0.45,0.48457758848892935,-103.58992286456699,True,False,False,False,False
202310,22,0.5,1.9359204294854988,102.04291070856229,True,True,True,True,True
202311,20,0.7,1.8404205828521298,72.44542508213284,True,True,True,True,True
202312,20,0.45,0.7152327572418956,-36.5979957637814,True,False,False,False,False
