ticker,profile_id,positive_months,monthly_net_q25,aggregate_profit_factor,aggregate_win_rate,aggregate_net_bps,min_month_trades,rank,selected
QQQ,VIX_INTRADAY_RESIDUAL,6,-177.52604752162065,1.0306793695120193,0.5303643724696356,172.7031892080546,18,1,True
QQQ,VOL_COMPLEX_RESIDUAL,6,-177.52604752162065,1.0306793695120193,0.5303643724696356,172.7031892080546,18,2,False
SPX,VOL_COMPLEX_RESIDUAL,6,-155.49478469230124,1.060889386090963,0.5222672064777328,280.3770313174756,18,1,True
SPX,VIX_INTRADAY_RESIDUAL,6,-155.49478469230124,1.0573026394484493,0.5182186234817814,264.3768861019138,18,2,False
SPY,VIX_INTRADAY_RESIDUAL,7,-156.44154638425763,1.0738609133180756,0.5263157894736842,338.8532192885999,18,1,True
SPY,VOL_COMPLEX_RESIDUAL,6,-156.44154638425763,1.0707198115616152,0.5303643724696356,324.8665694691334,18,2,False
