ticker,trade_date,month,path,bytes,calendar_half_day,eligible_fixed_180m_clock
QQQ,20230103,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230103_20230103_greeks.parquet,1329586,False,True
QQQ,20230104,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230104_20230104_greeks.parquet,1348826,False,True
QQQ,20230105,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230105_20230105_greeks.parquet,1167393,False,True
QQQ,20230106,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230106_20230106_greeks.parquet,1655721,False,True
QQQ,20230109,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230109_20230109_greeks.parquet,1169047,False,True
QQQ,20230110,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230110_20230110_greeks.parquet,1174957,False,True
QQQ,20230111,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230111_20230111_greeks.parquet,1257086,False,True
QQQ,20230112,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230112_20230112_greeks.parquet,1310693,False,True
QQQ,20230113,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230113_20230113_greeks.parquet,1566889,False,True
QQQ,20230117,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230117_20230117_greeks.parquet,1243721,False,True
QQQ,20230118,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230118_20230118_greeks.parquet,1298039,False,True
QQQ,20230119,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230119_20230119_greeks.parquet,1241117,False,True
QQQ,20230120,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230120_20230120_greeks.parquet,2089095,False,True
QQQ,20230123,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230123_20230123_greeks.parquet,1219562,False,True
QQQ,20230124,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230124_20230124_greeks.parquet,1285499,False,True
QQQ,20230125,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230125_20230125_greeks.parquet,1376247,False,True
QQQ,20230126,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230126_20230126_greeks.parquet,1346240,False,True
QQQ,20230127,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230127_20230127_greeks.parquet,1651474,False,True
QQQ,20230130,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230130_20230130_greeks.parquet,1418826,False,True
QQQ,20230131,202301,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230131_20230131_greeks.parquet,1366926,False,True
