month,ticker,direction,config_id,trades,win_rate,profit_factor,pnl,minimum_hold,maximum_hold,max_drawdown,call_rate,put_rate,positive_month,gate_pass
202301,SPXW,D0_K1,T75D25,43,0.3023255813953488,0.6174102499163598,-7.058896691175086,30.0,180.0,10.063951943307822,0.16279069767441862,0.8372093023255814,False,False
202301,QQQ,D0_K1,T75D25,33,0.3333333333333333,0.7004258669510643,-4.018864149065733,30.0,180.0,6.415415618256743,0.3333333333333333,0.6666666666666666,False,False
202301,SPY,D0_K1,T75D25,19,0.42105263157894735,0.7914372601940262,-1.4248596309816801,30.0,180.0,3.1638661833005135,0.3157894736842105,0.6842105263157895,False,False
202302,SPXW,D0_K1,T75D25,37,0.32432432432432434,0.8071933911395769,-3.0753905011012006,30.0,180.0,6.904765346598958,0.24324324324324326,0.7567567567567568,False,False
202302,QQQ,D0_K1,T75D25,28,0.35714285714285715,0.6310226039463633,-4.149654350899129,30.0,180.0,6.783796856514426,0.17857142857142858,0.8214285714285714,False,False
202302,SPY,D0_K1,T75D25,19,0.42105263157894735,1.087217162285523,0.5454241412141173,30.0,180.0,1.842575328808529,0.2631578947368421,0.7368421052631579,True,False
202303,SPXW,D0_K1,T75D25,46,0.32608695652173914,0.5960147691158332,-8.16412862848825,30.0,159.0,8.16412862848825,0.2608695652173913,0.7391304347826086,False,False
202303,QQQ,D0_K1,T75D25,42,0.40476190476190477,1.142642004216195,2.2823281177433774,30.0,180.0,5.726732386719284,0.21428571428571427,0.7857142857142857,True,False
202303,SPY,D0_K1,T75D25,23,0.34782608695652173,0.6779824591793495,-2.7496811644653527,30.0,180.0,3.745971997908226,0.30434782608695654,0.6956521739130435,False,False
202304,SPXW,D0_K1,T75D25,51,0.23529411764705882,0.4325974048771534,-14.068928611839368,30.0,180.0,14.85271234685967,0.19607843137254902,0.803921568627451,False,False
202304,QQQ,D0_K1,T75D25,33,0.3939393939393939,1.114711118941757,1.3428532339464074,30.0,180.0,2.4829174718095373,0.15151515151515152,0.8484848484848485,True,False
202304,SPY,D0_K1,T75D25,19,0.21052631578947367,0.4796595524265481,-4.543485234193589,30.0,180.0,6.096420013311347,0.10526315789473684,0.8947368421052632,False,False
202305,SPXW,D0_K1,T75D25,49,0.3877551020408163,1.2013241036023539,3.566822879830763,30.0,180.0,5.866350576178904,0.22448979591836735,0.7755102040816326,True,False
202305,QQQ,D0_K1,T75D25,40,0.5,0.8677805573929148,-1.5504685884355243,30.0,180.0,4.856207610471393,0.35,0.65,False,False
202305,SPY,D0_K1,T75D25,22,0.3181818181818182,0.859202003891187,-1.092452498797022,30.0,180.0,3.0003336801942924,0.3181818181818182,0.6818181818181818,False,False
202306,SPXW,D0_K1,T75D25,57,0.40350877192982454,0.9294620212848318,-1.4524469575776695,30.0,180.0,6.163054061620469,0.21052631578947367,0.7894736842105263,False,False
202306,QQQ,D0_K1,T75D25,36,0.4444444444444444,1.0703918012526348,0.8962205497970464,30.0,169.0,3.784945007840004,0.19444444444444445,0.8055555555555556,True,False
202306,SPY,D0_K1,T75D25,20,0.35,0.8193068995911373,-1.3625136552324308,30.0,180.0,4.881812946131136,0.1,0.9,False,False
202307,SPXW,D0_K1,T75D25,44,0.4772727272727273,1.0310105748292397,0.4251946748051837,30.0,180.0,5.135626932105945,0.22727272727272727,0.7727272727272727,True,False
202307,QQQ,D0_K1,T75D25,29,0.4482758620689655,0.7267367856214593,-2.890001909426691,30.0,180.0,2.890001909426691,0.41379310344827586,0.5862068965517241,False,False
202307,SPY,D0_K1,T75D25,19,0.631578947368421,2.897822885004694,7.315074236376879,30.0,180.0,2.0228983131434033,0.2631578947368421,0.7368421052631579,True,True
202308,SPXW,D0_K1,T75D25,55,0.41818181818181815,1.005766438145732,0.1188712057520549,30.0,180.0,4.394318717423876,0.21818181818181817,0.7818181818181819,True,False
202308,QQQ,D0_K1,T75D25,40,0.425,1.0214362945852078,0.30422542132975217,30.0,180.0,4.469022428769414,0.2,0.8,True,False
202308,SPY,D0_K1,T75D25,22,0.5,1.1926687768138613,1.148285571488186,30.0,180.0,1.9439542399395218,0.2727272727272727,0.7272727272727273,True,False
202309,SPXW,D0_K1,T75D25,50,0.32,0.718633039706925,-5.931889419267852,30.0,180.0,13.641923815603937,0.32,0.68,False,False
202309,QQQ,D0_K1,T75D25,37,0.35135135135135137,0.6519492776379132,-5.115202741051732,30.0,180.0,6.730680094178302,0.24324324324324326,0.7567567567567568,False,False
202309,SPY,D0_K1,T75D25,20,0.3,0.412044297475445,-5.19456909799837,30.0,180.0,6.142328741849902,0.3,0.7,False,False
202310,SPXW,D0_K1,T75D25,56,0.32142857142857145,0.6765382314312565,-7.8678006317984215,30.0,177.0,9.211822371219558,0.21428571428571427,0.7857142857142857,False,False
202310,QQQ,D0_K1,T75D25,42,0.5238095238095238,1.9965891198358772,12.698091645620222,30.0,129.0,2.421577531415303,0.2857142857142857,0.7142857142857143,True,True
202310,SPY,D0_K1,T75D25,22,0.5,1.4450408281960263,3.1091081368342137,30.0,180.0,3.2177557506435828,0.3181818181818182,0.6818181818181818,True,True
202311,SPXW,D0_K1,T75D25,49,0.2857142857142857,0.7243709040425699,-5.950249411261505,30.0,173.0,12.161953935969596,0.1836734693877551,0.8163265306122449,False,False
202311,QQQ,D0_K1,T75D25,34,0.4411764705882353,0.940142506772932,-0.723188506276883,30.0,180.0,3.118652007640782,0.35294117647058826,0.6470588235294118,False,False
