run,ticker,trades,win_rate,profit_factor,pnl_return,max_drawdown,positive_month_rate,min_month_trades,call_rate
event_phys_td_baseline,QQQ,119,0.37815126050420167,0.9963296617883116,-0.08148150829948309,-4.581481508299482,0.5,18,0.19327731092436976
event_phys_td_visreg_straight,QQQ,119,0.3697478991596639,0.9608230440755785,-0.8814815082994834,-4.581481508299484,0.5,18,0.19327731092436976
physics_control,QQQ,119,0.3697478991596639,0.9608230440755785,-0.8814815082994834,-4.581481508299484,0.5,18,0.19327731092436976
xinput_baseline_sigvic,QQQ,119,0.36134453781512604,0.9262508110394964,-1.6814815082994834,-5.3814815082994825,0.5,18,0.19327731092436976
xinput_visreg_straight,QQQ,119,0.36134453781512604,0.9262508110394964,-1.6814815082994836,-4.981481508299483,0.3333333333333333,18,0.18487394957983194
event_phys_td_baseline,SPXW,123,0.3008130081300813,0.7170542635658914,-7.299999999999999,-8.599999999999994,0.16666666666666666,19,0.3089430894308943
event_phys_td_visreg_straight,SPXW,123,0.3008130081300813,0.7170542635658914,-7.299999999999999,-8.599999999999994,0.16666666666666666,19,0.3170731707317073
physics_control,SPXW,123,0.2926829268292683,0.689655172413793,-8.1,-9.399999999999995,0.16666666666666666,19,0.2926829268292683
xinput_baseline_sigvic,SPXW,123,0.2926829268292683,0.689655172413793,-8.1,-9.399999999999995,0.16666666666666666,19,0.3089430894308943
xinput_visreg_straight,SPXW,123,0.2926829268292683,0.689655172413793,-8.1,-9.399999999999995,0.16666666666666666,19,0.3170731707317073
event_phys_td_baseline,SPY,120,0.325,0.8024691358024693,-4.799999999999999,-6.499999999999996,0.16666666666666666,18,0.2916666666666667
event_phys_td_visreg_straight,SPY,120,0.3333333333333333,0.8333333333333335,-4.0,-6.799999999999997,0.3333333333333333,18,0.3
physics_control,SPY,120,0.31666666666666665,0.7723577235772359,-5.6,-7.299999999999995,0.16666666666666666,18,0.2833333333333333
xinput_baseline_sigvic,SPY,120,0.31666666666666665,0.7723577235772359,-5.6,-7.299999999999995,0.16666666666666666,18,0.2916666666666667
xinput_visreg_straight,SPY,120,0.31666666666666665,0.7723577235772359,-5.6,-7.299999999999995,0.16666666666666666,18,0.3
