date,daily_pnl,cum_pnl
20260102,21163.22273338814,21163.22273338814
20260105,-6000.0,15163.222733388138
20260106,-1663.793188496518,13499.42954489162
20260107,6175.213531525089,19674.64307641671
20260108,11910.773139743878,31585.416216160585
20260109,19336.329182442067,50921.74539860265
20260112,-6000.0,44921.74539860265
20260113,7283.281143257145,52205.0265418598
20260114,-1358.433920960936,50846.59262089886
20260115,543.7500448897481,51390.34266578861
20260116,5489.21226494562,56879.55493073423
20260119,0.0,56879.55493073423
20260120,-6000.0,50879.55493073423
20260121,3939.6553053016796,54819.21023603591
20260122,-1653.8456688971035,53165.36456713881
20260123,-6000.0,47165.36456713881
20260126,878.2057748038624,48043.57034194267
20260127,3404.150191721218,51447.72053366389
20260128,-15.107713473546937,51432.61282019034
20260129,-897.7270649114907,50534.885755278854
20260130,-550.8368696187335,49984.04888566012
20260202,-4437.499825377014,45546.54906028311
20260203,10736.109386439746,56282.65844672286
20260204,4082.3076603364866,60364.96610705935
20260205,-6000.0,54364.96610705935
20260206,-4339.552862868843,50025.41324419051
20260209,-3891.414366429124,46133.99887776138
20260210,-4704.545769809685,41429.4531079517
20260211,-3000.0,38429.4531079517
20260212,17035.620883446543,55465.07399139824
20260213,99.39755142678132,55564.47154282502
20260216,0.0,55564.47154282502
20260217,-4749.999813735488,50814.471729089535
20260218,-9000.0,41814.471729089535
20260219,2253.2460331023676,44067.7177621919
20260220,18870.104304505916,62937.822066697816
20260223,10110.832168162518,73048.65423486034
20260224,-9000.0,64048.65423486034
20260225,-2615.8236366398687,61432.83059822047
20260226,-9000.0,52432.83059822047
20260227,-9000.0,43432.83059822047
20260302,-8068.403922707957,35364.42667551251
20260303,16177.549901604947,51541.97657711746
20260304,-9000.0,42541.97657711746
20260305,18517.93304921906,61059.90962633652
20260306,5338.4456303231145,66398.35525665963
20260309,4626.380535264618,71024.73579192425
20260310,-4311.856100873178,66712.87969105107
20260311,4022.4071342503703,70735.28682530145
20260312,558.5490765239824,71293.83590182543
20260313,95.7945591185844,71389.63046094401
20260316,2012.6687745332665,73402.29923547727
20260317,655.096537066489,74057.39577254376
20260318,-1845.386725469948,72212.00904707382
20260319,-9000.0,63212.00904707382
20260320,5349.535777279573,68561.54482435339
20260323,13536.443051119291,82097.98787547268
20260324,-9000.0,73097.98787547268
20260325,4272.608971811497,77370.59684728418
20260326,-3851.731145992472,73518.86570129171
20260327,2601.4473105684947,76120.3130118602
20260330,7033.332076337635,83153.64508819784
20260331,1231.481631923928,84385.12672012177
20260401,0.0,84385.12672012177
20260402,19000.0,103385.12672012177
20260403,0.0,103385.12672012177
20260406,-3724.3705441242646,99660.7561759975
20260407,4100.932442087919,103761.68861808542
20260408,10851.511767125445,114613.20038521086
20260409,0.0,114613.20038521086
20260410,-4098.9578531201205,110514.24253209074
20260413,8923.558991160833,119437.80152325158
20260414,-9000.0,110437.80152325158
20260415,0.0,110437.80152325158
20260416,-3777.777915751487,106660.02360750009
20260417,-9000.0,97660.02360750009
20260420,11202.682675623411,108862.7062831235
20260421,11326.520111316095,120189.22639443958
20260422,4568.1821260570505,124757.40852049662
20260423,-4514.150593279925,120243.2579272167
20260424,-4749.999534338703,115493.25839287801
20260427,-9000.0,106493.25839287801
20260428,-3983.3332697550454,102509.92512312296
20260429,4561.519044792885,107071.44416791585
20260430,-1608.6005121620228,105462.84365575382
20260501,7930.079435777039,113392.92309153086
20260504,-4555.3892236940965,108837.53386783676
20260505,841.234530693951,109678.76839853071
20260506,5626.400205735594,115305.1686042663
20260507,-2718.749563442533,112586.41904082378
20260508,2548.41069275501,115134.8297335788
20260511,3159.317594202559,118294.14732778135
20260512,2593.854437033788,120888.00176481514
20260513,-4579.192525888593,116308.80923892655
20260514,-4414.179655511851,111894.6295834147
20260515,652.1267292704224,112546.75631268513
20260518,-3703.48834791591,108843.26796476923
20260519,9188.670220349908,118031.93818511913
20260520,-9000.0,109031.93818511913
20260521,-7873.661639625474,101158.27654549366
20260522,-9000.0,92158.27654549366
20260525,0.0,92158.27654549366
20260526,494.3983051720734,92652.67485066573
20260527,3046.742393802619,95699.41724446835
20260528,-9000.0,86699.41724446835
20260529,-9000.0,77699.41724446835
20260601,-623.2390080007067,77076.17823646765
20260602,-950.9275883874582,76125.25064808018
20260603,6653.406883205998,82778.65753128618
20260604,-6000.0,76778.65753128618
20260605,928.5719734268287,77707.22950471302
20260608,-6000.0,71707.22950471302
20260609,19529.869796871986,91237.099301585
20260610,21844.16704195968,113081.26634354467
20260611,-1666.2674486187973,111414.99889492587
20260612,-806.2914952934439,110608.70739963243
20260615,-6000.0,104608.70739963243
20260616,2568.1814487315396,107176.88884836397
20260617,1659.9897209726792,108836.87856933665
20260618,-866.1618655025427,107970.71670383411
20260619,0.0,107970.71670383411
20260622,14201.328376547757,122172.04508038187
20260623,4351.8512539657795,126523.89633434765
20260624,-730.4468790074966,125793.44945534016
20260625,0.0,125793.44945534016
20260626,5973.074945698215,131766.52440103836
20260629,-6000.0,125766.52440103836
20260630,849.0098075017822,126615.53420854015
