ticker,year,feature,rows,finite,missing_rate,zero_rate_finite,distinct_finite,minimum,maximum
QQQ,2022,qsize_call_local_qimb,197,194,0.015228426395939132,0.010309278350515464,193,-0.8323108384458078,0.841688654353562
QQQ,2022,qsize_call_local_log_bid_depth,197,194,0.015228426395939132,0.0,192,6.152732694704104,9.342858751676328
QQQ,2022,qsize_call_local_log_ask_depth,197,194,0.015228426395939132,0.0,190,5.541263545158426,9.21602418844448
QQQ,2022,qsize_call_relative_qimb,197,194,0.015228426395939132,0.005154639175257732,193,-0.7320633521206588,1.4633102759751835
QQQ,2022,qsize_call_local_qimb_change_1m,197,194,0.015228426395939132,0.0,194,-1.3417052381313705,1.2033031374415877
QQQ,2022,qsize_call_local_log_bid_depth_change_1m,197,194,0.015228426395939132,0.005154639175257732,194,-1.8235011197054405,1.5352230969659972
QQQ,2022,qsize_call_local_log_ask_depth_change_1m,197,194,0.015228426395939132,0.0,194,-1.7512403743920713,1.6269863826754811
QQQ,2022,qsize_call_relative_qimb_change_1m,197,194,0.015228426395939132,0.0,194,-1.250374882202287,1.355330520705298
QQQ,2022,qsize_call_local_qimb_change_5m,197,194,0.015228426395939132,0.0,194,-1.4255702280912366,1.3644296951819075
QQQ,2022,qsize_call_local_log_bid_depth_change_5m,197,194,0.015228426395939132,0.0,194,-1.5136223417834387,2.5100231338270023
QQQ,2022,qsize_call_local_log_ask_depth_change_5m,197,194,0.015228426395939132,0.0,194,-2.169661418407066,3.2368643179157077
QQQ,2022,qsize_call_relative_qimb_change_5m,197,194,0.015228426395939132,0.0,194,-1.291231032659728,1.8411544888698894
QQQ,2022,qsize_call_local_qimb_change_15m,197,194,0.015228426395939132,0.0,194,-1.557801034524239,1.417472577399883
QQQ,2022,qsize_call_local_log_bid_depth_change_15m,197,194,0.015228426395939132,0.0,194,-2.0372144017051292,1.6397655716553556
QQQ,2022,qsize_call_local_log_ask_depth_change_15m,197,194,0.015228426395939132,0.0,194,-2.249877871188186,1.8843216717425717
