ticker,date,trade_date,month,time,minute,expiry_mode,action,score,edge_abs,pred_call_return,pred_put_return,call_return,put_return,realized_return,nearest_level_abs_bps,ret_5m_bps,ret_15m_bps,ret_30m_bps,ctx_spx_ret_5m_bps,ctx_qqq_ret_5m_bps,exit_status,exit_minutes,event_delta_bucket,source_component,deploy_config,policy_profile,policy_ticker,selected_threshold_override,selected_edge_abs_min,selected_time_min,selected_time_max,selected_momentum_filter,selected_max_day,selected_cooldown,candidate_universe_near_level_abs_bps_max
QQQ,20260102,20260102,202601,12:30,750,zero_dte,PUT,0.0805289623680767,0.012910466756936398,0.0676184956111403,0.0805289623680767,-0.6,1.2090163357762118,1.2090163357762118,13.393997569024744,5.547020911174094,0.4887271742770593,21.735214219038568,8.060858375531499,5.547020911174094,1,30,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_causal1030_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,thr0_edge0_BOTH_t750-870_near20_SELF_COUNTER_5M_cap2_cd45,intersection_guarded_v1,QQQ,0.0,0.0,750,870,SELF_COUNTER_5M,2,45,20
QQQ,20260102,20260102,202601,13:15,795,zero_dte,CALL,0.259336579082378,0.2505673561912255,0.259336579082378,0.0087692228911525,0.6576923923379603,-0.6,0.6576923923379603,19.28361926650748,-7.357107911201144,-10.134285517907626,-25.1328258691208,-4.709881243708525,-7.357107911201144,1,30,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_causal1030_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,thr0_edge0_BOTH_t750-870_near20_SELF_COUNTER_5M_cap2_cd45,intersection_guarded_v1,QQQ,0.0,0.0,750,870,SELF_COUNTER_5M,2,45,20
QQQ,20260106,20260106,202601,12:30,750,zero_dte,CALL,0.1565443836065047,0.5637237191053792,0.1565443836065047,-0.4071793354988745,1.166666651144623,-0.6,1.166666651144623,13.832802552304242,-0.9649632921293616,11.11097132986183,21.439094416428883,-1.673585468093819,-0.9649632921293616,1,30,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_causal1030_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,thr0_edge0_BOTH_t750-870_near20_SELF_COUNTER_5M_cap2_cd45,intersection_guarded_v1,QQQ,0.0,0.0,750,870,SELF_COUNTER_5M,2,45,20
QQQ,20260108,20260108,202601,14:15,855,zero_dte,CALL,0.3328771000731227,0.017086517003459034,0.3328771000731227,0.3157905830696637,0.4396552539183631,-0.6,0.4396552539183631,14.061890668257467,-7.106785940531601,-7.9135346776548765,-17.74755360579583,,-7.106785940531601,1,30,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_causal1030_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,thr0_edge0_BOTH_t750-870_near20_SELF_COUNTER_5M_cap2_cd45,intersection_guarded_v1,QQQ,0.0,0.0,750,870,SELF_COUNTER_5M,2,45,20
QQQ,20260112,20260112,202601,12:35,755,zero_dte,CALL,0.4671166582527916,0.9915149612343833,0.4671166582527916,-0.5243983029815917,0.6854839329913052,-0.6,0.6854839329913052,7.015568840597693,-3.347550451117121,-3.5070406394510645,-5.099718314243162,-1.6503229127162733,-3.347550451117121,1,30,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_causal1030_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,thr0_edge0_BOTH_t750-870_near20_SELF_COUNTER_5M_cap2_cd45,intersection_guarded_v1,QQQ,0.0,0.0,750,870,SELF_COUNTER_5M,2,45,20
QQQ,20260113,20260113,202601,13:00,780,zero_dte,CALL,0.4244895526277031,0.6929121825390535,0.4244895526277031,-0.2684226299113504,0.310605955244319,-0.6,0.310605955244319,19.19436015203581,-8.151026940627082,-22.8207316543394,-42.52513255262214,-6.33930952417594,-8.151026940627082,1,30,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_causal1030_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,thr0_edge0_BOTH_t750-870_near20_SELF_COUNTER_5M_cap2_cd45,intersection_guarded_v1,QQQ,0.0,0.0,750,870,SELF_COUNTER_5M,2,45,20
QQQ,20260113,20260113,202601,13:50,830,zero_dte,CALL,0.4470439609819027,0.8769204963911796,0.4470439609819027,-0.4298765354092769,-0.6,-0.6,-0.6,11.04569458757057,-12.15160147509442,-20.44905827757293,-16.620502397823866,-8.710221846424115,-12.15160147509442,-1,70,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_causal1030_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,thr0_edge0_BOTH_t750-870_near20_SELF_COUNTER_5M_cap2_cd45,intersection_guarded_v1,QQQ,0.0,0.0,750,870,SELF_COUNTER_5M,2,45,20
QQQ,20260114,20260114,202601,12:30,750,zero_dte,PUT,0.3468900474345973,0.5115226587152303,-0.164632611280633,0.3468900474345973,-0.6,0.3353658093362244,0.3353658093362244,4.414771480630861,0.3250609935334658,-0.8115691913268552,3.7365025166624655,-0.9719718595724292,0.3250609935334658,1,30,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_causal1030_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,thr0_edge0_BOTH_t750-870_near20_SELF_COUNTER_5M_cap2_cd45,intersection_guarded_v1,QQQ,0.0,0.0,750,870,SELF_COUNTER_5M,2,45,20
QQQ,20260114,20260114,202601,13:15,795,zero_dte,PUT,0.2983932696209339,0.7022305454907414,-0.4038372758698075,0.2983932696209339,-0.6,0.8319671330225162,0.8319671330225162,7.3351086337004,2.1106744536347755,10.56228969018358,-3.083153837590835,2.00130942006993,2.1106744536347755,1,30,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_causal1030_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,thr0_edge0_BOTH_t750-870_near20_SELF_COUNTER_5M_cap2_cd45,intersection_guarded_v1,QQQ,0.0,0.0,750,870,SELF_COUNTER_5M,2,45,20
QQQ,20260115,20260115,202601,12:35,755,zero_dte,CALL,0.0430698114056292,0.2713083705408278,0.0430698114056292,-0.2282385591351986,-0.6,-0.6,-0.6,11.194463615943516,-2.877580747902009,-14.053095906385591,-25.044382388180743,-0.2732438947683491,-2.877580747902009,-1,88,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_causal1030_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,thr0_edge0_BOTH_t750-870_near20_SELF_COUNTER_5M_cap2_cd45,intersection_guarded_v1,QQQ,0.0,0.0,750,870,SELF_COUNTER_5M,2,45,20
QQQ,20260120,20260120,202601,12:45,765,zero_dte,CALL,0.3435986694044654,0.26918238452597837,0.3435986694044654,0.074416284878487,-0.6,0.3913043076859086,-0.6,14.885868848396475,-20.89570768168292,-20.243417227531204,-37.97104234315785,-17.19822659564274,-20.89570768168292,-1,49,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_causal1030_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,thr0_edge0_BOTH_t750-870_near20_SELF_COUNTER_5M_cap2_cd45,intersection_guarded_v1,QQQ,0.0,0.0,750,870,SELF_COUNTER_5M,2,45,20
