ticker,test_month,month,train_months,train_month_max,mode,policy_selection
QQQ,202601,202601,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512",202512,frozen_2025_deploy_replay,completed_2026_candidate_audit
QQQ,202602,202602,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512",202512,frozen_2025_deploy_replay,completed_2026_candidate_audit
QQQ,202603,202603,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512",202512,frozen_2025_deploy_replay,completed_2026_candidate_audit
QQQ,202604,202604,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512",202512,frozen_2025_deploy_replay,completed_2026_candidate_audit
QQQ,202605,202605,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512",202512,frozen_2025_deploy_replay,completed_2026_candidate_audit
QQQ,202606,202606,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512",202512,frozen_2025_deploy_replay,completed_2026_candidate_audit
SPXW,202601,202601,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512",202512,frozen_2025_deploy_replay,completed_2026_candidate_audit
SPXW,202602,202602,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512",202512,frozen_2025_deploy_replay,completed_2026_candidate_audit
SPXW,202603,202603,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512",202512,frozen_2025_deploy_replay,completed_2026_candidate_audit
SPXW,202604,202604,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512",202512,frozen_2025_deploy_replay,completed_2026_candidate_audit
SPXW,202605,202605,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512",202512,frozen_2025_deploy_replay,completed_2026_candidate_audit
SPXW,202606,202606,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512",202512,frozen_2025_deploy_replay,completed_2026_candidate_audit
SPY,202601,202601,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512",202512,frozen_2025_deploy_replay,completed_2026_candidate_audit
SPY,202602,202602,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512",202512,frozen_2025_deploy_replay,completed_2026_candidate_audit
SPY,202603,202603,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512",202512,frozen_2025_deploy_replay,completed_2026_candidate_audit
SPY,202604,202604,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512",202512,frozen_2025_deploy_replay,completed_2026_candidate_audit
SPY,202605,202605,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512",202512,frozen_2025_deploy_replay,completed_2026_candidate_audit
SPY,202606,202606,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512",202512,frozen_2025_deploy_replay,completed_2026_candidate_audit
