ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_delta_bucket,source_combined_from,source_variant,source_priority,config_selector_mode,selected_variants,selected_max_day,selected_cooldown,selected_daily_order
SPY,20260102,202601,10:00,600,zero_dte,PUT,0.0975372244071789,-0.4599545188406644,0.0975372244071789,-0.6,3.4396553566849954,3.4396553566849954,thr-999.000_maxday1,202601,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1_SPY,d65,3,SELECTED,"d35,d50,d65,d80",2,30,time_asc
SPY,20260102,202601,10:30,630,zero_dte,PUT,0.0441926368450455,-0.1349506460975485,0.0441926368450455,0.9833333002196428,0.5064103269483002,0.5064103269483002,thr0.004_maxday3,202601,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_SPY,d35,1,SELECTED,"d35,d50,d65,d80",2,30,time_asc
SPY,20260105,202601,10:00,600,zero_dte,CALL,0.0504417592625136,0.0504417592625136,-0.3210437228174013,0.5310650228105909,-0.6,0.5310650228105909,thr-999.000_maxday1,202601,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1_SPY,d65,3,SELECTED,"d35,d50,d65,d80",2,30,time_asc
SPY,20260105,202601,10:30,630,zero_dte,CALL,0.1377493924276206,0.1377493924276206,-0.1030514230403917,-0.0446097105669416,-0.1306818297271393,-0.0446097105669416,thr-0.100_maxday2,202601,80,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d80_return_wf202504_202606_v1_SPY,d80,4,SELECTED,"d35,d50,d65,d80",2,30,time_asc
SPY,20260106,202601,10:00,600,zero_dte,CALL,0.1710862998916772,0.1710862998916772,-0.0146871549218448,-0.6,0.4303277903620659,-0.6,thr-999.000_maxday1,202601,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1_SPY,d65,3,SELECTED,"d35,d50,d65,d80",2,30,time_asc
SPY,20260106,202601,10:30,630,zero_dte,CALL,0.1422335427344183,0.1422335427344183,-0.148338068295276,-0.6,1.0121951649438623,-0.6,thr-0.100_maxday2,202601,80,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d80_return_wf202504_202606_v1_SPY,d80,4,SELECTED,"d35,d50,d65,d80",2,30,time_asc
SPY,20260107,202601,10:00,600,zero_dte,CALL,0.0248716685725406,0.0248716685725406,-0.1177793811735886,-0.6,-0.6,-0.6,thr-999.000_maxday1,202601,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1_SPY,d65,3,SELECTED,"d35,d50,d65,d80",2,30,time_asc
SPY,20260107,202601,10:30,630,zero_dte,CALL,0.0052924048961695,0.0052924048961695,-0.1171181450181884,0.2706185364294975,-0.6,0.2706185364294975,thr-0.100_maxday2,202601,80,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d80_return_wf202504_202606_v1_SPY,d80,4,SELECTED,"d35,d50,d65,d80",2,30,time_asc
SPY,20260108,202601,10:00,600,zero_dte,CALL,0.0847756510861228,0.0847756510861228,-0.3007801069435181,0.837499915249647,-0.6,0.837499915249647,thr0.004_maxday3,202601,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_SPY,d35,1,SELECTED,"d35,d50,d65,d80",2,30,time_asc
SPY,20260108,202601,10:35,635,zero_dte,PUT,-0.0209037261121118,-0.2084327388179113,-0.0209037261121118,0.0227272501497566,-0.2248803486615191,-0.2248803486615191,thr-0.100_maxday2,202601,80,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d80_return_wf202504_202606_v1_SPY,d80,4,SELECTED,"d35,d50,d65,d80",2,30,time_asc
SPY,20260109,202601,10:05,605,zero_dte,CALL,0.0425207949015579,0.0425207949015579,-0.2072681180799992,1.873076993614967,-0.6,1.873076993614967,thr0.004_maxday3,202601,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_SPY,d35,1,SELECTED,"d35,d50,d65,d80",2,30,time_asc
SPY,20260109,202601,10:35,635,zero_dte,CALL,0.1905616530756509,0.1905616530756509,-0.0770779000254738,-0.6,1.0937500523868962,-0.6,thr0.004_maxday3,202601,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_SPY,d35,1,SELECTED,"d35,d50,d65,d80",2,30,time_asc
SPY,20260112,202601,10:00,600,zero_dte,CALL,0.2706111657437086,0.2706111657437086,-0.2988994647235816,-0.1944444996339281,-0.6,-0.1944444996339281,thr0.004_maxday3,202601,35,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf202504_202606_v1_SPY,d35,1,SELECTED,"d35,d50,d65,d80",2,30,time_asc
