ticker,profile_id,month,trades,win_rate,profit_factor,net_bps
QQQ,POOLED_BREADTH_CONTROL,202501,34,0.5294117647058824,1.287275340265823,168.23222989985658
QQQ,POOLED_BREADTH_CONTROL,202502,32,0.71875,2.798493599922679,651.2878956430726
QQQ,POOLED_BREADTH_CONTROL,202503,36,0.4722222222222222,0.9349132763925668,-65.88781461929514
QQQ,POOLED_BREADTH_CONTROL,202504,38,0.42105263157894735,0.7312670373756806,-642.6248939359195
QQQ,POOLED_BREADTH_CONTROL,202505,40,0.525,0.891392369103775,-93.7130944218714
QQQ,POOLED_BREADTH_CONTROL,202506,38,0.5789473684210527,1.9148794470948691,339.340043677587
QQQ,POOLED_BREADTH_CONTROL,202507,34,0.6176470588235294,2.273424888743308,316.7394860841994
QQQ,POOLED_BREADTH_CONTROL,202508,34,0.38235294117647056,0.9120428850201414,-44.17860141335319
QQQ,POOLED_BREADTH_CONTROL,202509,28,0.5714285714285714,1.1093560033033676,32.795936649472424
QQQ,POOLED_BREADTH_CONTROL,202510,36,0.6666666666666666,1.5411289269193291,321.46935589191884
QQQ,POOLED_BREADTH_CONTROL,202511,22,0.45454545454545453,1.054758168258885,26.326239122551225
QQQ,POOLED_BREADTH_CONTROL,202512,40,0.4,0.43285822956105097,-487.1282451064283
QQQ,POOLED_GLOBEX_CROSS_ASSET,202501,34,0.5588235294117647,1.0903772996397667,57.824919211370656
QQQ,POOLED_GLOBEX_CROSS_ASSET,202502,32,0.59375,2.070694465511776,482.4173771650525
QQQ,POOLED_GLOBEX_CROSS_ASSET,202503,36,0.6111111111111112,2.3528750903151106,786.306050531068
QQQ,POOLED_GLOBEX_CROSS_ASSET,202504,38,0.5,0.8636784710424636,-302.3877943616715
QQQ,POOLED_GLOBEX_CROSS_ASSET,202505,40,0.525,1.4235542764625897,285.2186312560038
QQQ,POOLED_GLOBEX_CROSS_ASSET,202506,38,0.5,1.392283961793169,178.2720043087332
QQQ,POOLED_GLOBEX_CROSS_ASSET,202507,34,0.5588235294117647,1.8449969903388097,243.01494415417363
QQQ,POOLED_GLOBEX_CROSS_ASSET,202508,34,0.4117647058823529,0.7064494788696613,-164.86279635480898
QQQ,POOLED_GLOBEX_CROSS_ASSET,202509,28,0.5714285714285714,1.3778640443318169,100.52540727431042
QQQ,POOLED_GLOBEX_CROSS_ASSET,202510,36,0.5555555555555556,1.2181507175899626,149.25419107967542
QQQ,POOLED_GLOBEX_CROSS_ASSET,202511,22,0.45454545454545453,1.2888332945921632,124.66189291539446
QQQ,POOLED_GLOBEX_CROSS_ASSET,202512,40,0.425,0.575360653186159,-331.19883524494463
SPX,POOLED_BREADTH_CONTROL,202501,34,0.4117647058823529,0.5401470483868196,-311.68969738715435
SPX,POOLED_BREADTH_CONTROL,202502,32,0.625,2.2281411647239144,438.99669680982066
SPX,POOLED_BREADTH_CONTROL,202503,36,0.4444444444444444,0.9788356533583721,-15.828629512194837
