status,ticker,test_month,train_months,inner_months,feature_hash,weight_cap_q95_train,weight_mean,scientific_mask_rows,scientific_mask_sha256,sci_cell_degenerate,sci_cell_degenerate_reason,sci_c0_accuracy,sci_c0_balanced_accuracy,sci_c0_roc_auc,sci_c0_spearman,sci_p1_accuracy,sci_p1_balanced_accuracy,sci_p1_roc_auc,sci_p1_spearman,sci_ba_delta,control_valid_inner,control_trade_threshold,control_side_margin,control_selection_details_reason,control_test_metrics_trades,control_test_metrics_win_rate,control_test_metrics_profit_factor,control_test_metrics_pnl_return,control_test_metrics_avg_return,control_test_metrics_max_drawdown,control_test_metrics_call_rate,control_test_metrics_days_with_trades,control_test_metrics_daily_win_rate,control_test_metrics_median_daily_return,control_test_metrics_daily_max_drawdown,control_test_metrics_top5_day_return,control_test_metrics_top5_share_of_pnl,control_test_metrics_min_month_trades,control_test_metrics_positive_month_rate,control_diagnostics_pnl,control_diagnostics_min_hold_minutes,control_diagnostics_gross_profit,control_diagnostics_gross_loss,control_diagnostics_outer_trade_records,weighted_valid_inner,weighted_trade_threshold,weighted_side_margin,weighted_selection_details_reason,weighted_test_metrics_trades,weighted_test_metrics_win_rate,weighted_test_metrics_profit_factor,weighted_test_metrics_pnl_return,weighted_test_metrics_avg_return,weighted_test_metrics_max_drawdown,weighted_test_metrics_call_rate,weighted_test_metrics_days_with_trades,weighted_test_metrics_daily_win_rate,weighted_test_metrics_median_daily_return,weighted_test_metrics_daily_max_drawdown,weighted_test_metrics_top5_day_return,weighted_test_metrics_top5_share_of_pnl,weighted_test_metrics_min_month_trades,weighted_test_metrics_positive_month_rate,weighted_diagnostics_pnl,weighted_diagnostics_min_hold_minutes,weighted_diagnostics_gross_profit,weighted_diagnostics_gross_loss,weighted_diagnostics_outer_trade_records,control_selection_details_trade_threshold,control_selection_details_side_margin,control_selection_details_rank_key,control_selection_details_total_trades,control_selection_details_total_pnl,control_selection_details_gate_details_months_202407_trades,control_selection_details_gate_details_months_202407_pf,control_selection_details_gate_details_months_202407_wr,control_selection_details_gate_details_months_202407_pnl,control_selection_details_gate_details_months_202407_min_hold_minutes,control_selection_details_gate_details_months_202407_pass,control_selection_details_gate_details_months_202408_trades,control_selection_details_gate_details_months_202408_pf,control_selection_details_gate_details_months_202408_wr,control_selection_details_gate_details_months_202408_pnl,control_selection_details_gate_details_months_202408_min_hold_minutes,control_selection_details_gate_details_months_202408_pass,control_selection_details_gate_details_months_202409_trades,control_selection_details_gate_details_months_202409_pf,control_selection_details_gate_details_months_202409_wr,control_selection_details_gate_details_months_202409_pnl,control_selection_details_gate_details_months_202409_min_hold_minutes,control_selection_details_gate_details_months_202409_pass,weighted_selection_details_trade_threshold,weighted_selection_details_side_margin,weighted_selection_details_rank_key,weighted_selection_details_total_trades,weighted_selection_details_total_pnl,weighted_selection_details_gate_details_months_202407_trades,weighted_selection_details_gate_details_months_202407_pf,weighted_selection_details_gate_details_months_202407_wr,weighted_selection_details_gate_details_months_202407_pnl,weighted_selection_details_gate_details_months_202407_min_hold_minutes,weighted_selection_details_gate_details_months_202407_pass,weighted_selection_details_gate_details_months_202408_trades,weighted_selection_details_gate_details_months_202408_pf,weighted_selection_details_gate_details_months_202408_wr,weighted_selection_details_gate_details_months_202408_pnl,weighted_selection_details_gate_details_months_202408_min_hold_minutes,weighted_selection_details_gate_details_months_202408_pass,weighted_selection_details_gate_details_months_202409_trades,weighted_selection_details_gate_details_months_202409_pf,weighted_selection_details_gate_details_months_202409_wr,weighted_selection_details_gate_details_months_202409_pnl,weighted_selection_details_gate_details_months_202409_min_hold_minutes,weighted_selection_details_gate_details_months_202409_pass
completed,SPXW,202304,"202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212","202301,202302,202303",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.738865330110682,1.0,562,adc37774e84543961ab5445380c877f1bb6b55dae9e355afa92829f388c46cde,False,,0.603202846975089,0.6048357180710122,0.6719925808161102,0.23018198949085958,0.6014234875444839,0.6002384737678855,0.6505034446210917,0.18719410156063956,-0.004597244303126691,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202305,"202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301","202302,202303,202304",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.7325579351576903,1.0,572,1240b716c5affd7c9109c3028dce2f1215d07060e3189f095cb0992d81b0c25d,False,,0.4143356643356643,0.3982120663984151,0.3492684607528271,-0.212445332166475,0.43006993006993005,0.4150393148510465,0.37488771580100166,-0.2107916736337212,0.016827248452631394,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202306,"202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302","202303,202304,202305",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.7197871380974625,1.0,641,2da1cb20edb4468e94eec66b532bf4fefd5064c3fab8275af95b560de8557cb8,False,,0.5351014040561622,0.511641879247513,0.5436816704422338,0.06768646187383041,0.5335413416536662,0.5122722348074461,0.5317344627203782,0.04362529922081638,0.0006303555599330712,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202307,"202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303","202304,202305,202306",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.7296573534665387,1.0,604,3fa31489e9c0ce30863aa4ba204e1aa1533bc638c293e8f45ceb608a2c74c1a4,False,,0.5645695364238411,0.5059666273386145,0.4795213214225519,-0.017925724799850384,0.5645695364238411,0.511775942468678,0.4694870498342604,-0.025707733683106998,0.005809315130063442,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202308,"202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304","202305,202306,202307",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.7391552504723298,1.0,688,805d3642cbaa73315b68591ca6550781faaf132d8fcedad15152d32c075772da,False,,0.4956395348837209,0.48159900094298747,0.5151260290032368,0.07028846220190735,0.5101744186046512,0.4949367518753557,0.5136903093168863,0.06855243056083024,0.01333775093236822,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202309,"202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305","202306,202307,202308",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.775152118421289,0.9999999999999997,607,19dffb91a4b473e06cf5452edd15cbab3da1b4210054839a2fdfa16274a9a199,False,,0.5453047775947282,0.5740668829092238,0.6113116177075243,0.14983854712642022,0.5436573311367381,0.565780757458084,0.6119055233222166,0.1639511932156368,-0.008286125451139825,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202310,"202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306","202307,202308,202309",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.768161372090013,1.0,700,3e7a4457af64d8f61587166166d02e8749c5201ca24ea51d761a7f60222b758b,False,,0.5085714285714286,0.5085714285714286,0.5058367346938775,-0.026699232564316302,0.5042857142857143,0.5042857142857142,0.49945306122448974,-0.022758641397448695,-0.004285714285714337,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202311,"202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307","202308,202309,202310",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.76582956876112,1.0,595,ff5fda813b3cbdadb79043d21574dc80a4cb3401b758a467c9656e20c6b2bf6c,False,,0.5126050420168067,0.4977567806403371,0.544071329843881,0.033057608772218534,0.5428571428571428,0.5303740964810912,0.5688260485351098,0.08551216540545513,0.03261731584075411,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202312,"202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308","202309,202310,202311",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.792220619626726,1.0,514,9fb318c3ddf8dba295c3a5f2b0be85e26ef6b0ce4090d74d95bf8da80770a65c,False,,0.5642023346303502,0.547590906997805,0.5944987643709037,0.2200940868826261,0.546692607003891,0.5319114644890942,0.6021427803957082,0.24746042208490865,-0.015679442508710784,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
completed,SPXW,202401,"202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309","202310,202311,202312",fa2057653ed0327b7f84a165c25f6e6d31e31b3b05c5591593e9c0bd3056d50e,2.760985959477613,1.0,661,797f16345b0a48b3602d8f715dc4752cf3345d78ace6aae8df48dd616689cd5d,False,,0.5370650529500757,0.5231135719804275,0.5471377064861485,-0.013571648916036386,0.5491679273827534,0.538376991280674,0.5663514955299658,0.015240821831653229,0.015263419300246439,False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],False,0.5,0.0,no_valid_config,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,0.0,,0.0,0.0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
