ticker,month,candidates,wall_proximity,timestamp_covered,both_rights_listed,eligible
QQQ,202208,29,27,29,29,27
QQQ,202209,19,18,19,19,18
QQQ,202210,19,19,19,19,19
QQQ,202211,66,60,66,66,60
QQQ,202212,64,60,64,64,60
QQQ,202301,48,44,48,48,44
QQQ,202302,46,45,46,46,45
QQQ,202303,51,47,51,51,47
QQQ,202304,100,96,100,100,96
QQQ,202305,97,91,97,97,91
QQQ,202306,89,84,89,89,84
QQQ,202307,64,62,64,64,62
QQQ,202308,74,71,74,74,71
QQQ,202309,92,87,92,92,87
QQQ,202310,75,71,75,75,71
QQQ,202311,70,66,70,70,66
QQQ,202312,81,73,81,81,73
QQQ,202401,127,118,127,127,118
QQQ,202402,100,94,100,100,94
QQQ,202403,70,67,70,70,67
QQQ,202404,112,105,112,112,105
QQQ,202405,106,94,106,106,94
QQQ,202406,64,59,64,64,59
QQQ,202407,88,82,88,88,82
QQQ,202408,67,61,67,67,61
QQQ,202409,94,91,94,94,91
QQQ,202410,122,110,122,122,110
QQQ,202411,92,84,92,92,84
QQQ,202412,100,93,100,100,93
QQQ,202501,67,63,67,67,63
QQQ,202502,78,72,78,78,72
QQQ,202503,59,55,59,59,55
QQQ,202504,48,47,48,48,47
QQQ,202505,54,52,54,54,52
QQQ,202506,98,90,98,98,90
QQQ,202507,97,89,97,97,89
QQQ,202508,79,74,79,79,74
QQQ,202509,75,67,75,75,67
QQQ,202510,82,74,82,82,74
QQQ,202511,54,52,54,54,52
QQQ,202512,79,76,79,79,76
SPXW,202208,115,109,115,115,109
SPXW,202209,44,40,44,44,40
SPXW,202210,35,32,35,35,32
SPXW,202211,61,59,61,61,59
SPXW,202212,65,60,65,65,60
SPXW,202301,37,33,37,37,33
SPXW,202302,35,33,35,35,33
SPXW,202303,40,38,40,40,38
SPXW,202304,81,79,81,81,79
SPXW,202305,95,83,95,95,83
SPXW,202306,133,126,133,133,126
SPXW,202307,87,80,87,87,80
SPXW,202308,89,84,89,89,84
SPXW,202309,117,105,117,117,105
SPXW,202310,131,122,131,131,122
SPXW,202311,97,84,97,97,84
SPXW,202312,125,115,125,125,115
SPXW,202401,129,116,129,129,116
SPXW,202402,111,102,111,111,102
SPXW,202403,88,81,88,88,81
SPXW,202404,67,63,67,67,63
SPXW,202405,85,72,85,85,72
SPXW,202406,105,95,105,105,95
SPXW,202407,106,101,106,106,101
SPXW,202408,73,68,73,73,68
SPXW,202409,80,71,80,80,71
SPXW,202410,96,89,96,96,89
SPXW,202411,66,62,66,66,62
SPXW,202412,150,140,150,150,140
SPXW,202501,85,79,85,85,79
SPXW,202502,70,67,70,70,67
SPXW,202503,46,45,46,46,45
SPXW,202504,52,49,52,52,49
SPXW,202505,58,55,58,58,55
SPXW,202506,76,74,76,76,74
SPXW,202507,121,108,121,121,108
SPXW,202508,94,88,94,94,88
SPXW,202509,110,99,110,110,99
SPXW,202510,85,77,85,85,77
SPXW,202511,70,66,70,70,66
SPXW,202512,122,114,122,122,114
SPY,202208,56,54,56,56,54
SPY,202209,22,20,22,22,20
SPY,202210,22,22,22,22,22
SPY,202211,68,64,68,68,64
SPY,202212,90,85,90,90,85
SPY,202301,91,88,91,91,88
SPY,202302,60,54,60,60,54
SPY,202303,101,95,101,101,95
SPY,202304,87,76,87,87,76
SPY,202305,101,94,101,101,94
SPY,202306,128,118,128,128,118
SPY,202307,98,91,98,98,91
SPY,202308,111,100,111,111,100
SPY,202309,98,88,98,98,88
SPY,202310,126,121,126,126,121
SPY,202311,125,111,125,125,111
SPY,202312,92,80,92,92,80
SPY,202401,107,92,107,107,92
SPY,202402,134,118,134,134,118
SPY,202403,120,113,120,120,113
SPY,202404,87,81,87,87,81
SPY,202405,91,79,91,91,79
SPY,202406,122,109,122,122,109
SPY,202407,101,83,101,101,83
SPY,202408,99,91,99,99,91
SPY,202409,107,100,107,107,100
SPY,202410,137,120,137,137,120
SPY,202411,75,66,75,75,66
SPY,202412,115,106,115,115,106
SPY,202501,82,74,82,82,74
SPY,202502,65,60,65,65,60
SPY,202503,84,77,84,84,77
SPY,202504,39,38,39,39,38
SPY,202505,97,91,97,97,91
SPY,202506,107,98,107,107,98
SPY,202507,157,138,157,157,138
SPY,202508,117,101,117,117,101
SPY,202509,154,138,154,154,138
SPY,202510,142,126,142,142,126
SPY,202511,89,81,89,89,81
SPY,202512,151,139,151,151,139
