ticker,trades,win_rate,profit_factor,net_bps,min_month_trades,positive_months,incremental_gate_pass,objective_gate_pass
QQQ,247,0.5182186234817814,1.204351428046685,1060.2786550505286,18,7,True,False
SPXW,244,0.5204918032786885,1.2479453537482896,1030.0905800044536,17,8,True,False
SPY,244,0.5327868852459017,1.3463415562391026,1381.5559788757496,17,8,True,False
