dir,name,trade_file,fold_file,passed_metrics,fold_ok,fold_issue,overall_trades,overall_win_rate,overall_profit_factor,overall_pnl_return,overall_min_month_trades,overall_call_rate,overall_positive_month_rate,SPXW_trades,SPXW_win_rate,SPXW_profit_factor,SPXW_pnl_return,SPXW_min_month_trades,SPXW_call_rate,SPXW_positive_month_rate,SPY_trades,SPY_win_rate,SPY_profit_factor,SPY_pnl_return,SPY_min_month_trades,SPY_call_rate,SPY_positive_month_rate,QQQ_trades,QQQ_win_rate,QQQ_profit_factor,QQQ_pnl_return,QQQ_min_month_trades,QQQ_call_rate,QQQ_positive_month_rate,passed_all
research_papers\JEPA\results\event_static_union_pre2025_qbackfill_spxwspy_guard_vprotect_roll3le0_p3_t18_2025_2026_risk5000_v1,event_static_union_pre2025_qbackfill_spxwspy_guard_vprotect_roll3le0_p3_t18_2025_2026_risk5000_v1,combined_trades.csv,combined_folds.csv,True,True,ok,248,0.5483870967741935,1.9807026647619523,19.195843436772982,59,0.6411290322580645,1.0,75,0.5066666666666667,1.8027063037774333,5.294308406276364,18,0.5333333333333333,0.75,100,0.54,1.7007217528941478,6.552681174482418,21,0.69,1.0,73,0.6027397260273972,3.026344142649131,7.348853856014204,18,0.684931506849315,1.0,True
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_uniform_backfill_d50max3_causal_2023_2026_v1,event_option_gate_dense15_zero_dte_win_d25_strict_uniform_backfill_d50max3_causal_2023_2026_v1,combined_trades.csv,combined_folds.csv,True,True,ok,249,0.5381526104417671,1.9420289855072472,32.5,57,0.30522088353413657,1.0,79,0.5569620253164557,2.095238095238095,11.499999999999998,19,0.2911392405063291,1.0,81,0.5308641975308642,1.8859649122807012,10.1,19,0.25925925925925924,1.0,89,0.5280898876404494,1.865079365079365,10.899999999999999,19,0.3595505617977528,1.0,True
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1,combined_trades.csv,combined_folds.csv,True,True,ok,252,0.5317460317460317,1.8926553672316397,31.599999999999998,57,0.3055555555555556,1.0,82,0.5365853658536586,1.929824561403508,10.599999999999998,19,0.2926829268292683,1.0,81,0.5308641975308642,1.8859649122807012,10.1,19,0.25925925925925924,1.0,89,0.5280898876404494,1.865079365079365,10.899999999999999,19,0.3595505617977528,1.0,True
research_papers\JEPA\results\event_static_union_pre2025_qbackfill_spxwspy_guard_vprotect_t4p2_roll5m2_t19_2025_2026_risk5000_v1,event_static_union_pre2025_qbackfill_spxwspy_guard_vprotect_t4p2_roll5m2_t19_2025_2026_risk5000_v1,combined_trades.csv,combined_folds.csv,True,True,ok,355,0.543661971830986,1.7236333320104247,22.613162710002157,81,0.6422535211267606,1.0,82,0.5121951219512195,1.7371907395113129,5.335253546790646,19,0.5487804878048781,1.0,190,0.5368421052631579,1.5133297356403543,9.694510831173018,38,0.6684210526315789,0.75,83,0.5903614457831325,2.479209412831333,7.583398332038496,20,0.6746987951807228,1.0,True
research_papers\JEPA\results\event_static_union_h1h2_qbackfill_spxwspy_objpass_simpler_spy_2025_2026_risk5000_v1,event_static_union_h1h2_qbackfill_spxwspy_objpass_simpler_spy_2025_2026_risk5000_v1,combined_trades.csv,combined_folds.csv,True,True,ok,368,0.5489130434782609,1.721752309138535,22.973602771635086,83,0.6521739130434783,1.0,82,0.5121951219512195,1.7371907395113129,5.335253546790646,19,0.5487804878048781,1.0,201,0.5373134328358209,1.4571417739649106,9.050255320713681,38,0.6865671641791045,0.5,85,0.611764705882353,2.790843946031381,8.588093904130755,20,0.6705882352941176,1.0,True
research_papers\JEPA\results\event_static_union_pre2025_qbackfill_spxwspy_guard_t4p2_roll5m2_2025_2026_risk5000_v1,event_static_union_pre2025_qbackfill_spxwspy_guard_t4p2_roll5m2_2025_2026_risk5000_v1,combined_trades.csv,combined_folds.csv,True,True,ok,349,0.5415472779369628,1.7042531643907497,21.947764044119204,81,0.6475644699140402,1.0,80,0.5125,1.7171270612348069,5.139552693671201,19,0.55,1.0,190,0.5368421052631579,1.5133297356403543,9.694510831173018,38,0.6684210526315789,0.75,79,0.5822784810126582,2.3915182540666606,7.1137005192749845,18,0.6962025316455697,1.0,True
research_papers\JEPA\results\event_static_union_pre2025_qbackfill_spxwspy_objpass_simpler_spy_2025_2026_risk5000_v1,event_static_union_pre2025_qbackfill_spxwspy_objpass_simpler_spy_2025_2026_risk5000_v1,combined_trades.csv,combined_folds.csv,True,True,ok,368,0.5434782608695652,1.6937898281184276,22.377015338700332,83,0.6521739130434783,1.0,82,0.5121951219512195,1.7371907395113129,5.335253546790646,19,0.5487804878048781,1.0,201,0.5373134328358209,1.4571417739649106,9.050255320713681,38,0.6865671641791045,0.5,85,0.5882352941176471,2.5313658407385504,7.991506471196005,20,0.6705882352941176,1.0,True
research_papers\JEPA\results\event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_2026janmay_risk5000,event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_2026janmay_risk5000,combined_trades.csv,combined_folds.csv,True,True,ok,456,0.5219298245614035,1.68484573120667,35.94620471411866,103,0.6425438596491229,1.0,166,0.5120481927710844,1.5461472315118736,9.719222172094591,26,0.7409638554216867,1.0,102,0.5490196078431373,2.0125136370743584,13.612637167453569,23,0.4411764705882353,1.0,188,0.5159574468085106,1.5936816610552922,12.614345374570494,40,0.6648936170212766,1.0,True
research_papers\JEPA\results\event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_2026janjun_partial_risk5000,event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_2026janjun_partial_risk5000,combined_trades.csv,combined_folds.csv,True,True,ok,456,0.5219298245614035,1.68484573120667,35.94620471411866,103,0.6425438596491229,1.0,166,0.5120481927710844,1.5461472315118736,9.719222172094591,26,0.7409638554216867,1.0,102,0.5490196078431373,2.0125136370743584,13.612637167453569,23,0.4411764705882353,1.0,188,0.5159574468085106,1.5936816610552922,12.614345374570494,40,0.6648936170212766,1.0,True
research_papers\JEPA\results\event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_janmaynested_2026janmay_risk5000,event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_janmaynested_2026janmay_risk5000,combined_trades.csv,combined_folds.csv,True,True,ok,456,0.5219298245614035,1.68484573120667,35.94620471411866,103,0.6425438596491229,1.0,166,0.5120481927710844,1.5461472315118736,9.719222172094591,26,0.7409638554216867,1.0,102,0.5490196078431373,2.0125136370743584,13.612637167453569,23,0.4411764705882353,1.0,188,0.5159574468085106,1.5936816610552922,12.614345374570494,40,0.6648936170212766,1.0,True
research_papers\JEPA\results\event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_srchist10d20t_bftopk_2026janmay_risk5000,event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_srchist10d20t_bftopk_2026janmay_risk5000,combined_trades.csv,combined_folds.csv,True,True,ok,457,0.5164113785557987,1.6180020088406777,34.27953997523526,104,0.6477024070021882,1.0,166,0.5120481927710844,1.5461472315118736,9.719222172094591,26,0.7409638554216867,1.0,103,0.5242718446601942,1.7273176419970004,11.945972428570169,23,0.46601941747572817,1.0,188,0.5159574468085106,1.5936816610552922,12.614345374570494,40,0.6648936170212766,1.0,True
research_papers\JEPA\results\event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_srchist10d20t_bftopk_2026janjun_partial_risk5000,event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_srchist10d20t_bftopk_2026janjun_partial_risk5000,combined_trades.csv,combined_folds.csv,True,True,ok,457,0.5164113785557987,1.6180020088406777,34.27953997523526,104,0.6477024070021882,1.0,166,0.5120481927710844,1.5461472315118736,9.719222172094591,26,0.7409638554216867,1.0,103,0.5242718446601942,1.7273176419970004,11.945972428570169,23,0.46601941747572817,1.0,188,0.5159574468085106,1.5936816610552922,12.614345374570494,40,0.6648936170212766,1.0,True
research_papers\JEPA\results\event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_srchist_relmomtopk2_2026janmay_risk5000,event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_srchist_relmomtopk2_2026janmay_risk5000,combined_trades.csv,combined_folds.csv,True,True,ok,457,0.5164113785557987,1.6180020088406777,34.27953997523526,104,0.6477024070021882,1.0,166,0.5120481927710844,1.5461472315118736,9.719222172094591,26,0.7409638554216867,1.0,103,0.5242718446601942,1.7273176419970004,11.945972428570169,23,0.46601941747572817,1.0,188,0.5159574468085106,1.5936816610552922,12.614345374570494,40,0.6648936170212766,1.0,True
research_papers\JEPA\results\event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_srchist_relmomtopk2_2026janjun_partial_risk5000,event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_srchist_relmomtopk2_2026janjun_partial_risk5000,combined_trades.csv,combined_folds.csv,True,True,ok,457,0.5164113785557987,1.6180020088406777,34.27953997523526,104,0.6477024070021882,1.0,166,0.5120481927710844,1.5461472315118736,9.719222172094591,26,0.7409638554216867,1.0,103,0.5242718446601942,1.7273176419970004,11.945972428570169,23,0.46601941747572817,1.0,188,0.5159574468085106,1.5936816610552922,12.614345374570494,40,0.6648936170212766,1.0,True
research_papers\JEPA\results\event_option_current_best_causal_spxw_s1m19_qqq_recenttopk_2026janmay_risk5000,event_option_current_best_causal_spxw_s1m19_qqq_recenttopk_2026janmay_risk5000,combined_trades.csv,combined_folds.csv,True,True,ok,421,0.5154394299287411,1.5711068208546048,27.7987240978048,82,0.5415676959619953,1.0,118,0.5254237288135594,1.668629802108184,8.521061125895955,22,0.6101694915254238,1.0,115,0.5043478260869565,1.453797777321281,6.6633175973383505,20,0.26956521739130435,1.0,188,0.5159574468085106,1.5936816610552922,12.614345374570494,40,0.6648936170212766,1.0,True
research_papers\JEPA\results\event_option_current_best_causal_spxw_s1m19_qqq_recenttopk_2026janjun_partial_risk5000,event_option_current_best_causal_spxw_s1m19_qqq_recenttopk_2026janjun_partial_risk5000,combined_trades.csv,combined_folds.csv,True,True,ok,421,0.5154394299287411,1.5711068208546048,27.7987240978048,82,0.5415676959619953,1.0,118,0.5254237288135594,1.668629802108184,8.521061125895955,22,0.6101694915254238,1.0,115,0.5043478260869565,1.453797777321281,6.6633175973383505,20,0.26956521739130435,1.0,188,0.5159574468085106,1.5936816610552922,12.614345374570494,40,0.6648936170212766,1.0,True
research_papers\JEPA\results\event_option_current_best_causal_spxw_s1m19_qqq_outerselector_call50_2026janmay_risk5000,event_option_current_best_causal_spxw_s1m19_qqq_outerselector_call50_2026janmay_risk5000,combined_trades.csv,combined_folds.csv,True,True,ok,421,0.5154394299287411,1.5711068208546048,27.7987240978048,82,0.5415676959619953,1.0,118,0.5254237288135594,1.668629802108184,8.521061125895955,22,0.6101694915254238,1.0,115,0.5043478260869565,1.453797777321281,6.6633175973383505,20,0.26956521739130435,1.0,188,0.5159574468085106,1.5936816610552922,12.614345374570494,40,0.6648936170212766,1.0,True
research_papers\JEPA\results\event_option_current_best_causal_spxw_s1m19_qqq_topk_s2_2026janmay_risk5000,event_option_current_best_causal_spxw_s1m19_qqq_topk_s2_2026janmay_risk5000,combined_trades.csv,combined_folds.csv,True,True,ok,421,0.5154394299287411,1.5711068208546048,27.7987240978048,82,0.5415676959619953,1.0,118,0.5254237288135594,1.668629802108184,8.521061125895955,22,0.6101694915254238,1.0,115,0.5043478260869565,1.453797777321281,6.6633175973383505,20,0.26956521739130435,1.0,188,0.5159574468085106,1.5936816610552922,12.614345374570494,40,0.6648936170212766,1.0,True
research_papers\JEPA\results\event_option_current_best_causal_spxw_s1m19_qqq_recenttopk_spy_junes2_2026janjun_partial_risk5000,event_option_current_best_causal_spxw_s1m19_qqq_recenttopk_spy_junes2_2026janjun_partial_risk5000,combined_trades.csv,combined_folds.csv,True,True,ok,421,0.5154394299287411,1.5711068208546048,27.7987240978048,82,0.5415676959619953,1.0,118,0.5254237288135594,1.668629802108184,8.521061125895955,22,0.6101694915254238,1.0,115,0.5043478260869565,1.453797777321281,6.6633175973383505,20,0.26956521739130435,1.0,188,0.5159574468085106,1.5936816610552922,12.614345374570494,40,0.6648936170212766,1.0,True
research_papers\JEPA\results\event_static_union_longsrc_2024h2select_2025_2026janmay_daily_guard_l5p2_risk5000_v1,event_static_union_longsrc_2024h2select_2025_2026janmay_daily_guard_l5p2_risk5000_v1,combined_trades.csv,combined_folds.csv,True,True,ok,438,0.5273972602739726,1.5548750234840545,22.68874054089781,102,0.6141552511415526,1.0,82,0.5121951219512195,1.7371907395113129,5.335253546790646,19,0.5487804878048781,1.0,208,0.5432692307692307,1.5676464289458187,11.606373186236834,44,0.6442307692307693,1.0,148,0.5135135135135135,1.4351875826629967,5.747113807870331,34,0.6081081081081081,0.75,True
research_papers\JEPA\results\event_option_h2_spxw_cap4_qqq_mtdrescue_spy_candidate_2026janmay_risk5000,event_option_h2_spxw_cap4_qqq_mtdrescue_spy_candidate_2026janmay_risk5000,combined_trades.csv,combined_folds.csv,True,True,ok,396,0.49242424242424243,1.5405725580050038,26.59193949102982,81,0.5,1.0,128,0.515625,1.6693423941115757,8.544221642307212,24,0.7109375,1.0,145,0.45517241379310347,1.405285807125485,7.8994889538995094,22,0.4,1.0,123,0.5121951219512195,1.599213338144143,10.148228894823095,27,0.3983739837398374,1.0,True
research_papers\JEPA\results\event_option_mixed_ordergrid_spxw_spyrolling_qqqstatic_scorecap5_2026janmay_v1,event_option_mixed_ordergrid_spxw_spyrolling_qqqstatic_scorecap5_2026janmay_v1,combined_trades.csv,combined_folds.csv,True,True,ok,889,0.5016872890888638,1.539825347811523,55.183692420655376,167,0.6141732283464567,1.0,134,0.582089552238806,2.151691280200147,12.493151017873931,19,0.7985074626865671,1.0,318,0.5157232704402516,1.6141363499045411,24.83311363281367,63,0.5345911949685535,1.0,437,0.4668192219679634,1.35054706341436,17.857427769967764,72,0.6155606407322655,1.0,True
