ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_variant,source_priority,config_selector_mode,selected_variants,selected_max_day,selected_cooldown,selected_daily_order,source_stream,source_file,candidate_id
QQQ,20260102,202601,10:00,600,zero_dte,CALL,-0.1829301663478824,-0.1829301663478824,-0.5004231643186486,-0.6,5.0,-0.6,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,0
SPY,20260102,202601,10:00,600,zero_dte,CALL,-0.4473322576007165,-0.4473322576007165,-0.4725766541153081,-0.6,5.0,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,0
SPXW,20260102,202601,11:00,660,zero_dte,PUT,0.3075736472412488,-0.4286083877205024,0.3075736472412488,-0.6,-0.6,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,0
SPY,20260105,202601,10:00,600,zero_dte,PUT,-0.2928156341426419,-0.3844548563163757,-0.2928156341426419,1.1730769936149668,-0.6,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,1
QQQ,20260105,202601,10:25,625,zero_dte,CALL,-0.1990015891819925,-0.1990015891819925,-0.4950714427243121,0.511904839620571,-0.6,0.511904839620571,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,1
SPXW,20260105,202601,12:35,755,zero_dte,PUT,0.3944208933897449,-0.3601542505700144,0.3944208933897449,-0.6,0.3055555555555556,0.3055555555555556,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,1
QQQ,20260106,202601,10:00,600,zero_dte,CALL,-0.0463637197509293,-0.0463637197509293,-0.4130804531863689,-0.6,0.3457446848984593,-0.6,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,2
SPY,20260106,202601,10:00,600,zero_dte,PUT,-0.2423045643072063,-0.4399293083763786,-0.2423045643072063,0.3499999403953562,0.3425925557996034,0.3425925557996034,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,2
SPXW,20260106,202601,11:45,705,zero_dte,PUT,0.3930889899602123,-0.4872931194137141,0.3930889899602123,1.4817073340929388,-0.6,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,2
QQQ,20260107,202601,10:00,600,zero_dte,CALL,-0.0892849066869965,-0.0892849066869965,-0.3089851202753661,0.6388888336994052,-0.6,0.6388888336994052,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,3
