ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_variant,source_priority,config_selector_mode,selected_variants,selected_max_day,selected_cooldown,selected_daily_order,source_stream,source_file,candidate_id
SPY,20260107,202601,10:00,600,zero_dte,CALL,-0.2301431773352988,-0.2301431773352988,-0.2425463439478251,-0.6,0.326271268630367,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,3
SPXW,20260107,202601,10:10,610,zero_dte,CALL,0.2875834196051646,0.2875834196051646,-0.6018044966574453,0.4499999682108562,0.3289473684210526,0.4499999682108562,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,3
QQQ,20260108,202601,10:00,600,zero_dte,CALL,0.248618861614786,0.248618861614786,-0.3626591631817767,1.2685184449325404,-0.6,1.2685184449325404,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,4
SPY,20260108,202601,10:00,600,zero_dte,CALL,0.0365143697777826,0.0365143697777826,-0.2011198984432095,1.0909090385703015,-0.6,1.0909090385703015,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,4
SPY,20260109,202601,10:05,605,zero_dte,CALL,-0.0375614352519793,-0.0375614352519793,-0.3279406844186537,2.3175676633529707,-0.6,2.3175676633529707,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,5
QQQ,20260109,202601,10:10,610,zero_dte,CALL,-0.0922957399060451,-0.0922957399060451,-0.5972853469350116,3.3467740043765195,-0.6,3.3467740043765195,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,5
SPXW,20260109,202601,10:30,630,zero_dte,PUT,0.2953608777724475,-0.5061050785139498,0.2953608777724475,-0.6,0.9429824836586542,0.9429824836586542,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,4
SPXW,20260112,202601,10:00,600,zero_dte,CALL,0.4639285084187114,0.4639285084187114,-0.6908857327411233,-0.2222222148636239,-0.6,-0.2222222148636239,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,5
SPY,20260112,202601,10:00,600,zero_dte,PUT,-0.4039847797510408,-0.4974477977312307,-0.4039847797510408,-0.1944444996339281,-0.6,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,6
QQQ,20260112,202601,10:10,610,zero_dte,CALL,-0.1976516284685714,-0.1976516284685714,-0.5358353003754989,0.4954544686088893,-0.6,0.4954544686088893,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,6
SPY,20260113,202601,10:10,610,zero_dte,PUT,-0.394493095054385,-0.4760851994730847,-0.394493095054385,-0.6,0.5227272173097308,0.5227272173097308,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,7
QQQ,20260113,202601,10:20,620,zero_dte,CALL,0.0996001809644345,0.0996001809644345,-0.587097737214487,0.6184210196096147,0.3472221256406258,0.6184210196096147,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,7
SPXW,20260113,202601,10:50,650,zero_dte,CALL,0.3276496580863583,0.3276496580863583,-0.3109268513482756,0.3636363069873223,-0.6,0.3636363069873223,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,6
QQQ,20260114,202601,10:00,600,zero_dte,CALL,0.2780115236773573,0.2780115236773573,-0.4681812749684311,0.3283132158078128,-0.6,0.3283132158078128,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,8
SPY,20260114,202601,10:00,600,zero_dte,CALL,0.1401345708416669,0.1401345708416669,-0.0595034701865532,-0.6,-0.6,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,8
SPXW,20260114,202601,10:50,650,zero_dte,PUT,0.3931854625356525,-0.2525829604900431,0.3931854625356525,0.75,-0.6,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,7
SPY,20260115,202601,10:00,600,zero_dte,PUT,-0.0635268155322694,-0.4959562895378325,-0.0635268155322694,0.2754237562101223,-0.6,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,9
QQQ,20260115,202601,10:20,620,zero_dte,PUT,-0.1372648205124985,-0.3899037714582501,-0.1372648205124985,0.6323529343016556,0.3879310610603359,0.3879310610603359,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,9
SPXW,20260115,202601,10:50,650,zero_dte,PUT,0.3401039378644733,-0.5349636358087476,0.3401039378644733,0.9166667770456414,-0.6,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,8
SPY,20260116,202601,10:00,600,zero_dte,PUT,-0.2373753194186789,-0.5242687036798666,-0.2373753194186789,-0.6,0.3418366453241495,0.3418366453241495,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,10
QQQ,20260116,202601,10:35,635,zero_dte,PUT,-0.0727057711135461,-0.4707322184729101,-0.0727057711135461,0.3214286829338628,0.4542254573460333,0.4542254573460333,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,10
SPXW,20260116,202601,11:55,715,zero_dte,CALL,0.4987672679094314,0.4987672679094314,-0.5261153840707458,-0.6,-0.6,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,9
SPY,20260120,202601,10:00,600,zero_dte,CALL,0.4538204080588065,0.4538204080588065,-0.3413620341517106,-0.6,-0.6,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,11
QQQ,20260120,202601,10:05,605,zero_dte,CALL,0.2715119015678858,0.2715119015678858,-0.4322157149989557,-0.6,-0.6,-0.6,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,11
SPXW,20260120,202601,10:40,640,zero_dte,PUT,0.3172247020138067,0.0842433192248505,0.3172247020138067,-0.6,0.3706895361048752,0.3706895361048752,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,10
SPXW,20260121,202601,10:00,600,zero_dte,PUT,0.3893187647684191,-0.0077591084285139,0.3893187647684191,0.3999999364217121,-0.6,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,11
SPY,20260121,202601,10:00,600,zero_dte,CALL,-0.1766639016263281,-0.1766639016263281,-0.2845185773022486,0.3970588029049668,-0.6,0.3970588029049668,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,12
QQQ,20260121,202601,10:25,625,zero_dte,CALL,-0.0704006094934293,-0.0704006094934293,-0.3484857325921889,1.809999942779541,-0.6,1.809999942779541,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,12
QQQ,20260122,202601,10:00,600,zero_dte,CALL,-0.1419339446280544,-0.1419339446280544,-0.5079127186259774,0.2692308662205793,-0.6,0.2692308662205793,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,13
SPY,20260122,202601,10:00,600,zero_dte,PUT,-0.179995685841368,-0.2515674499961429,-0.179995685841368,0.3362069709689403,-0.6,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,13
SPXW,20260122,202601,11:25,685,zero_dte,PUT,0.3743867180443962,-0.614735776379299,0.3743867180443962,0.2865854481158709,-0.6,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,12
SPY,20260123,202601,10:00,600,zero_dte,PUT,-0.0933734455191756,-0.5838795189681033,-0.0933734455191756,0.4166666666666667,-0.6,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,14
QQQ,20260123,202601,10:45,645,zero_dte,PUT,-0.0820837655199984,-0.4558003082511294,-0.0820837655199984,1.156249994179234,0.4057376504553112,0.4057376504553112,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,14
SPXW,20260123,202601,11:00,660,zero_dte,CALL,0.3518355989805205,0.3518355989805205,-0.600842007380995,-0.6,0.4166666025756513,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,13
SPY,20260126,202601,10:00,600,zero_dte,CALL,0.0660114813587413,0.0660114813587413,-0.1027523719177903,0.7857142515024362,-0.6,0.7857142515024362,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,15
QQQ,20260126,202601,10:20,620,zero_dte,CALL,0.0844597508969103,0.0844597508969103,-0.5005669021121872,0.3175675022593383,0.3409090724365768,0.3175675022593383,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,15
SPXW,20260126,202601,11:10,670,zero_dte,CALL,0.3401993904928434,0.3401993904928434,-0.3474068773615658,0.306603835120498,-0.6,0.306603835120498,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,14
QQQ,20260127,202601,10:00,600,zero_dte,CALL,0.2169627143881799,0.2169627143881799,-0.7369627736945005,0.2717390769145449,-0.6,0.2717390769145449,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,16
SPY,20260127,202601,10:00,600,zero_dte,CALL,-0.2600981266886533,-0.2600981266886533,-0.4786743380347511,0.3815789803903853,-0.6,0.3815789803903853,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,16
SPXW,20260127,202601,10:05,605,zero_dte,CALL,0.3265228319670127,0.3265228319670127,-0.6048841229231011,0.571428568387518,-0.6,0.571428568387518,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,15
QQQ,20260128,202601,10:00,600,zero_dte,CALL,-0.116968231010117,-0.116968231010117,-0.3867317204935007,-0.6,0.3088235912850996,-0.6,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,17
SPY,20260128,202601,10:00,600,zero_dte,CALL,0.0478812777435473,0.0478812777435473,-0.3778189224670875,-0.6,0.25,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,17
SPXW,20260128,202601,10:40,640,zero_dte,PUT,0.3057350311697399,-0.3832688482454847,0.3057350311697399,-0.6,0.2571428843906946,0.2571428843906946,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,16
SPY,20260129,202601,10:10,610,zero_dte,CALL,0.1500988802413399,0.1500988802413399,-0.162179932918467,-0.6,1.083333167764882,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,18
QQQ,20260129,202601,10:15,615,zero_dte,CALL,0.3363008561398227,0.3363008561398227,-0.4602787248546683,-0.6,0.9624999431893236,-0.6,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,18
SPXW,20260129,202601,11:15,675,zero_dte,PUT,0.4531940820447829,0.0562511447805788,0.4531940820447829,0.3879309806188722,-0.6,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,17
SPY,20260130,202601,10:00,600,zero_dte,PUT,-0.0658830553349729,-0.2026758331929459,-0.0658830553349729,0.75,-0.6,-0.6,thr-999.000_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,19
SPXW,20260130,202601,10:05,605,zero_dte,PUT,0.3573002478800033,-0.2859624333389466,0.3573002478800033,0.527777851363761,-0.6,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,18
QQQ,20260130,202601,10:15,615,zero_dte,PUT,-0.1979145743085603,-0.2696663398599467,-0.1979145743085603,-0.6,1.0084269918767572,1.0084269918767572,thr-0.200_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,19
SPY,20260202,202602,10:10,610,zero_dte,PUT,0.5237102631530429,-0.4071991494402027,0.5237102631530429,0.7055555967637062,-0.6,-0.6,thr-0.200_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,20
QQQ,20260202,202602,10:15,615,zero_dte,PUT,0.5076867508788545,-0.2396030170244906,0.5076867508788545,0.6217949893582779,-0.6,-0.6,thr0.506_maxday2,202602,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,20
SPXW,20260202,202602,10:50,650,zero_dte,PUT,0.6063478913781115,-0.6087756164313012,0.6063478913781115,0.5833333554091282,0.3452381222696814,0.3452381222696814,thr0.604_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,19
SPY,20260203,202602,10:15,615,zero_dte,PUT,0.4041060947568473,-0.1632577197139149,0.4041060947568473,-0.6,0.3729507972463046,0.3729507972463046,thr-0.200_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,21
QQQ,20260203,202602,12:25,745,zero_dte,PUT,0.5427455245236048,0.1760593256123492,0.5427455245236048,-0.6,1.790816286810733,1.790816286810733,thr0.506_maxday2,202602,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,21
SPXW,20260203,202602,12:50,770,zero_dte,PUT,0.7366420735953255,-0.5684411611184306,0.7366420735953255,-0.6,0.9885321534369288,0.9885321534369288,thr0.604_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,20
SPY,20260204,202602,10:00,600,zero_dte,PUT,0.4975996342586757,0.0046752884146236,0.4975996342586757,1.1370967865982609,-0.6,-0.6,thr-0.200_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,22
SPXW,20260204,202602,10:25,625,zero_dte,PUT,0.6700790209607015,-0.5911175389166194,0.6700790209607015,-0.6,1.28606565719457,1.28606565719457,thr0.604_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,21
QQQ,20260204,202602,11:20,680,zero_dte,PUT,0.5760960193921377,0.2399773756196231,0.5760960193921377,-0.6,0.6413043238828227,0.6413043238828227,thr0.506_maxday2,202602,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,22
QQQ,20260205,202602,10:15,615,zero_dte,PUT,0.5275592220647181,0.1753253266088509,0.5275592220647181,0.4625748314919542,-0.6,-0.6,thr0.506_maxday2,202602,d25,0,NO_HISTORY,d25,1,0,time_asc,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_trades.csv,23
SPY,20260205,202602,10:15,615,zero_dte,PUT,0.4883394682601244,0.1457629624423265,0.4883394682601244,0.3552632156831743,-0.6,-0.6,thr-0.200_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,23
SPXW,20260205,202602,11:00,660,zero_dte,PUT,0.6761259699463641,-0.5630916865764602,0.6761259699463641,0.540697550631787,-0.6,-0.6,thr0.604_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,22
SPXW,20260206,202602,10:25,625,zero_dte,PUT,0.7049861168542463,-0.6001783276259219,0.7049861168542463,0.2528902396886854,-0.6,-0.6,thr0.604_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_trades.csv,23
SPY,20260206,202602,10:25,625,zero_dte,PUT,0.5058706651643552,-0.1724502340123823,0.5058706651643552,0.2976190391716771,-0.6,-0.6,thr-0.200_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc,SPY,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPY_wf2026_v1\trade_union_config_selector_trades.csv,24
