cell_id,fold,ticker,horizon,arm,bin,lower,upper,count,mean_probability,event_rate
2024_SPXW_180m,2024,SPXW,180,F0,0,0.0,0.1,0,,
2024_SPXW_180m,2024,SPXW,180,F0,1,0.1,0.2,0,,
2024_SPXW_180m,2024,SPXW,180,F0,2,0.2,0.30000000000000004,19,0.2717118527453315,0.631578947368421
2024_SPXW_180m,2024,SPXW,180,F0,3,0.30000000000000004,0.4,91,0.3556413984455922,0.3516483516483517
2024_SPXW_180m,2024,SPXW,180,F0,4,0.4,0.5,167,0.4542664379512577,0.437125748502994
2024_SPXW_180m,2024,SPXW,180,F0,5,0.5,0.6000000000000001,142,0.5485241515004374,0.44366197183098594
2024_SPXW_180m,2024,SPXW,180,F0,6,0.6000000000000001,0.7000000000000001,73,0.6432585377723213,0.3013698630136986
2024_SPXW_180m,2024,SPXW,180,F0,7,0.7000000000000001,0.8,10,0.7193777946930677,0.2
2024_SPXW_180m,2024,SPXW,180,F0,8,0.8,0.9,0,,
2024_SPXW_180m,2024,SPXW,180,F0,9,0.9,1.0,0,,
2024_SPXW_180m,2024,SPXW,180,F1,0,0.0,0.1,0,,
2024_SPXW_180m,2024,SPXW,180,F1,1,0.1,0.2,5,0.1607113872523845,0.2
2024_SPXW_180m,2024,SPXW,180,F1,2,0.2,0.30000000000000004,61,0.25998884524426463,0.3442622950819672
2024_SPXW_180m,2024,SPXW,180,F1,3,0.30000000000000004,0.4,114,0.35048668534502403,0.41228070175438597
2024_SPXW_180m,2024,SPXW,180,F1,4,0.4,0.5,142,0.4515193087978978,0.4225352112676056
2024_SPXW_180m,2024,SPXW,180,F1,5,0.5,0.6000000000000001,111,0.5489883430699287,0.43243243243243246
2024_SPXW_180m,2024,SPXW,180,F1,6,0.6000000000000001,0.7000000000000001,56,0.6446384930368945,0.39285714285714285
2024_SPXW_180m,2024,SPXW,180,F1,7,0.7000000000000001,0.8,11,0.7243621707302874,0.45454545454545453
2024_SPXW_180m,2024,SPXW,180,F1,8,0.8,0.9,2,0.8301052579423024,0.0
2024_SPXW_180m,2024,SPXW,180,F1,9,0.9,1.0,0,,
2024_QQQ_30m,2024,QQQ,30,F0,0,0.0,0.1,0,,
2024_QQQ_30m,2024,QQQ,30,F0,1,0.1,0.2,20,0.17441612711899532,0.2
2024_QQQ_30m,2024,QQQ,30,F0,2,0.2,0.30000000000000004,94,0.25699762351350225,0.2127659574468085
2024_QQQ_30m,2024,QQQ,30,F0,3,0.30000000000000004,0.4,134,0.35370417341748767,0.3208955223880597
2024_QQQ_30m,2024,QQQ,30,F0,4,0.4,0.5,131,0.4524182727016963,0.33587786259541985
2024_QQQ_30m,2024,QQQ,30,F0,5,0.5,0.6000000000000001,152,0.5512090244273689,0.39473684210526316
2024_QQQ_30m,2024,QQQ,30,F0,6,0.6000000000000001,0.7000000000000001,103,0.6369542090694614,0.5145631067961165
2024_QQQ_30m,2024,QQQ,30,F0,7,0.7000000000000001,0.8,36,0.7308921319594759,0.4722222222222222
2024_QQQ_30m,2024,QQQ,30,F0,8,0.8,0.9,3,0.808347396910639,0.3333333333333333
2024_QQQ_30m,2024,QQQ,30,F0,9,0.9,1.0,0,,
2024_QQQ_30m,2024,QQQ,30,F1,0,0.0,0.1,0,,
2024_QQQ_30m,2024,QQQ,30,F1,1,0.1,0.2,9,0.18041911284381523,0.4444444444444444
2024_QQQ_30m,2024,QQQ,30,F1,2,0.2,0.30000000000000004,68,0.2623226315342957,0.29411764705882354
2024_QQQ_30m,2024,QQQ,30,F1,3,0.30000000000000004,0.4,114,0.35391689332013054,0.3157894736842105
2024_QQQ_30m,2024,QQQ,30,F1,4,0.4,0.5,158,0.44923021405892377,0.34177215189873417
2024_QQQ_30m,2024,QQQ,30,F1,5,0.5,0.6000000000000001,148,0.547084393665021,0.3108108108108108
2024_QQQ_30m,2024,QQQ,30,F1,6,0.6000000000000001,0.7000000000000001,124,0.6468984148699386,0.4435483870967742
2024_QQQ_30m,2024,QQQ,30,F1,7,0.7000000000000001,0.8,47,0.7331700467464302,0.5319148936170213
2024_QQQ_30m,2024,QQQ,30,F1,8,0.8,0.9,5,0.8364873312564516,0.4
2024_QQQ_30m,2024,QQQ,30,F1,9,0.9,1.0,0,,
2024_QQQ_60m,2024,QQQ,60,F0,0,0.0,0.1,0,,
2024_QQQ_60m,2024,QQQ,60,F0,1,0.1,0.2,4,0.18246838722988112,0.0
2024_QQQ_60m,2024,QQQ,60,F0,2,0.2,0.30000000000000004,52,0.25654839459324175,0.23076923076923078
2024_QQQ_60m,2024,QQQ,60,F0,3,0.30000000000000004,0.4,140,0.35372773573419114,0.35
2024_QQQ_60m,2024,QQQ,60,F0,4,0.4,0.5,214,0.44998773531465447,0.3598130841121495
2024_QQQ_60m,2024,QQQ,60,F0,5,0.5,0.6000000000000001,204,0.5484427987661763,0.4166666666666667
2024_QQQ_60m,2024,QQQ,60,F0,6,0.6000000000000001,0.7000000000000001,107,0.6449084090513023,0.4766355140186916
2024_QQQ_60m,2024,QQQ,60,F0,7,0.7000000000000001,0.8,40,0.728014621536494,0.375
2024_QQQ_60m,2024,QQQ,60,F0,8,0.8,0.9,2,0.8033161951159979,0.0
2024_QQQ_60m,2024,QQQ,60,F0,9,0.9,1.0,0,,
2024_QQQ_60m,2024,QQQ,60,F1,0,0.0,0.1,0,,
2024_QQQ_60m,2024,QQQ,60,F1,1,0.1,0.2,18,0.16707155355503758,0.3333333333333333
2024_QQQ_60m,2024,QQQ,60,F1,2,0.2,0.30000000000000004,93,0.25714558935714144,0.27956989247311825
2024_QQQ_60m,2024,QQQ,60,F1,3,0.30000000000000004,0.4,141,0.3550035855950206,0.3191489361702128
2024_QQQ_60m,2024,QQQ,60,F1,4,0.4,0.5,189,0.44706263675958696,0.4126984126984127
2024_QQQ_60m,2024,QQQ,60,F1,5,0.5,0.6000000000000001,175,0.5506340252997505,0.4228571428571429
2024_QQQ_60m,2024,QQQ,60,F1,6,0.6000000000000001,0.7000000000000001,111,0.644780698172796,0.3963963963963964
2024_QQQ_60m,2024,QQQ,60,F1,7,0.7000000000000001,0.8,32,0.73140613507949,0.40625
2024_QQQ_60m,2024,QQQ,60,F1,8,0.8,0.9,4,0.8277375157249446,0.75
2024_QQQ_60m,2024,QQQ,60,F1,9,0.9,1.0,0,,
2024_QQQ_120m,2024,QQQ,120,F0,0,0.0,0.1,0,,
2024_QQQ_120m,2024,QQQ,120,F0,1,0.1,0.2,1,0.18006460824515297,0.0
2024_QQQ_120m,2024,QQQ,120,F0,2,0.2,0.30000000000000004,66,0.2543876383939474,0.4090909090909091
2024_QQQ_120m,2024,QQQ,120,F0,3,0.30000000000000004,0.4,158,0.3540046760233762,0.379746835443038
2024_QQQ_120m,2024,QQQ,120,F0,4,0.4,0.5,172,0.45310696149602947,0.36627906976744184
2024_QQQ_120m,2024,QQQ,120,F0,5,0.5,0.6000000000000001,176,0.5485365502798782,0.42045454545454547
2024_QQQ_120m,2024,QQQ,120,F0,6,0.6000000000000001,0.7000000000000001,107,0.6454126369902614,0.4672897196261682
2024_QQQ_120m,2024,QQQ,120,F0,7,0.7000000000000001,0.8,74,0.7360803789229291,0.40540540540540543
2024_QQQ_120m,2024,QQQ,120,F0,8,0.8,0.9,2,0.8051413089470274,0.0
2024_QQQ_120m,2024,QQQ,120,F0,9,0.9,1.0,0,,
2024_QQQ_120m,2024,QQQ,120,F1,0,0.0,0.1,0,,
2024_QQQ_120m,2024,QQQ,120,F1,1,0.1,0.2,3,0.1908153084214473,0.0
2024_QQQ_120m,2024,QQQ,120,F1,2,0.2,0.30000000000000004,69,0.25949913145066483,0.36231884057971014
2024_QQQ_120m,2024,QQQ,120,F1,3,0.30000000000000004,0.4,155,0.35398286585307087,0.33548387096774196
2024_QQQ_120m,2024,QQQ,120,F1,4,0.4,0.5,193,0.4515289572939043,0.46632124352331605
2024_QQQ_120m,2024,QQQ,120,F1,5,0.5,0.6000000000000001,193,0.5481494618225106,0.41968911917098445
2024_QQQ_120m,2024,QQQ,120,F1,6,0.6000000000000001,0.7000000000000001,105,0.6454879109211569,0.3904761904761905
2024_QQQ_120m,2024,QQQ,120,F1,7,0.7000000000000001,0.8,32,0.7361310019032246,0.34375
2024_QQQ_120m,2024,QQQ,120,F1,8,0.8,0.9,6,0.8129927138078584,0.6666666666666666
2024_QQQ_120m,2024,QQQ,120,F1,9,0.9,1.0,0,,
2024_QQQ_180m,2024,QQQ,180,F0,0,0.0,0.1,0,,
2024_QQQ_180m,2024,QQQ,180,F0,1,0.1,0.2,10,0.17742083577337006,0.5
2024_QQQ_180m,2024,QQQ,180,F0,2,0.2,0.30000000000000004,76,0.260025053024974,0.42105263157894735
2024_QQQ_180m,2024,QQQ,180,F0,3,0.30000000000000004,0.4,122,0.34723209430695245,0.36065573770491804
2024_QQQ_180m,2024,QQQ,180,F0,4,0.4,0.5,123,0.4502597424074626,0.3983739837398374
2024_QQQ_180m,2024,QQQ,180,F0,5,0.5,0.6000000000000001,125,0.547118387946201,0.4
2024_QQQ_180m,2024,QQQ,180,F0,6,0.6000000000000001,0.7000000000000001,100,0.6432024087964507,0.5
2024_QQQ_180m,2024,QQQ,180,F0,7,0.7000000000000001,0.8,42,0.7352033583452594,0.42857142857142855
2024_QQQ_180m,2024,QQQ,180,F0,8,0.8,0.9,1,0.8037218429490389,1.0
2024_QQQ_180m,2024,QQQ,180,F0,9,0.9,1.0,0,,
2024_QQQ_180m,2024,QQQ,180,F1,0,0.0,0.1,1,0.09847743563065804,0.0
2024_QQQ_180m,2024,QQQ,180,F1,1,0.1,0.2,23,0.16600089067822332,0.43478260869565216
2024_QQQ_180m,2024,QQQ,180,F1,2,0.2,0.30000000000000004,83,0.2568851971328997,0.39759036144578314
2024_QQQ_180m,2024,QQQ,180,F1,3,0.30000000000000004,0.4,107,0.3525900124155719,0.45794392523364486
2024_QQQ_180m,2024,QQQ,180,F1,4,0.4,0.5,127,0.4494850513685396,0.4251968503937008
2024_QQQ_180m,2024,QQQ,180,F1,5,0.5,0.6000000000000001,131,0.5532376800618265,0.366412213740458
2024_QQQ_180m,2024,QQQ,180,F1,6,0.6000000000000001,0.7000000000000001,80,0.6434212452906205,0.375
2024_QQQ_180m,2024,QQQ,180,F1,7,0.7000000000000001,0.8,43,0.7412207575532735,0.5116279069767442
2024_QQQ_180m,2024,QQQ,180,F1,8,0.8,0.9,4,0.8237805338029813,0.75
2024_QQQ_180m,2024,QQQ,180,F1,9,0.9,1.0,0,,
2024_SPY_30m,2024,SPY,30,F0,0,0.0,0.1,1,0.08492329562273128,1.0
2024_SPY_30m,2024,SPY,30,F0,1,0.1,0.2,41,0.15856033090292163,0.14634146341463414
2024_SPY_30m,2024,SPY,30,F0,2,0.2,0.30000000000000004,103,0.251469171622493,0.22330097087378642
2024_SPY_30m,2024,SPY,30,F0,3,0.30000000000000004,0.4,109,0.3507583292339147,0.26605504587155965
2024_SPY_30m,2024,SPY,30,F0,4,0.4,0.5,112,0.4510857616555297,0.3482142857142857
2024_SPY_30m,2024,SPY,30,F0,5,0.5,0.6000000000000001,85,0.5519220715327036,0.4470588235294118
2024_SPY_30m,2024,SPY,30,F0,6,0.6000000000000001,0.7000000000000001,98,0.6481617971595535,0.42857142857142855
2024_SPY_30m,2024,SPY,30,F0,7,0.7000000000000001,0.8,27,0.7362157112098026,0.4444444444444444
2024_SPY_30m,2024,SPY,30,F0,8,0.8,0.9,6,0.8220968801002143,0.3333333333333333
2024_SPY_30m,2024,SPY,30,F0,9,0.9,1.0,0,,
2024_SPY_30m,2024,SPY,30,F1,0,0.0,0.1,4,0.08977819610094437,0.25
2024_SPY_30m,2024,SPY,30,F1,1,0.1,0.2,39,0.16034291455680813,0.1794871794871795
2024_SPY_30m,2024,SPY,30,F1,2,0.2,0.30000000000000004,88,0.2494085305105666,0.18181818181818182
2024_SPY_30m,2024,SPY,30,F1,3,0.30000000000000004,0.4,142,0.345681287884164,0.3028169014084507
2024_SPY_30m,2024,SPY,30,F1,4,0.4,0.5,109,0.4516968636970346,0.3853211009174312
2024_SPY_30m,2024,SPY,30,F1,5,0.5,0.6000000000000001,111,0.5454727774115858,0.44144144144144143
2024_SPY_30m,2024,SPY,30,F1,6,0.6000000000000001,0.7000000000000001,65,0.6475511493487922,0.4153846153846154
2024_SPY_30m,2024,SPY,30,F1,7,0.7000000000000001,0.8,22,0.7329511037844371,0.3181818181818182
2024_SPY_30m,2024,SPY,30,F1,8,0.8,0.9,2,0.8061618830163524,0.0
2024_SPY_30m,2024,SPY,30,F1,9,0.9,1.0,0,,
2024_SPY_60m,2024,SPY,60,F0,0,0.0,0.1,0,,
2024_SPY_60m,2024,SPY,60,F0,1,0.1,0.2,17,0.16893216777622336,0.23529411764705882
2024_SPY_60m,2024,SPY,60,F0,2,0.2,0.30000000000000004,104,0.2501708308058168,0.2692307692307692
2024_SPY_60m,2024,SPY,60,F0,3,0.30000000000000004,0.4,136,0.3471601073144552,0.29411764705882354
2024_SPY_60m,2024,SPY,60,F0,4,0.4,0.5,162,0.45397763363011556,0.3950617283950617
2024_SPY_60m,2024,SPY,60,F0,5,0.5,0.6000000000000001,125,0.5531513051250697,0.416
2024_SPY_60m,2024,SPY,60,F0,6,0.6000000000000001,0.7000000000000001,93,0.6429461466781715,0.3225806451612903
2024_SPY_60m,2024,SPY,60,F0,7,0.7000000000000001,0.8,49,0.7484846003120775,0.5102040816326531
2024_SPY_60m,2024,SPY,60,F0,8,0.8,0.9,12,0.8394741909105418,0.3333333333333333
2024_SPY_60m,2024,SPY,60,F0,9,0.9,1.0,0,,
2024_SPY_60m,2024,SPY,60,F1,0,0.0,0.1,0,,
2024_SPY_60m,2024,SPY,60,F1,1,0.1,0.2,34,0.1685166384742056,0.20588235294117646
2024_SPY_60m,2024,SPY,60,F1,2,0.2,0.30000000000000004,87,0.24772712987766538,0.3563218390804598
2024_SPY_60m,2024,SPY,60,F1,3,0.30000000000000004,0.4,135,0.35216771715523404,0.3037037037037037
2024_SPY_60m,2024,SPY,60,F1,4,0.4,0.5,172,0.450256605830408,0.37790697674418605
2024_SPY_60m,2024,SPY,60,F1,5,0.5,0.6000000000000001,141,0.5475418232378069,0.3191489361702128
2024_SPY_60m,2024,SPY,60,F1,6,0.6000000000000001,0.7000000000000001,90,0.6508357750341346,0.4444444444444444
2024_SPY_60m,2024,SPY,60,F1,7,0.7000000000000001,0.8,37,0.7389496578149081,0.4594594594594595
2024_SPY_60m,2024,SPY,60,F1,8,0.8,0.9,2,0.8140765666077254,0.5
2024_SPY_60m,2024,SPY,60,F1,9,0.9,1.0,0,,
2024_SPY_120m,2024,SPY,120,F0,0,0.0,0.1,1,0.09788576873859901,0.0
2024_SPY_120m,2024,SPY,120,F0,1,0.1,0.2,15,0.16598030646210354,0.4
2024_SPY_120m,2024,SPY,120,F0,2,0.2,0.30000000000000004,82,0.2602237635094534,0.43902439024390244
2024_SPY_120m,2024,SPY,120,F0,3,0.30000000000000004,0.4,175,0.35516986328579786,0.4
2024_SPY_120m,2024,SPY,120,F0,4,0.4,0.5,181,0.4531146384648135,0.39226519337016574
2024_SPY_120m,2024,SPY,120,F0,5,0.5,0.6000000000000001,194,0.5497284079695229,0.39690721649484534
2024_SPY_120m,2024,SPY,120,F0,6,0.6000000000000001,0.7000000000000001,114,0.643489083338075,0.38596491228070173
2024_SPY_120m,2024,SPY,120,F0,7,0.7000000000000001,0.8,34,0.7329619385927448,0.4411764705882353
2024_SPY_120m,2024,SPY,120,F0,8,0.8,0.9,2,0.809285466264285,0.0
2024_SPY_120m,2024,SPY,120,F0,9,0.9,1.0,0,,
2024_SPY_120m,2024,SPY,120,F1,0,0.0,0.1,0,,
2024_SPY_120m,2024,SPY,120,F1,1,0.1,0.2,13,0.18218732362226311,0.46153846153846156
2024_SPY_120m,2024,SPY,120,F1,2,0.2,0.30000000000000004,55,0.2636506531047253,0.41818181818181815
2024_SPY_120m,2024,SPY,120,F1,3,0.30000000000000004,0.4,144,0.358620138606457,0.3958333333333333
2024_SPY_120m,2024,SPY,120,F1,4,0.4,0.5,197,0.4545513555202972,0.4517766497461929
2024_SPY_120m,2024,SPY,120,F1,5,0.5,0.6000000000000001,203,0.5515721744801519,0.3448275862068966
2024_SPY_120m,2024,SPY,120,F1,6,0.6000000000000001,0.7000000000000001,139,0.6434237379705764,0.3669064748201439
2024_SPY_120m,2024,SPY,120,F1,7,0.7000000000000001,0.8,43,0.7352668115681953,0.4883720930232558
2024_SPY_120m,2024,SPY,120,F1,8,0.8,0.9,4,0.8129043919695487,0.5
2024_SPY_120m,2024,SPY,120,F1,9,0.9,1.0,0,,
2024_SPY_180m,2024,SPY,180,F0,0,0.0,0.1,0,,
