cell_id,fold,ticker,horizon,valid_pair,auc_delta,average_precision_delta,log_loss_delta,brier_delta,balanced_accuracy_delta,spearman_delta,ece_delta,bootstrap_requested,bootstrap_valid,bootstrap_auc_delta_p025,bootstrap_auc_delta_median,bootstrap_auc_delta_p975,bootstrap_favorable_share
2024_SPXW_30m,2024,SPXW,30,True,-0.02300992420752901,-0.011830083573384775,0.005923201574316805,0.0010683607178930965,0.019450609270968533,-0.03651990495949872,-0.00606066322432014,1000,1000,-0.07438613260163077,-0.025019487081546887,0.027846665822154514,0.179
2024_SPXW_60m,2024,SPXW,60,True,-0.03919908620573809,-0.052119722322658935,0.030210867174133016,0.013808832785322578,-0.020231136195659416,-0.06521524744528358,0.025717642050283443,1000,1000,-0.08880549554524525,-0.03927609414234956,0.008608239294227915,0.053
2024_SPXW_120m,2024,SPXW,120,True,0.04729608293841092,0.037387975960911146,-0.01982832975109472,-0.010035383463019854,0.037392283171107765,0.08046939167967863,-0.02866009008256093,1000,1000,-0.003670991720801008,0.049125638749468264,0.09627425914086693,0.964
2024_SPXW_180m,2024,SPXW,180,True,0.045828398473483245,0.03613382876182869,-0.01750930197663436,-0.00899122047391554,0.025957362810896223,0.0779732549355114,-0.013829439448341127,1000,1000,-0.01759077201952252,0.04662767644962576,0.10750755634193396,0.922
2024_QQQ_30m,2024,QQQ,30,True,-0.04553124580544965,-0.017205183662674706,0.033693433792408745,0.015700650588945847,-0.04448140975244963,-0.07568884704240601,0.03897279352361939,1000,1000,-0.08223190231902044,-0.04375990781211131,-0.0045716482941568415,0.015
2024_QQQ_60m,2024,QQQ,60,True,-0.01528623362971393,-0.004498204218604918,0.004157944594659013,0.0017784880356069288,-0.014643832216430841,-0.025686506573638246,-0.006852322338187167,1000,1000,-0.058839346772426304,-0.012986077754010228,0.03022755545409951,0.274
2024_QQQ_120m,2024,QQQ,120,True,-0.004781380996739637,-0.016098848091492812,-0.008220476937357057,-0.003440526105227326,-0.021323358174196616,-0.008121356366215762,-0.024710936876175066,1000,1000,-0.04821238274210697,-0.005809331879320201,0.035286195081270115,0.405
2024_QQQ_180m,2024,QQQ,180,True,-0.03246127366609297,0.011298975801800615,0.014842870374794481,0.007251531404425471,-0.04069994262765342,-0.055419634544289796,0.031992532890118094,1000,1000,-0.08580529791631072,-0.03161522408993414,0.01672788134046268,0.094
2024_SPY_30m,2024,SPY,30,True,-0.016866987179487092,-0.027014729335294252,-0.00357903612686461,-0.0007602843311251828,-0.022235576923076872,-0.027471900960722134,-0.014231201925473183,1000,1000,-0.06082173300864439,-0.01798363521144275,0.023545589634271873,0.208
2024_SPY_60m,2024,SPY,60,True,-0.018824564395809706,-0.00019116091498766474,-0.002505123653846031,-0.0004714026935204174,-0.015085684533694854,-0.03118152338556275,0.009881061373224878,1000,1000,-0.054997814328568255,-0.018249486291639416,0.018734891706086595,0.167
2024_SPY_120m,2024,SPY,120,True,-0.011891283434008859,0.006193194670900959,0.009623733860057104,0.004883704800021482,-0.026082944483347636,-0.020178082889578154,0.003303305602196216,1000,1000,-0.05071731232617512,-0.01266506295616271,0.02406381965190703,0.246
2024_SPY_180m,2024,SPY,180,True,0.023615602666986035,0.012971929370315327,-0.007121994122993303,-0.0037308206253883203,0.02028686070188046,0.040522588872829654,-0.006143907620182756,1000,1000,-0.023647499952076087,0.022902642335137863,0.07413410869301504,0.832
2025_SPXW_30m,2025,SPXW,30,True,-0.014274294849834557,0.00699619440931748,0.012688992579319325,0.004617953121552304,-0.007936507936507908,-0.02279046383044156,0.012355065556893974,1000,1000,-0.061487715880723604,-0.01463376688256074,0.033572129249817985,0.27
2025_SPXW_60m,2025,SPXW,60,True,-0.06257175660160741,-0.04194883809660993,0.013195320487248474,0.006303991381767404,-0.019289646442344432,-0.10481835300036792,0.02569796241758622,1000,1000,-0.12104547556435323,-0.06167255202057592,-0.002482565207527088,0.02
2025_SPXW_120m,2025,SPXW,120,True,0.0026188605575792057,0.009612773176213618,-0.015285268503793081,-0.007366860931192154,-0.012207461371806838,0.004434085621313741,-0.029173329109866017,1000,1000,-0.0662772369427695,0.0039109192970579465,0.06648573262887202,0.548
2025_SPXW_180m,2025,SPXW,180,True,-0.06611997635933797,-0.04564132583005576,0.014139319443374099,0.005663371503498549,-0.026374113475177263,-0.11196763029808053,0.006876519231727565,1000,1000,-0.14001932383252566,-0.06641061997938871,0.009408972756273302,0.044
2025_QQQ_30m,2025,QQQ,30,True,-0.04555870798777839,-0.08103033760210215,0.02395607901188601,0.010159876027683257,-0.052142441437509124,-0.07552400497124659,-0.012578811279283675,1000,1000,-0.09143447458488552,-0.04581349914592897,0.004095431576598444,0.041
2025_QQQ_60m,2025,QQQ,60,True,-0.08544838148094824,-0.08263323807887563,0.03722798651624559,0.01751812099897679,-0.04945220362056102,-0.14662199177284238,0.06672537073918057,1000,1000,-0.13985901122744185,-0.08541922766645194,-0.03628444403135364,0.001
2025_QQQ_120m,2025,QQQ,120,True,-0.04768019382192612,-0.05231268963931124,0.01830405103008681,0.008792370711741937,-0.04371895820714711,-0.0819613792260448,0.03477115829856131,1000,1000,-0.10006570087928549,-0.04899770741358045,0.004242828916951152,0.04
