max_day,cooldown_minutes,min_entry_minute,rescue_pnl_threshold,rescue_start_bday,min_month_trades,select_spxw_trades,select_spxw_win_rate,select_spxw_profit_factor,select_spxw_pnl_return,select_spxw_avg_return,select_spxw_max_drawdown,select_spxw_call_rate,select_spxw_days_with_trades,select_spxw_daily_win_rate,select_spxw_daily_max_drawdown,select_spxw_top5_share_of_pnl,select_spxw_min_month_trades,select_spxw_positive_month_rate,select_spxw_pass,select_spy_trades,select_spy_win_rate,select_spy_profit_factor,select_spy_pnl_return,select_spy_avg_return,select_spy_max_drawdown,select_spy_call_rate,select_spy_days_with_trades,select_spy_daily_win_rate,select_spy_daily_max_drawdown,select_spy_top5_share_of_pnl,select_spy_min_month_trades,select_spy_positive_month_rate,select_spy_pass,select_qqq_trades,select_qqq_win_rate,select_qqq_profit_factor,select_qqq_pnl_return,select_qqq_avg_return,select_qqq_max_drawdown,select_qqq_call_rate,select_qqq_days_with_trades,select_qqq_daily_win_rate,select_qqq_daily_max_drawdown,select_qqq_top5_share_of_pnl,select_qqq_min_month_trades,select_qqq_positive_month_rate,select_qqq_pass,select_overall_trades,select_overall_win_rate,select_overall_profit_factor,select_overall_pnl_return,select_overall_avg_return,select_overall_max_drawdown,select_overall_call_rate,select_overall_days_with_trades,select_overall_daily_win_rate,select_overall_daily_max_drawdown,select_overall_top5_share_of_pnl,select_overall_min_month_trades,select_overall_positive_month_rate,select_pass,select_pf_min,select_wr_min,select_min_month_min,valid_spxw_trades,valid_spxw_win_rate,valid_spxw_profit_factor,valid_spxw_pnl_return,valid_spxw_avg_return,valid_spxw_max_drawdown,valid_spxw_call_rate,valid_spxw_days_with_trades,valid_spxw_daily_win_rate,valid_spxw_daily_max_drawdown,valid_spxw_top5_share_of_pnl,valid_spxw_min_month_trades,valid_spxw_positive_month_rate,valid_spxw_pass,valid_spy_trades,valid_spy_win_rate,valid_spy_profit_factor,valid_spy_pnl_return,valid_spy_avg_return,valid_spy_max_drawdown,valid_spy_call_rate,valid_spy_days_with_trades,valid_spy_daily_win_rate,valid_spy_daily_max_drawdown,valid_spy_top5_share_of_pnl,valid_spy_min_month_trades,valid_spy_positive_month_rate,valid_spy_pass,valid_qqq_trades,valid_qqq_win_rate,valid_qqq_profit_factor,valid_qqq_pnl_return,valid_qqq_avg_return,valid_qqq_max_drawdown,valid_qqq_call_rate,valid_qqq_days_with_trades,valid_qqq_daily_win_rate,valid_qqq_daily_max_drawdown,valid_qqq_top5_share_of_pnl,valid_qqq_min_month_trades,valid_qqq_positive_month_rate,valid_qqq_pass,valid_overall_trades,valid_overall_win_rate,valid_overall_profit_factor,valid_overall_pnl_return,valid_overall_avg_return,valid_overall_max_drawdown,valid_overall_call_rate,valid_overall_days_with_trades,valid_overall_daily_win_rate,valid_overall_daily_max_drawdown,valid_overall_top5_share_of_pnl,valid_overall_min_month_trades,valid_overall_positive_month_rate,valid_pass,valid_pf_min,valid_wr_min,valid_min_month_min,pretest_health_flag_count,pretest_negative_months,pretest_max_negative_day_streak,pretest_max_dd_to_pnl,pretest_flags_json,select_pass_count,valid_pass_count,pretest_pass,selection_score
3,45,0,-1.0,10,18,625,0.4624,1.4343455149172928,43.44406680862898,0.06951050689380638,-5.099999999999909,0.2608,469,0.5181236673773987,-4.799999999999997,0.14961766882075025,18,0.7916666666666666,True,595,0.426890756302521,1.232256241236214,23.572320291677343,0.03961734502802915,-7.47272723804819,0.24369747899159663,474,0.4831223628691983,-7.472727238048197,0.21211318776138238,18,0.6666666666666666,False,573,0.4467713787085515,1.3288007941614361,31.268955524752585,0.054570603010039416,-3.9000000000000234,0.268760907504363,484,0.4896694214876033,-3.8000000000000096,0.15990300654724418,18,0.8333333333333334,False,1793,0.4456218627997769,1.3313570196484028,98.28534262505892,0.05481614201062963,-7.472727238047874,0.25766871165644173,497,0.5050301810865191,-9.931170129144586,0.1312504963147069,54,0.75,False,1.232256241236214,0.426890756302521,18,355,0.5746478873239437,2.251655629139073,56.7,0.15971830985915494,-2.09999999999998,0.30985915492957744,339,0.5929203539823009,-2.09999999999998,0.07054673721340388,19,1.0,True,383,0.5274151436031331,1.8573417783763921,46.553658565838084,0.12155002236511249,-2.4000000000000057,0.30548302872062666,337,0.5548961424332344,-2.000000000000007,0.13962382764842068,18,1.0,True,375,0.5253333333333333,1.8445692883895135,45.099999999999994,0.12026666666666665,-2.799999999999998,0.328,328,0.5792682926829268,-2.699999999999998,0.1108647450110865,19,1.0,True,1113,0.5417789757412399,1.9696317553322755,148.3536585658381,0.13329169682465236,-2.7999999999999687,0.31446540880503143,348,0.5632183908045977,-3.999999999999986,0.07347307848941705,57,1.0,True,1.8445692883895135,0.5253333333333333,18,12,16,9,0.10656146780113503,"{""QQQ"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPXW"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPY"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2""}",1,3,False,-23.332860872785385
4,45,0,-1.0,10,18,627,0.4609250398724083,1.4257926328218449,42.84406680862898,0.06833184498983888,-5.099999999999909,0.25996810207336524,469,0.5181236673773987,-4.999999999999993,0.15171295547253866,18,0.7916666666666666,True,596,0.4261744966442953,1.2286245784687646,23.27232029167734,0.039047517267915,-7.47272723804819,0.24496644295302014,474,0.4831223628691983,-7.472727238048197,0.21484750713868883,18,0.6666666666666666,False,573,0.4467713787085515,1.3288007941614361,31.268955524752585,0.054570603010039416,-3.9000000000000234,0.268760907504363,484,0.4896694214876033,-3.8000000000000096,0.15990300654724418,18,0.8333333333333334,False,1796,0.4448775055679287,1.3273295831384242,97.38534262505891,0.05422346471328447,-7.472727238047874,0.2577951002227171,497,0.5030181086519114,-9.931170129144586,0.132463465777042,54,0.75,False,1.2286245784687646,0.4261744966442953,18,355,0.5746478873239437,2.251655629139073,56.7,0.15971830985915494,-2.09999999999998,0.30985915492957744,339,0.5929203539823009,-2.09999999999998,0.07054673721340388,19,1.0,True,383,0.5274151436031331,1.8573417783763921,46.553658565838084,0.12155002236511249,-2.4000000000000057,0.30548302872062666,337,0.5548961424332344,-2.000000000000007,0.13962382764842068,18,1.0,True,375,0.5253333333333333,1.8445692883895135,45.099999999999994,0.12026666666666665,-2.799999999999998,0.328,328,0.5792682926829268,-2.699999999999998,0.1108647450110865,19,1.0,True,1113,0.5417789757412399,1.9696317553322755,148.3536585658381,0.13329169682465236,-2.7999999999999687,0.31446540880503143,348,0.5632183908045977,-3.999999999999986,0.07347307848941705,57,1.0,True,1.8445692883895135,0.5253333333333333,18,12,16,9,0.10701929797929227,"{""QQQ"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPXW"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPY"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2""}",1,3,False,-23.332860872785385
5,45,0,-1.0,10,18,627,0.4609250398724083,1.4257926328218449,42.84406680862898,0.06833184498983888,-5.099999999999909,0.25996810207336524,469,0.5181236673773987,-4.999999999999993,0.15171295547253866,18,0.7916666666666666,True,596,0.4261744966442953,1.2286245784687646,23.27232029167734,0.039047517267915,-7.47272723804819,0.24496644295302014,474,0.4831223628691983,-7.472727238048197,0.21484750713868883,18,0.6666666666666666,False,573,0.4467713787085515,1.3288007941614361,31.268955524752585,0.054570603010039416,-3.9000000000000234,0.268760907504363,484,0.4896694214876033,-3.8000000000000096,0.15990300654724418,18,0.8333333333333334,False,1796,0.4448775055679287,1.3273295831384242,97.38534262505891,0.05422346471328447,-7.472727238047874,0.2577951002227171,497,0.5030181086519114,-9.931170129144586,0.132463465777042,54,0.75,False,1.2286245784687646,0.4261744966442953,18,355,0.5746478873239437,2.251655629139073,56.7,0.15971830985915494,-2.09999999999998,0.30985915492957744,339,0.5929203539823009,-2.09999999999998,0.07054673721340388,19,1.0,True,383,0.5274151436031331,1.8573417783763921,46.553658565838084,0.12155002236511249,-2.4000000000000057,0.30548302872062666,337,0.5548961424332344,-2.000000000000007,0.13962382764842068,18,1.0,True,375,0.5253333333333333,1.8445692883895135,45.099999999999994,0.12026666666666665,-2.799999999999998,0.328,328,0.5792682926829268,-2.699999999999998,0.1108647450110865,19,1.0,True,1113,0.5417789757412399,1.9696317553322755,148.3536585658381,0.13329169682465236,-2.7999999999999687,0.31446540880503143,348,0.5632183908045977,-3.999999999999986,0.07347307848941705,57,1.0,True,1.8445692883895135,0.5253333333333333,18,12,16,9,0.10701929797929227,"{""QQQ"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPXW"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPY"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2""}",1,3,False,-23.332860872785385
3,45,0,-1.0,5,18,629,0.4642289348171701,1.4450081545622082,44.644066808628985,0.070976258837248,-5.4999999999999005,0.2655007949125596,468,0.5277777777777778,-5.200000000000003,0.14559605485456478,18,0.8333333333333334,True,601,0.4176372712146423,1.185927751813909,19.372320291677344,0.032233478022757646,-7.47272723804819,0.2529118136439268,476,0.47689075630252103,-7.472727238048197,0.2581002133310835,18,0.6666666666666666,False,569,0.44815465729349735,1.336188487523913,31.66895552475258,0.05565721533348432,-3.8000000000000043,0.27065026362038663,484,0.49173553719008267,-3.8000000000000114,0.15788332507815045,18,0.875,False,1799,0.44357976653696496,1.3203235806549458,95.6853426250589,0.05318807260981595,-7.472727238047874,0.26292384658143414,498,0.5080321285140562,-11.98041965270653,0.13063651816538924,54,0.75,False,1.185927751813909,0.4176372712146423,18,359,0.5710306406685237,2.218614718614719,56.3,0.15682451253481894,-1.8999999999999773,0.3064066852367688,339,0.5870206489675516,-1.8999999999999844,0.08880994671403197,19,1.0,True,383,0.5274151436031331,1.8573417783763921,46.553658565838084,0.12155002236511249,-2.4000000000000057,0.30548302872062666,337,0.5548961424332344,-2.000000000000007,0.13962382764842068,18,1.0,True,377,0.5251989389920424,1.8435754189944138,45.3,0.12015915119363395,-3.099999999999998,0.32891246684350134,328,0.5792682926829268,-2.9999999999999987,0.11037527593818985,19,0.9411764705882353,True,1119,0.5406613047363718,1.960788966056019,148.1536585658381,0.13239826502755864,-3.099999999999966,0.3136729222520107,348,0.5603448275862069,-4.1999999999999975,0.07357226345616125,57,1.0,True,1.8435754189944138,0.5251989389920424,18,12,16,9,0.11335026597327998,"{""QQQ"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPXW"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPY"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2""}",1,3,False,-23.354233402784754
3,45,0,-1.0,1,18,629,0.4642289348171701,1.4450081545622082,44.644066808628985,0.070976258837248,-5.4999999999999005,0.2655007949125596,468,0.5277777777777778,-5.200000000000003,0.14559605485456478,18,0.8333333333333334,True,604,0.41721854304635764,1.183908941459395,19.27232029167734,0.03190781505244593,-7.57272723804819,0.2533112582781457,476,0.47689075630252103,-7.572727238048195,0.25943944083158615,18,0.6666666666666666,False,569,0.44815465729349735,1.336188487523913,31.66895552475258,0.05565721533348432,-3.8000000000000043,0.27240773286467485,484,0.49173553719008267,-3.8000000000000114,0.15788332507815045,18,0.875,False,1802,0.44339622641509435,1.3193473699698421,95.5853426250589,0.053044030313573194,-7.572727238047868,0.26359600443951164,498,0.5080321285140562,-11.98041965270653,0.130773188197193,54,0.75,False,1.183908941459395,0.41721854304635764,18,359,0.5710306406685237,2.218614718614719,56.3,0.15682451253481894,-1.8999999999999773,0.3064066852367688,339,0.5870206489675516,-1.8999999999999844,0.08880994671403197,19,1.0,True,383,0.5274151436031331,1.8573417783763921,46.553658565838084,0.12155002236511249,-2.4000000000000057,0.30548302872062666,337,0.5548961424332344,-2.000000000000007,0.13962382764842068,18,1.0,True,377,0.5251989389920424,1.8435754189944138,45.3,0.12015915119363395,-3.099999999999998,0.32891246684350134,328,0.5792682926829268,-2.9999999999999987,0.11037527593818985,19,0.9411764705882353,True,1119,0.5406613047363718,1.960788966056019,148.1536585658381,0.13239826502755864,-3.099999999999966,0.3136729222520107,348,0.5603448275862069,-4.1999999999999975,0.07357226345616125,57,1.0,True,1.8435754189944138,0.5251989389920424,18,12,16,9,0.1150416198814128,"{""QQQ"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPXW"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPY"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2""}",1,3,False,-23.354233402784754
4,45,0,-1.0,1,18,631,0.46275752773375595,1.4364173052972662,44.04406680862898,0.06980042283459427,-5.4999999999999005,0.26465927099841524,468,0.5277777777777778,-5.399999999999999,0.1475794691766869,18,0.8333333333333334,True,604,0.41721854304635764,1.183908941459395,19.27232029167734,0.03190781505244593,-7.57272723804819,0.2533112582781457,476,0.47689075630252103,-7.572727238048195,0.25943944083158615,18,0.6666666666666666,False,569,0.44815465729349735,1.336188487523913,31.66895552475258,0.05565721533348432,-3.8000000000000043,0.27240773286467485,484,0.49173553719008267,-3.8000000000000114,0.15788332507815045,18,0.875,False,1804,0.4429046563192905,1.3167079242071376,94.9853426250589,0.05265262894958919,-7.572727238047868,0.2633037694013304,498,0.5080321285140562,-12.580419652706524,0.13159925157444521,54,0.75,False,1.183908941459395,0.41721854304635764,18,359,0.5710306406685237,2.218614718614719,56.3,0.15682451253481894,-1.8999999999999773,0.3064066852367688,339,0.5870206489675516,-1.8999999999999844,0.08880994671403197,19,1.0,True,383,0.5274151436031331,1.8573417783763921,46.553658565838084,0.12155002236511249,-2.4000000000000057,0.30548302872062666,337,0.5548961424332344,-2.000000000000007,0.13962382764842068,18,1.0,True,377,0.5251989389920424,1.8435754189944138,45.3,0.12015915119363395,-3.099999999999998,0.32891246684350134,328,0.5792682926829268,-2.9999999999999987,0.11037527593818985,19,0.9411764705882353,True,1119,0.5406613047363718,1.960788966056019,148.1536585658381,0.13239826502755864,-3.099999999999966,0.3136729222520107,348,0.5603448275862069,-4.1999999999999975,0.07357226345616125,57,1.0,True,1.8435754189944138,0.5251989389920424,18,12,16,9,0.1150416198814128,"{""QQQ"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPXW"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPY"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2""}",1,3,False,-23.354233402784754
4,45,0,-1.0,5,18,631,0.46275752773375595,1.4364173052972662,44.04406680862898,0.06980042283459427,-5.4999999999999005,0.26465927099841524,468,0.5277777777777778,-5.399999999999999,0.1475794691766869,18,0.8333333333333334,True,601,0.4176372712146423,1.185927751813909,19.372320291677344,0.032233478022757646,-7.47272723804819,0.2529118136439268,476,0.47689075630252103,-7.472727238048197,0.2581002133310835,18,0.6666666666666666,False,569,0.44815465729349735,1.336188487523913,31.66895552475258,0.05565721533348432,-3.8000000000000043,0.27065026362038663,484,0.49173553719008267,-3.8000000000000114,0.15788332507815045,18,0.875,False,1801,0.4430871737923376,1.3176768870213085,95.08534262505891,0.052795859314302564,-7.472727238047874,0.2626318711826763,498,0.5080321285140562,-12.580419652706524,0.1314608503782762,54,0.75,False,1.185927751813909,0.4176372712146423,18,359,0.5710306406685237,2.218614718614719,56.3,0.15682451253481894,-1.8999999999999773,0.3064066852367688,339,0.5870206489675516,-1.8999999999999844,0.08880994671403197,19,1.0,True,383,0.5274151436031331,1.8573417783763921,46.553658565838084,0.12155002236511249,-2.4000000000000057,0.30548302872062666,337,0.5548961424332344,-2.000000000000007,0.13962382764842068,18,1.0,True,377,0.5251989389920424,1.8435754189944138,45.3,0.12015915119363395,-3.099999999999998,0.32891246684350134,328,0.5792682926829268,-2.9999999999999987,0.11037527593818985,19,0.9411764705882353,True,1119,0.5406613047363718,1.960788966056019,148.1536585658381,0.13239826502755864,-3.099999999999966,0.3136729222520107,348,0.5603448275862069,-4.1999999999999975,0.07357226345616125,57,1.0,True,1.8435754189944138,0.5251989389920424,18,12,16,9,0.11335026597327998,"{""QQQ"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPXW"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPY"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2""}",1,3,False,-23.354233402784754
5,45,0,-1.0,1,18,631,0.46275752773375595,1.4364173052972662,44.04406680862898,0.06980042283459427,-5.4999999999999005,0.26465927099841524,468,0.5277777777777778,-5.399999999999999,0.1475794691766869,18,0.8333333333333334,True,604,0.41721854304635764,1.183908941459395,19.27232029167734,0.03190781505244593,-7.57272723804819,0.2533112582781457,476,0.47689075630252103,-7.572727238048195,0.25943944083158615,18,0.6666666666666666,False,569,0.44815465729349735,1.336188487523913,31.66895552475258,0.05565721533348432,-3.8000000000000043,0.27240773286467485,484,0.49173553719008267,-3.8000000000000114,0.15788332507815045,18,0.875,False,1804,0.4429046563192905,1.3167079242071376,94.9853426250589,0.05265262894958919,-7.572727238047868,0.2633037694013304,498,0.5080321285140562,-12.580419652706524,0.13159925157444521,54,0.75,False,1.183908941459395,0.41721854304635764,18,359,0.5710306406685237,2.218614718614719,56.3,0.15682451253481894,-1.8999999999999773,0.3064066852367688,339,0.5870206489675516,-1.8999999999999844,0.08880994671403197,19,1.0,True,383,0.5274151436031331,1.8573417783763921,46.553658565838084,0.12155002236511249,-2.4000000000000057,0.30548302872062666,337,0.5548961424332344,-2.000000000000007,0.13962382764842068,18,1.0,True,377,0.5251989389920424,1.8435754189944138,45.3,0.12015915119363395,-3.099999999999998,0.32891246684350134,328,0.5792682926829268,-2.9999999999999987,0.11037527593818985,19,0.9411764705882353,True,1119,0.5406613047363718,1.960788966056019,148.1536585658381,0.13239826502755864,-3.099999999999966,0.3136729222520107,348,0.5603448275862069,-4.1999999999999975,0.07357226345616125,57,1.0,True,1.8435754189944138,0.5251989389920424,18,12,16,9,0.1150416198814128,"{""QQQ"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPXW"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPY"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2""}",1,3,False,-23.354233402784754
5,45,0,-1.0,5,18,631,0.46275752773375595,1.4364173052972662,44.04406680862898,0.06980042283459427,-5.4999999999999005,0.26465927099841524,468,0.5277777777777778,-5.399999999999999,0.1475794691766869,18,0.8333333333333334,True,601,0.4176372712146423,1.185927751813909,19.372320291677344,0.032233478022757646,-7.47272723804819,0.2529118136439268,476,0.47689075630252103,-7.472727238048197,0.2581002133310835,18,0.6666666666666666,False,569,0.44815465729349735,1.336188487523913,31.66895552475258,0.05565721533348432,-3.8000000000000043,0.27065026362038663,484,0.49173553719008267,-3.8000000000000114,0.15788332507815045,18,0.875,False,1801,0.4430871737923376,1.3176768870213085,95.08534262505891,0.052795859314302564,-7.472727238047874,0.2626318711826763,498,0.5080321285140562,-12.580419652706524,0.1314608503782762,54,0.75,False,1.185927751813909,0.4176372712146423,18,359,0.5710306406685237,2.218614718614719,56.3,0.15682451253481894,-1.8999999999999773,0.3064066852367688,339,0.5870206489675516,-1.8999999999999844,0.08880994671403197,19,1.0,True,383,0.5274151436031331,1.8573417783763921,46.553658565838084,0.12155002236511249,-2.4000000000000057,0.30548302872062666,337,0.5548961424332344,-2.000000000000007,0.13962382764842068,18,1.0,True,377,0.5251989389920424,1.8435754189944138,45.3,0.12015915119363395,-3.099999999999998,0.32891246684350134,328,0.5792682926829268,-2.9999999999999987,0.11037527593818985,19,0.9411764705882353,True,1119,0.5406613047363718,1.960788966056019,148.1536585658381,0.13239826502755864,-3.099999999999966,0.3136729222520107,348,0.5603448275862069,-4.1999999999999975,0.07357226345616125,57,1.0,True,1.8435754189944138,0.5251989389920424,18,12,16,9,0.11335026597327998,"{""QQQ"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPXW"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPY"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2""}",1,3,False,-23.354233402784754
3,45,0,-3.0,1,18,583,0.4751286449399657,1.5102515230729312,46.44406680862899,0.07966392248478386,-4.19999999999996,0.24871355060034306,464,0.5237068965517241,-3.6999999999999957,0.1184220155108841,18,0.7916666666666666,True,538,0.4368029739776952,1.2869613807855196,25.876613238708444,0.04809779412399339,-4.868965453455192,0.22862453531598512,472,0.4682203389830508,-4.868965453455192,0.19322466792217513,18,0.625,False,545,0.44770642201834865,1.3329895406949346,30.068955524752578,0.05517239545826161,-3.7000000000000135,0.26788990825688075,484,0.4834710743801653,-3.7000000000000135,0.16628445892921126,18,0.8333333333333334,False,1666,0.453781512605042,1.377130651329817,102.38963557209001,0.06145836468912966,-4.868965453455118,0.24849939975990396,496,0.4939516129032258,-8.212131869297728,0.11036273287684426,54,0.75,False,1.2869613807855196,0.4368029739776952,18,354,0.5734463276836158,2.240618101545254,56.2,0.15875706214689267,-2.09999999999998,0.307909604519774,339,0.5899705014749262,-2.09999999999998,0.07117437722419928,19,1.0,True,383,0.5274151436031331,1.8573417783763921,46.553658565838084,0.12155002236511249,-2.4000000000000057,0.30548302872062666,337,0.5548961424332344,-2.000000000000007,0.13962382764842068,18,1.0,True,355,0.5408450704225352,1.9631901840490802,47.1,0.13267605633802818,-2.0999999999999988,0.3211267605633803,326,0.5766871165644172,-2.0999999999999988,0.09554140127388534,19,1.0,True,1092,0.5467032967032966,2.0091155458978998,149.8536585658381,0.1372286250602913,-2.3999999999999773,0.31135531135531136,348,0.5660919540229885,-3.999999999999986,0.07273763019413433,57,1.0,True,1.8573417783763921,0.5274151436031331,18,12,18,8,0.06722279693487997,"{""QQQ"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPXW"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2"", ""SPY"": ""negative_months;negative_day_streak>4;first_2_month_share<0.1;first_3_month_share<0.2""}",1,3,False,-24.142752992041594
