ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode,candidate_id
SPXW,20230104,202301,10:30,630,zero_dte,PUT,0.5100132935755135,0.4372185258719916,0.5100132935755135,0.5,-0.3,-0.3,thr0.467_maxday3,202301,630,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,4,0,3,4,18,False,primary,4
QQQ,20230104,202301,11:00,660,zero_dte,CALL,0.5176681227437013,0.5176681227437013,0.484511621686549,0.5,-0.3,0.5,thr0.479_maxday1,202301,660,QQQ,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,1,0,3,3,18,False,primary,3
SPXW,20230104,202301,11:00,660,zero_dte,CALL,0.5117088794292332,0.5117088794292332,0.4865621099019904,0.5,-0.3,0.5,thr0.467_maxday3,202301,660,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,5,0,3,5,18,False,primary,5
SPY,20230104,202301,11:00,660,zero_dte,PUT,0.5220265760236353,0.4726556179643713,0.5220265760236353,0.5,-0.3,-0.3,thr0.500_maxday2,202301,660,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,2,0,3,3,18,False,primary,3
SPY,20230104,202301,14:15,855,zero_dte,PUT,0.6464123514321765,0.2779440033472122,0.6464123514321765,-0.3,-0.3,-0.3,thr0.500_maxday2,202301,855,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,3,0,3,4,18,False,primary,4
QQQ,20230105,202301,10:15,615,zero_dte,PUT,0.4987438514218986,0.300323436713396,0.4987438514218986,-0.3,0.5,0.5,thr0.479_maxday1,202301,615,QQQ,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,2,0,4,4,18,False,primary,4
SPXW,20230105,202301,10:15,615,zero_dte,PUT,0.5404686282057269,0.320130747454832,0.5404686282057269,-0.3,0.5,0.5,thr0.467_maxday3,202301,615,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,6,0,4,6,18,False,primary,6
SPXW,20230105,202301,10:45,645,zero_dte,PUT,0.5099407204559564,0.4669475267419076,0.5099407204559564,-0.3,0.5,0.5,thr0.467_maxday3,202301,645,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,7,0,4,7,18,False,primary,7
SPY,20230105,202301,10:45,645,zero_dte,PUT,0.5541072142793217,0.3884570439410947,0.5541072142793217,-0.3,0.5,0.5,thr0.500_maxday2,202301,645,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,4,0,4,5,18,False,primary,5
SPXW,20230105,202301,11:15,675,zero_dte,CALL,0.5124074213167327,0.5124074213167327,0.2892054566346116,-0.3,-0.3,-0.3,thr0.467_maxday3,202301,675,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,8,0,4,8,18,False,primary,8
