ticker,trades,win_rate,profit_factor,net_bps,min_month_trades,positive_months,incremental_gate_pass,promotion_gate_pass
QQQ,249,0.4859437751004016,0.8669392560076941,-662.6678475581499,19,6,False,False
SPXW,247,0.39271255060728744,0.6989116329075331,-1220.9879766443219,18,5,False,False
SPY,247,0.4008097165991903,0.6933815215250518,-1246.47711165088,18,5,False,False
