scope,cost_bps,trades,win_rate,profit_factor,net_bps
QQQ,1.0,249,0.4859437751004016,0.8669392560076941,-662.6678475581499
QQQ,2.0,249,0.4859437751004016,0.8215282192269516,-911.6678475581498
QQQ,3.0,249,0.4738955823293173,0.7784115808571787,-1160.6678475581498
SPXW,1.0,247,0.39271255060728744,0.6989116329075331,-1220.9879766443219
SPXW,2.0,247,0.38461538461538464,0.6510002920942266,-1467.987976644322
SPXW,3.0,247,0.38461538461538464,0.6064982488434859,-1714.9879766443219
SPY,1.0,247,0.4008097165991903,0.6933815215250518,-1246.47711165088
SPY,2.0,247,0.38461538461538464,0.6457636323396057,-1493.47711165088
SPY,3.0,247,0.3805668016194332,0.6016242784680684,-1740.47711165088
POOLED,1.0,743,0.4266487213997308,0.7610708922926472,-3130.1329358533517
POOLED,2.0,743,0.4185733512786003,0.7137481946415247,-3873.1329358533517
POOLED,3.0,743,0.41318977119784656,0.6694534179262532,-4616.132935853351
