feature,importance
ib_range_bps,13238.300798296928
oi_diff,4835.1619173288345
dist_ib_low_bps,3922.8044592142105
dist_ib_high_bps,3345.4824949502945
iv_diff,3175.028606414795
minute,2812.185581088066
ret_30m_bps,1819.2758266925812
nearest_level_abs_bps,1775.0430595874786
ret_15m_bps,1259.961099267006
volume_diff,1225.6303797960281
spread_pct_diff,1214.8957931995392
ret_1m_bps,1171.0111488103867
ret_5m_bps,1005.1894096136093
spread_pct_diff_chg_5m,998.2111419439316
iv_diff_chg_5m,948.6586899757385
volume_diff_chg_25m,938.4681077003479
iv_diff_chg_25m,879.2874892950058
spread_pct_diff_chg_25m,848.7922439575195
volume_diff_chg_5m,832.3428603410721
volume_diff_chg_15m,821.3867921829224
iv_diff_chg_15m,815.5412119626999
abs_delta_diff,812.223130106926
spread_pct_diff_chg_15m,679.7164416313171
abs_delta_diff_chg_15m,664.0709805488586
vega_diff_chg_5m,644.4307878017426
abs_delta_diff_chg_25m,621.188170671463
vega_diff,615.8712379932404
abs_delta_diff_chg_5m,600.7337098121643
vega_diff_chg_15m,567.5734505653381
vega_diff_chg_25m,515.0234594345093
