month,flat_train_start_month,flat_train_end_month,flat_train_rows,flat_train_months,flat_train_windows,flat_test_rows,flat_feature_count,flat_context_valid_rate,flat_train_pred,flat_train_total,flat_train_z_effective_rank_ratio,flat_train_z_max_pc_var_ratio,modal_train_start_month,modal_train_end_month,modal_train_rows,modal_train_months,modal_train_windows,modal_test_rows,modal_feature_count,modal_context_valid_rate,modal_train_pred,modal_train_total,modal_train_z_effective_rank_ratio,modal_train_z_max_pc_var_ratio
202505,202501,202504,8503,4,3202,2624,277,0.7263719439506531,0.0138460983365755,0.3457231640741275,0.0990023389458656,0.5232028365135193,202501,202504,8503,4,3202,2624,277,0.7263719439506531,0.0120658504949425,0.3295693383747008,0.0926212072372436,0.5222746729850769
202506,202501,202505,11127,5,4202,2608,277,0.7994632124900818,0.015903855708101,0.325150467281623,0.1148284301161766,0.4294998347759247,202501,202505,11127,5,4202,2608,277,0.7994632124900818,0.0122213412438834,0.3150212307704851,0.1065306216478347,0.4619236588478088
202507,202501,202506,13735,6,5478,2984,277,0.8592493534088135,0.0191206378915305,0.3188937899512764,0.1165166422724723,0.3820864856243133,202501,202506,13735,6,5478,2984,277,0.8592493534088135,0.0152481731277961,0.3091988960901896,0.1275051981210708,0.3832930624485016
202508,202501,202507,16719,7,7210,2697,277,0.8175750970840454,0.0198798070626847,0.3398056961792352,0.128791257739067,0.3775373995304107,202501,202507,16719,7,7210,2697,277,0.8175750970840454,0.0142604795415031,0.3275860728528066,0.118150919675827,0.4429663121700287
202509,202501,202508,19416,8,8650,2827,277,0.832331120967865,0.0176793004770499,0.3296947818408812,0.1341956853866577,0.3861178159713745,202501,202508,19416,8,8650,2827,277,0.832331120967865,0.0172677912207783,0.3153199692475313,0.1378552317619323,0.3574708700180053
202510,202501,202509,22243,9,10232,2851,277,0.8109435439109802,0.0181864063132429,0.309229169999183,0.1237733885645866,0.4555997848510742,202501,202509,22243,9,10232,2851,277,0.8109435439109802,0.0117342544463262,0.3094679158212991,0.1304564923048019,0.3805215656757355
202511,202501,202510,25094,10,11722,2105,277,0.7771971225738525,0.0142448386118627,0.297999124074629,0.1232116669416427,0.353808730840683,202501,202510,25094,10,11722,2105,277,0.7771971225738525,0.0151904844064783,0.3007814746945613,0.1420181542634964,0.3698478639125824
202512,202501,202511,27199,11,12749,2777,277,0.7922218441963196,0.024677261379978,0.3223890333032971,0.1343384683132171,0.3504656255245209,202501,202511,27199,11,12749,2777,277,0.7922218441963196,0.0158099022071759,0.3117254078785609,0.12029779702425,0.3849593102931976
202601,202501,202512,29976,12,14178,2544,277,0.7920597195625305,0.0184096971174392,0.3299930826415967,0.1377956271171569,0.3615309596061706,202501,202512,29976,12,14178,2544,277,0.7920597195625305,0.0173460473163934,0.336985111741055,0.1266231387853622,0.4433856606483459
202602,202501,202601,32520,13,15434,1893,277,0.7173798084259033,0.0145088127528573,0.3057621596111942,0.1397136449813842,0.3252575695514679,202501,202601,32520,13,15434,1893,277,0.7173798084259033,0.0127992569510551,0.314314561235761,0.1380687355995178,0.4281153976917267
202603,202501,202602,34413,14,16245,2464,277,0.6599025726318359,0.0147153508891579,0.3021794998909958,0.1322161108255386,0.3869390785694122,202501,202602,34413,14,16245,2464,277,0.6599025726318359,0.014161392490968,0.3112084069649011,0.1258861571550369,0.4588148593902588
202604,202501,202603,36877,15,17100,2426,277,0.8021434545516968,0.0158504104740612,0.3026719245366883,0.145007699728012,0.3347747027873993,202501,202603,36877,15,17100,2426,277,0.8021434545516968,0.0126537794382338,0.3046015701029035,0.1351809501647949,0.3528985679149627
202605,202501,202604,39303,16,18372,2580,277,0.7957364320755005,0.0150849624978361,0.2932374894054476,0.1230570077896118,0.4189308285713196,202501,202604,39303,16,18372,2580,277,0.7957364320755005,0.0145094251167292,0.3147581848227689,0.1298211961984634,0.4182130098342895
