contract_id,event_id,ticker,trade_date,decision_dt,right,strike,contract_dir,raw_path,raw_sha256,parquet_path,parquet_sha256,manifest_path,manifest_sha256,rows,raw_bytes,parquet_bytes
b716b97b3c05a0f123e5e61b,f8e85c4eb1026f340c62eb96,SPXW,20230103,2023-01-03T10:35:00,CALL,3845.0,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20230103\f8e85c4eb1026f340c62eb96\call,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20230103\f8e85c4eb1026f340c62eb96\call\response.json,36d991f688eb0538ead74ca31a4daa13d58db87ca3a99111a11c476cd9cbb8a5,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20230103\f8e85c4eb1026f340c62eb96\call\ticks.parquet,8d49499feaea043ffe700cba74acff6b5164f1c5ff65524bf1f6d8dcb3b3ae7c,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20230103\f8e85c4eb1026f340c62eb96\call\manifest.json,6432bbe23cdba160c3305333b7f2f5624933ffeea0da12fd44b7bc40bc76707d,992,166913,25019
0edbb9bf5f42cccda41b0407,f8e85c4eb1026f340c62eb96,SPXW,20230103,2023-01-03T10:35:00,PUT,3795.0,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20230103\f8e85c4eb1026f340c62eb96\put,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20230103\f8e85c4eb1026f340c62eb96\put\response.json,401652318e2e82b096243e1550ed9932bca284f8ae2e8b141593f629f07a5d22,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20230103\f8e85c4eb1026f340c62eb96\put\ticks.parquet,e5e4311b740b2c6a5471aa6e6888cf76f2818b7d82c69c4b08cd7ee4649b38b7,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20230103\f8e85c4eb1026f340c62eb96\put\manifest.json,efbf94fe8a3e57e9cbdc07f9ef6a45f6f0d3cff07fb8847e1e0eed49303be4f2,824,138579,22577
7a6488a4ecad027fb7df5a31,d6d5f0f0c246653aed627676,SPXW,20240102,2024-01-02T10:35:00,CALL,4745.0,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20240102\d6d5f0f0c246653aed627676\call,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20240102\d6d5f0f0c246653aed627676\call\response.json,f96caa1d9952c8b58a0abdadc1eeb0dc843161293715843de2aef72295655a51,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20240102\d6d5f0f0c246653aed627676\call\ticks.parquet,429c29f67f3fe5b532e253cf18a9e6991374f4d0883630689ec88e7a3ad8219f,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20240102\d6d5f0f0c246653aed627676\call\manifest.json,b8a55b5b8e4dccb2c470a58353530c76f9874f0316a9520b7f223b99e8f5cc99,981,165310,25157
5462ea570d54c46623e9c6d2,d6d5f0f0c246653aed627676,SPXW,20240102,2024-01-02T10:35:00,PUT,4720.0,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20240102\d6d5f0f0c246653aed627676\put,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20240102\d6d5f0f0c246653aed627676\put\response.json,73952f7d4fbd2f4e4e409bf35d0301f258c5c6ff209cb57613c6cad88e4170bd,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20240102\d6d5f0f0c246653aed627676\put\ticks.parquet,eb0032dbfd3f4a82114019c01f74ca5046023cc6cc10a6f6e9e506607ab3a944,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20240102\d6d5f0f0c246653aed627676\put\manifest.json,4db838055053ef56abab337dc1773970950dfc8e3f86eb41b7410383e6d6a68d,1218,204546,28017
a5c1a107ed1dd8ab58297b3b,014a641e42fa72f1ec48931e,SPXW,20250102,2025-01-02T10:35:00,CALL,5925.0,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20250102\014a641e42fa72f1ec48931e\call,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20250102\014a641e42fa72f1ec48931e\call\response.json,b2941ec77acc535d6d33dd3474726d19d83cb8d86ee1032428d790f20c495118,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20250102\014a641e42fa72f1ec48931e\call\ticks.parquet,6ed6103360eed4eb90d3e9149cfa3b65bb59a10b3b914d714ae5801bd5907d66,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20250102\014a641e42fa72f1ec48931e\call\manifest.json,b16cfbffed99a382f53e54fffa77a84a0994c7dabc76951fe4ecbc303a714305,3604,600901,59001
5d161b1301842a73866df07b,014a641e42fa72f1ec48931e,SPXW,20250102,2025-01-02T10:35:00,PUT,5870.0,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20250102\014a641e42fa72f1ec48931e\put,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20250102\014a641e42fa72f1ec48931e\put\response.json,2025455578ac1a0553d298cacde57e545d33804b59bbce6e31d90b024aba51f8,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20250102\014a641e42fa72f1ec48931e\put\ticks.parquet,79564eef24a0d2d4a91a438632708fc32b03cd8f4c8e888632df56d5fc91cb98,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPXW\20250102\014a641e42fa72f1ec48931e\put\manifest.json,90ac68ad168b6a1fd06a52dffc725eed78646c9254924d244d7b425112ef051a,3785,631282,61290
2f9c6e19f9a46c77e5d90532,debc80f4d282db8b97d70c25,SPY,20220801,2022-08-01T10:45:00,CALL,413.0,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20220801\debc80f4d282db8b97d70c25\call,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20220801\debc80f4d282db8b97d70c25\call\response.json,28de5ddde0f98cfcc9cdfc8eab57bc10e3fb3c419edf117aa557a32736ce174a,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20220801\debc80f4d282db8b97d70c25\call\ticks.parquet,8f0239c0318364836ee6955d5b79d478f3dfd945446ebceb28b7433644a5dea5,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20220801\debc80f4d282db8b97d70c25\call\manifest.json,5122b657ccb31feeea34c425626a0e8aef911ddca9ed1501d046889f73d229bb,1078,182335,27131
875bc94dc023e80395dfbdc0,debc80f4d282db8b97d70c25,SPY,20220801,2022-08-01T10:45:00,PUT,411.0,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20220801\debc80f4d282db8b97d70c25\put,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20220801\debc80f4d282db8b97d70c25\put\response.json,8b80c5866fe80405993f85271458211b6abddc3b8c14ee12d7247968c383bc64,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20220801\debc80f4d282db8b97d70c25\put\ticks.parquet,115e2e9c2707c7adb2946c166fa0143b8e9e9dc47db3578f8bdabc3c14c14254,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20220801\debc80f4d282db8b97d70c25\put\manifest.json,dc8fcdd5fcb83f04886767dab68a897685bdfa93db2caf52806d4a03e2dc44ab,1443,244709,32871
ca049b775f6ddc260602f19a,de6967c33adc3b3564ad6500,SPY,20230103,2023-01-03T10:35:00,CALL,382.0,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20230103\de6967c33adc3b3564ad6500\call,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20230103\de6967c33adc3b3564ad6500\call\response.json,1e383be0481426a191c492564727524b2e1b2f2c87998b24491c263cf2e17314,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20230103\de6967c33adc3b3564ad6500\call\ticks.parquet,1b82c78a616fde01b45f81543fa1125ed6bfa5fa1d766d767e1ec20dbab51987,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20230103\de6967c33adc3b3564ad6500\call\manifest.json,777f23b588761cd3876e375bd10271c6ffcdfed922d0e4ac7fc5b80f17b8ba84,1365,230862,32123
f043f2e959c05d79dcbc0129,de6967c33adc3b3564ad6500,SPY,20230103,2023-01-03T10:35:00,PUT,379.0,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20230103\de6967c33adc3b3564ad6500\put,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20230103\de6967c33adc3b3564ad6500\put\response.json,ce7bb5c42ee2f689a3049156aab13b6e206de38d9c2036023fe92b62455bf489,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20230103\de6967c33adc3b3564ad6500\put\ticks.parquet,2817890b8808db570988febb6fcc0a6f1689aa94daa9447d9ff17aef9468d275,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20230103\de6967c33adc3b3564ad6500\put\manifest.json,fed72af7b16fceb77084393642bbc13674b7852828fdea3e9865b45d8597f981,1708,289889,37426
e09671195240d842a922fe22,e4aadcaf181993b3874605c9,SPY,20240102,2024-01-02T10:35:00,CALL,472.0,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20240102\e4aadcaf181993b3874605c9\call,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20240102\e4aadcaf181993b3874605c9\call\response.json,531bb1c21d954553055f568d141196e1435637dc632da3d72a5b2750283262bd,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20240102\e4aadcaf181993b3874605c9\call\ticks.parquet,697d0d128a7c224601aef647bb8668ae534848f29edb82473e6a07f91f4abd9c,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20240102\e4aadcaf181993b3874605c9\call\manifest.json,57ae4d39d743cf8cfb930e52f3132b996b80ae506e079dbb65db64363b2026f5,1040,176709,26208
d2c5df3d825360d34acfd0bb,e4aadcaf181993b3874605c9,SPY,20240102,2024-01-02T10:35:00,PUT,471.0,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20240102\e4aadcaf181993b3874605c9\put,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20240102\e4aadcaf181993b3874605c9\put\response.json,26eb5f9042368769c62d20b0e1180af5cd98d926132b0c5572ad48f915ef580f,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20240102\e4aadcaf181993b3874605c9\put\ticks.parquet,4ea464c90ccec5f1f64acdcd75ab93d30c3d44991b75f0bb0bff5a1a2f7460a2,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20240102\e4aadcaf181993b3874605c9\put\manifest.json,6074944dea82807a2204c72f9b9eda8dc5b42d20b957edd6d7b6288c0113aa10,1118,189901,26515
522d6e7e5ed5834627120389,caf3fa9e42bb5d5a202bf83b,SPY,20250102,2025-01-02T10:35:00,CALL,589.0,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20250102\caf3fa9e42bb5d5a202bf83b\call,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20250102\caf3fa9e42bb5d5a202bf83b\call\response.json,df904cdfc2bc9cef674a2779f7f2759e8a24b6e1cde956739ff473f760b819d5,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20250102\caf3fa9e42bb5d5a202bf83b\call\ticks.parquet,7745a3cb233f1b1a5a76eecffab0a50521dd85aaecea13ad9498baaa88622e2a,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20250102\caf3fa9e42bb5d5a202bf83b\call\manifest.json,33c7ac3a0d99bda58df950ae44c44af563fe162a64246f77fcfb55a0ec803afb,3584,608273,62402
a907f80fa6b9a60c90d2661a,caf3fa9e42bb5d5a202bf83b,SPY,20250102,2025-01-02T10:35:00,PUT,586.0,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20250102\caf3fa9e42bb5d5a202bf83b\put,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20250102\caf3fa9e42bb5d5a202bf83b\put\response.json,f4ffef2d705d886f366d1efc6e34dfc5e5e72e9c0fc825b27dcebc8425af5161,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20250102\caf3fa9e42bb5d5a202bf83b\put\ticks.parquet,80e715846bc21981cfe81bf872a1ad46d5f3e5b6b0e1e6ab622441c689faaca5,D:\ThetaData\h_ibqdyn1_tick_preflight_202208_202501_v1_remote\SPY\20250102\caf3fa9e42bb5d5a202bf83b\put\manifest.json,de90f07f1583620b8070ce9af530187ddae51835427b56b697a3aeaa0cde76d9,3704,628412,64239
