ticker,month,trades,win_rate,profit_factor,net_bps,frequency_pass,pnl_positive,july_mtd_net_positive
QQQ,202607,12,0.6666666666666666,3.4530661153188977,341.97282044556835,False,True,True
SPXW,202607,13,0.38461538461538464,0.8071387978759861,-39.35121720859512,True,False,False
SPY,202607,13,0.3076923076923077,0.49607161131351857,-123.16200341871975,True,False,False
