ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_delta_bucket,source_combined_from,source_variant,source_priority,config_selector_mode,selected_variants,selected_max_day,selected_cooldown,selected_daily_order
SPXW,20260102,202601,10:00,600,zero_dte,CALL,0.1644107802268606,0.1644107802268606,0.0614469367668591,-0.6,2.005940304900054,-0.6,thr0.000_maxday3,202601,80,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d80_return_wf202504_202606_v1,d80,4,SELECTED,"d50,d80",1,0,time_asc
SPXW,20260105,202601,10:00,600,zero_dte,CALL,0.1794042427212819,0.1794042427212819,-0.3651714014605062,0.4686440936589644,-0.6,0.4686440936589644,thr0.000_maxday3,202601,80,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d80_return_wf202504_202606_v1,d80,4,SELECTED,"d50,d80",1,0,time_asc
SPXW,20260106,202601,10:00,600,zero_dte,CALL,0.3155099164058939,0.3155099164058939,-0.141392330799599,-0.6,0.6643947828919357,-0.6,thr0.000_maxday3,202601,80,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d80_return_wf202504_202606_v1,d80,4,SELECTED,"d50,d80",1,0,time_asc
SPXW,20260107,202601,10:00,600,zero_dte,CALL,0.1597339096049259,0.1597339096049259,-0.0670925052135693,0.3507905621069673,-0.6,0.3507905621069673,thr0.000_maxday3,202601,80,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d80_return_wf202504_202606_v1,d80,4,SELECTED,"d50,d80",1,0,time_asc
SPXW,20260108,202601,10:00,600,zero_dte,PUT,0.1413005464578136,-0.2825476159207226,0.1413005464578136,0.5002820681468898,-0.6,-0.6,thr0.000_maxday3,202601,80,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d80_return_wf202504_202606_v1,d80,4,SELECTED,"d50,d80",1,0,time_asc
SPXW,20260109,202601,10:10,610,zero_dte,PUT,0.1895271034016739,-0.0146559935791138,0.1895271034016739,0.54611889853261,-0.6,-0.6,thr0.000_maxday3,202601,80,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d80_return_wf202504_202606_v1,d80,4,SELECTED,"d50,d80",1,0,time_asc
SPXW,20260112,202601,10:00,600,zero_dte,CALL,0.1604219586638104,0.1604219586638104,-0.2772292960171086,0.280399932861328,-0.443579775633466,0.280399932861328,thr0.000_maxday3,202601,80,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d80_return_wf202504_202606_v1,d80,4,SELECTED,"d50,d80",1,0,time_asc
SPXW,20260113,202601,10:10,610,zero_dte,CALL,0.1095267849725042,0.1095267849725042,-0.2088167150197085,-0.3275261768639813,0.2257950375235469,-0.3275261768639813,thr0.000_maxday3,202601,80,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d80_return_wf202504_202606_v1,d80,4,SELECTED,"d50,d80",1,0,time_asc
SPXW,20260114,202601,10:00,600,zero_dte,PUT,0.3304721634760746,-0.3153895184401019,0.3304721634760746,-0.4205697474416108,0.2373305711584228,0.2373305711584228,thr0.000_maxday3,202601,80,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d80_return_wf202504_202606_v1,d80,4,SELECTED,"d50,d80",1,0,time_asc
SPXW,20260115,202601,10:00,600,zero_dte,CALL,0.0755662379588795,0.0755662379588795,-0.1161394259568193,-0.0586666870117187,-0.6,-0.0586666870117187,thr0.000_maxday3,202601,80,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d80_return_wf202504_202606_v1,d80,4,SELECTED,"d50,d80",1,0,time_asc
