result,file,path,rows,tickers,date_min,date_max,month_min,month_max,ret_source,overall_trades,overall_wr,overall_pf,overall_pnl_r,min_ticker_pf,min_ticker_wr,min_month_trades,min_month_pf,min_month_wr,positive_months,ticker_months,pass_ticker_overall_pf_wr,pass_monthly_positive,pass_monthly_pf_wr,ticker_metrics,score
event_option_spxw_side_circuit_tdvp_meta_2025h2hist_2026janjun_risk5000,candidate_trade_meta_trades.csv,research_papers\JEPA\results\event_option_spxw_side_circuit_tdvp_meta_2025h2hist_2026janjun_risk5000\candidate_trade_meta_trades.csv,182,SPXW,20260106,20260609,202601,202606,realized_return,182,0.5439560439560439,1.8772249750059455,14.660186006390463,1.8772249750059455,0.5439560439560439,1,0.0,0.0,4,6,True,False,False,"SPXW:n=182,wr=0.544,pf=1.877,r=14.660,call=0.709",1020.7960765851293
event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_2026janjun_partial_risk5000,combined_trades.csv,research_papers\JEPA\results\event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_bftopk_2026janjun_partial_risk5000\combined_trades.csv,606,"QQQ,SPXW,SPY",20260102,20260616,202601,202606,realized_return,606,0.5214521452145214,1.7031103642792345,48.13927888306533,1.6625085606972099,0.5031847133757962,10,0.7341840326101743,0.4117647058823529,17,18,True,False,False,"QQQ:n=222,wr=0.532,pf=1.700,r=17.301,call=0.658; SPXW:n=227,wr=0.524,pf=1.663,r=15.409,call=0.648; SPY:n=157,wr=0.503,pf=1.753,r=15.429,call=0.401",1018.8095887600821
event_option_spy_stream_selector_nested_vs_topk_s2_2026janjun_partial_risk5000,stream_selector_trades.csv,research_papers\JEPA\results\event_option_spy_stream_selector_nested_vs_topk_s2_2026janjun_partial_risk5000\stream_selector_trades.csv,174,SPY,20260102,20260616,202601,202606,realized_return,174,0.46551724137931033,1.6715196575499767,18.25737855673151,1.6715196575499767,0.46551724137931033,20,0.5043436078590177,0.25,5,6,True,False,False,"SPY:n=174,wr=0.466,pf=1.672,r=18.257,call=0.477",1018.5692900186172
event_option_spy_stream_selector_nested_vs_topk_s2_healthtop5_080_2026janjun_partial_risk5000,stream_selector_trades.csv,research_papers\JEPA\results\event_option_spy_stream_selector_nested_vs_topk_s2_healthtop5_080_2026janjun_partial_risk5000\stream_selector_trades.csv,174,SPY,20260102,20260616,202601,202606,realized_return,174,0.46551724137931033,1.6715196575499767,18.25737855673151,1.6715196575499767,0.46551724137931033,20,0.5043436078590177,0.25,5,6,True,False,False,"SPY:n=174,wr=0.466,pf=1.672,r=18.257,call=0.477",1018.5692900186172
event_option_spy_stream_selector_nested_vs_topk_s2_healthtop5_090_2026janjun_partial_risk5000,stream_selector_trades.csv,research_papers\JEPA\results\event_option_spy_stream_selector_nested_vs_topk_s2_healthtop5_090_2026janjun_partial_risk5000\stream_selector_trades.csv,174,SPY,20260102,20260616,202601,202606,realized_return,174,0.46551724137931033,1.6715196575499767,18.25737855673151,1.6715196575499767,0.46551724137931033,20,0.5043436078590177,0.25,5,6,True,False,False,"SPY:n=174,wr=0.466,pf=1.672,r=18.257,call=0.477",1018.5692900186172
event_option_spy_stream_selector_nested_vs_topk_s2_healthtop5_100_2026janjun_partial_risk5000,stream_selector_trades.csv,research_papers\JEPA\results\event_option_spy_stream_selector_nested_vs_topk_s2_healthtop5_100_2026janjun_partial_risk5000\stream_selector_trades.csv,174,SPY,20260102,20260616,202601,202606,realized_return,174,0.46551724137931033,1.6715196575499767,18.25737855673151,1.6715196575499767,0.46551724137931033,20,0.5043436078590177,0.25,5,6,True,False,False,"SPY:n=174,wr=0.466,pf=1.672,r=18.257,call=0.477",1018.5692900186172
event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_srchist10d20t_bftopk_2026janjun_partial_risk5000,combined_trades.csv,research_papers\JEPA\results\event_option_candidate_spxw_outer_s1_qqq_outer_call50_spy_dailyrouter_srchist10d20t_bftopk_2026janjun_partial_risk5000\combined_trades.csv,607,"QQQ,SPXW,SPY",20260102,20260616,202601,202606,realized_return,607,0.5172981878088962,1.650453550663071,46.47261414418193,1.5862230153376524,0.4873417721518987,10,0.7341840326101743,0.4117647058823529,17,18,True,False,False,"QQQ:n=222,wr=0.532,pf=1.700,r=17.301,call=0.658; SPXW:n=227,wr=0.524,pf=1.663,r=15.409,call=0.648; SPY:n=158,wr=0.487,pf=1.586,r=13.762,call=0.418",1017.9774098454815
event_option_spxw_branch_trade_meta_tdvp_zdz_2025h2_2026jun_risk5000,candidate_trade_meta_trades.csv,research_papers\JEPA\results\event_option_spxw_branch_trade_meta_tdvp_zdz_2025h2_2026jun_risk5000\candidate_trade_meta_trades.csv,205,SPXW,20260106,20260616,202601,202606,realized_return,205,0.5365853658536586,1.603533890321589,12.290252388266403,1.603533890321589,0.5365853658536586,5,0.6973294194009813,0.4,3,6,True,False,False,"SPXW:n=205,wr=0.537,pf=1.604,r=12.290,call=0.732",1017.7617753174202
event_option_current_best_causal_qqqcircuit_spxwmeta_spy2025h2circuit_2026janjun_risk5000,combined_trades.csv,research_papers\JEPA\results\event_option_current_best_causal_qqqcircuit_spxwmeta_spy2025h2circuit_2026janjun_risk5000\combined_trades.csv,638,"QQQ,SPXW,SPY",20260102,20260616,202601,202606,realized_return,638,0.5031347962382445,1.597725688948093,53.829288302385045,1.494956167581303,0.47337278106508873,10,0.5043436078590177,0.25,15,18,True,False,False,"QQQ:n=206,wr=0.510,pf=1.612,r=18.015,call=0.422; SPXW:n=263,wr=0.517,pf=1.495,r=12.795,call=0.570; SPY:n=169,wr=0.473,pf=1.662,r=23.019,call=0.639",1017.085580247785
event_option_current_best_causal_qqqcircuit_sidecircuits_spydd25_tdvp_meta_2026janjun_risk5000,combined_trades.csv,research_papers\JEPA\results\event_option_current_best_causal_qqqcircuit_sidecircuits_spydd25_tdvp_meta_2026janjun_risk5000\combined_trades.csv,651,"QQQ,SPXW,SPY",20260102,20260616,202601,202606,realized_return,651,0.49923195084485406,1.5492505624444615,51.72051662073403,1.494956167581303,0.46153846153846156,10,0.5043436078590177,0.25,15,18,True,False,False,"QQQ:n=206,wr=0.510,pf=1.612,r=18.015,call=0.422; SPXW:n=263,wr=0.517,pf=1.495,r=12.795,call=0.570; SPY:n=182,wr=0.462,pf=1.538,r=20.911,call=0.626",1017.0160174044648
event_option_current_best_causal_qqqcircuit_sidecircuits_tdvp_meta_s2_m18_pf11_wr42_2026janjun_risk5000,candidate_trade_meta_trades.csv,research_papers\JEPA\results\event_option_current_best_causal_qqqcircuit_sidecircuits_tdvp_meta_s2_m18_pf11_wr42_2026janjun_risk5000\candidate_trade_meta_trades.csv,646,"QQQ,SPXW,SPY",20260102,20260616,202601,202606,realized_return,646,0.4984520123839009,1.536521246358694,50.416632445228565,1.494956167581303,0.4576271186440678,10,0.5043436078590177,0.25,15,18,True,False,False,"QQQ:n=206,wr=0.510,pf=1.612,r=18.015,call=0.422; SPXW:n=263,wr=0.517,pf=1.495,r=12.795,call=0.570; SPY:n=177,wr=0.458,pf=1.507,r=19.607,call=0.638",1016.990249246624
event_option_spy_daily_source_router_d660_topk_nested_formal_2026janjun_risk5000,selected_trades.csv,research_papers\JEPA\results\event_option_spy_daily_source_router_d660_topk_nested_formal_2026janjun_risk5000\selected_trades.csv,145,SPY,20260102,20260616,202601,202606,realized_return,145,0.4827586206896552,1.5216514080152694,10.144827951310408,1.5216514080152694,0.4827586206896552,16,0.5507595841782008,0.3888888888888889,5,6,True,False,False,"SPY:n=145,wr=0.483,pf=1.522,r=10.145,call=0.372",1016.839613767681
event_option_spy_stream_selector_nested_vs_topk_s3_2026janjun_partial_risk5000,stream_selector_trades.csv,research_papers\JEPA\results\event_option_spy_stream_selector_nested_vs_topk_s3_2026janjun_partial_risk5000\stream_selector_trades.csv,176,SPY,20260102,20260616,202601,202606,realized_return,176,0.4659090909090909,1.4944203699538607,13.476709608535973,1.4944203699538607,0.4659090909090909,20,0.5043436078590177,0.25,4,6,True,False,False,"SPY:n=176,wr=0.466,pf=1.494,r=13.477,call=0.477",1016.573391165578
event_option_qqq_stream_selector_recenttopk_d65_current_s2_call20_nopos_2026janjun_partial_risk5000,stream_selector_trades.csv,research_papers\JEPA\results\event_option_qqq_stream_selector_recenttopk_d65_current_s2_call20_nopos_2026janjun_partial_risk5000\stream_selector_trades.csv,198,QQQ,20260105,20260612,202601,202606,realized_return,198,0.5050505050505051,1.4793370777174049,11.914703298848307,1.4793370777174049,0.5050505050505051,10,0.8916825318893719,0.3939393939393939,5,6,True,False,False,"QQQ:n=198,wr=0.505,pf=1.479,r=11.915,call=0.631",1016.39185488788
event_option_current_best_causal_spxw_s1m19_qqq_recenttopk_2026janjun_partial_risk5000,combined_trades.csv,research_papers\JEPA\results\event_option_current_best_causal_spxw_s1m19_qqq_recenttopk_2026janjun_partial_risk5000\combined_trades.csv,621,"QQQ,SPXW,SPY",20260102,20260616,202601,202606,realized_return,621,0.5072463768115942,1.543343111017001,39.01207213952385,1.4095446560505394,0.478494623655914,10,0.8277653680142987,0.4117647058823529,17,18,True,False,False,"QQQ:n=222,wr=0.532,pf=1.700,r=17.301,call=0.658; SPXW:n=213,wr=0.507,pf=1.513,r=12.017,call=0.498; SPY:n=186,wr=0.478,pf=1.410,r=9.694,call=0.301",1016.0289103929175
event_option_spy_current_wincls_meta_gate_s3_pf10_wr40_m19_2025h2_2026jun_risk5000,trade_union_meta_trades.csv,research_papers\JEPA\results\event_option_spy_current_wincls_meta_gate_s3_pf10_wr40_m19_2025h2_2026jun_risk5000\trade_union_meta_trades.csv,191,SPY,20260102,20260616,202601,202606,realized_return,191,0.450261780104712,1.443587910584486,12.564633822281984,1.443587910584486,0.450261780104712,19,0.7351001723783429,0.35,4,6,True,False,False,"SPY:n=191,wr=0.450,pf=1.444,r=12.565,call=0.445",1016.0051133546522
event_option_spy_daily_source_router_d660_topk_nested_srchist10d20t_2026janjun_partial_risk5000,selected_trades.csv,research_papers\JEPA\results\event_option_spy_daily_source_router_d660_topk_nested_srchist10d20t_2026janjun_partial_risk5000\selected_trades.csv,149,SPY,20260102,20260616,202601,202606,realized_return,149,0.4697986577181208,1.4387921869683413,10.142398498524068,1.4387921869683413,0.4697986577181208,16,0.5507595841782008,0.3888888888888889,5,6,True,False,False,"SPY:n=149,wr=0.470,pf=1.439,r=10.142,call=0.403",1015.928138041637
event_option_current_best_causal_qqqcurrent_spxwrouter_spy2025h2circuit_2026janjun_risk5000,combined_trades.csv,research_papers\JEPA\results\event_option_current_best_causal_qqqcurrent_spxwrouter_spy2025h2circuit_2026janjun_risk5000\combined_trades.csv,761,"QQQ,SPXW,SPY",20260102,20260616,202601,202606,realized_return,761,0.48751642575558474,1.5232760583319092,58.86452044549131,1.3692619640902954,0.47337278106508873,10,0.5043436078590177,0.25,16,18,True,False,False,"QQQ:n=206,wr=0.510,pf=1.612,r=18.015,call=0.422; SPXW:n=386,wr=0.482,pf=1.369,r=17.830,call=0.503; SPY:n=169,wr=0.473,pf=1.662,r=23.019,call=0.639",1015.8045409036898
event_option_current_best_causal_qqqbalanced_spxwrouter_spy2025h2circuit_2026janjun_risk5000,combined_trades.csv,research_papers\JEPA\results\event_option_current_best_causal_qqqbalanced_spxwrouter_spy2025h2circuit_2026janjun_risk5000\combined_trades.csv,792,"QQQ,SPXW,SPY",20260102,20260616,202601,202606,realized_return,792,0.494949494949495,1.4984172481314106,56.19346692465271,1.3692619640902954,0.47337278106508873,10,0.5043436078590177,0.25,17,18,True,False,False,"QQQ:n=237,wr=0.532,pf=1.517,r=15.344,call=0.608; SPXW:n=386,wr=0.482,pf=1.369,r=17.830,call=0.503; SPY:n=169,wr=0.473,pf=1.662,r=23.019,call=0.639",1015.7529715582809
