ticker,underlying_ticker,trade_date,expiration,dte_days,expiry_mode,has_greeks,has_iv,has_ohlc,has_oi,has_underlying,greeks_path,iv_path,ohlc_path,oi_path,underlying_path
QQQ,QQQ,20251105,20251107,2,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2025\11\QQQ_20251107_20251105_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2025\11\QQQ_20251107_20251105_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2025\11\QQQ_20251107_20251105_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2025\11\QQQ_20251107_20251105_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2025\11\QQQ_20251105.parquet
QQQ,QQQ,20251106,20251106,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2025\11\QQQ_20251106_20251106_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2025\11\QQQ_20251106_20251106_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2025\11\QQQ_20251106_20251106_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2025\11\QQQ_20251106_20251106_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2025\11\QQQ_20251106.parquet
QQQ,QQQ,20251106,20251107,1,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2025\11\QQQ_20251107_20251106_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2025\11\QQQ_20251107_20251106_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2025\11\QQQ_20251107_20251106_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2025\11\QQQ_20251107_20251106_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2025\11\QQQ_20251106.parquet
QQQ,QQQ,20251107,20251107,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2025\11\QQQ_20251107_20251107_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2025\11\QQQ_20251107_20251107_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2025\11\QQQ_20251107_20251107_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2025\11\QQQ_20251107_20251107_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2025\11\QQQ_20251107.parquet
QQQ,QQQ,20251107,20251114,7,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2025\11\QQQ_20251114_20251107_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2025\11\QQQ_20251114_20251107_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2025\11\QQQ_20251114_20251107_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2025\11\QQQ_20251114_20251107_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2025\11\QQQ_20251107.parquet
QQQ,QQQ,20251110,20251110,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2025\11\QQQ_20251110_20251110_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2025\11\QQQ_20251110_20251110_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2025\11\QQQ_20251110_20251110_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2025\11\QQQ_20251110_20251110_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2025\11\QQQ_20251110.parquet
QQQ,QQQ,20251110,20251114,4,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2025\11\QQQ_20251114_20251110_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2025\11\QQQ_20251114_20251110_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2025\11\QQQ_20251114_20251110_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2025\11\QQQ_20251114_20251110_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2025\11\QQQ_20251110.parquet
QQQ,QQQ,20251111,20251111,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2025\11\QQQ_20251111_20251111_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2025\11\QQQ_20251111_20251111_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2025\11\QQQ_20251111_20251111_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2025\11\QQQ_20251111_20251111_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2025\11\QQQ_20251111.parquet
QQQ,QQQ,20251111,20251114,3,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2025\11\QQQ_20251114_20251111_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2025\11\QQQ_20251114_20251111_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2025\11\QQQ_20251114_20251111_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2025\11\QQQ_20251114_20251111_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2025\11\QQQ_20251111.parquet
QQQ,QQQ,20251112,20251112,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2025\11\QQQ_20251112_20251112_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2025\11\QQQ_20251112_20251112_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2025\11\QQQ_20251112_20251112_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2025\11\QQQ_20251112_20251112_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2025\11\QQQ_20251112.parquet
