ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_stream,source_file,candidate_id,entry_minute,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode
QQQ,20260102,202601,10:30,630,zero_dte,PUT,0.2133478661276992,-0.12739695268428,0.2133478661276992,0.5,-0.3,-0.3,thr-999.000_maxday3,202601,fallback_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_d50_fallback_wf2026_v1\event_option_gate_trades.csv,,630,360,1,2,0,18,False,fallback_volume_pace
SPXW,20260102,202601,10:30,630,zero_dte,PUT,0.2679997297105662,-0.1487412332384443,0.2679997297105662,0.5,-0.3,-0.3,thr-999.000_maxday3,202601,fallback_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_d50_fallback_wf2026_v1\event_option_gate_trades.csv,,630,0,1,2,0,18,False,fallback_volume_pace
SPY,20260102,202601,10:30,630,zero_dte,PUT,0.2135726480788312,-0.1474030870609205,0.2135726480788312,0.5,-0.3,-0.3,thr-999.000_maxday3,202601,fallback_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_d50_fallback_wf2026_v1\event_option_gate_trades.csv,,630,708,1,2,0,18,False,fallback_volume_pace
QQQ,20260102,202601,11:00,660,zero_dte,PUT,0.2461456189934263,-0.1278493285928839,0.2461456189934263,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601,fallback_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_d50_fallback_wf2026_v1\event_option_gate_trades.csv,,660,361,1,2,1,18,False,fallback_volume_pace
SPXW,20260102,202601,11:00,660,zero_dte,PUT,0.2402983215464057,-0.0736964388185678,0.2402983215464057,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601,fallback_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_d50_fallback_wf2026_v1\event_option_gate_trades.csv,,660,1,1,2,1,18,False,fallback_volume_pace
SPY,20260102,202601,11:00,660,zero_dte,PUT,0.2690238669607424,-0.0755261429877995,0.2690238669607424,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601,fallback_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_d50_fallback_wf2026_v1\event_option_gate_trades.csv,,660,709,1,2,1,18,False,fallback_volume_pace
QQQ,20260105,202601,10:30,630,zero_dte,PUT,0.1270789798927566,-0.1714175672560356,0.1270789798927566,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601,fallback_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_d50_fallback_wf2026_v1\event_option_gate_trades.csv,,630,363,1,3,2,18,False,fallback_volume_pace
SPXW,20260105,202601,10:30,630,zero_dte,PUT,0.1040421736926884,-0.1716764051495021,0.1040421736926884,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601,fallback_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_d50_fallback_wf2026_v1\event_option_gate_trades.csv,,630,3,1,3,2,18,False,fallback_volume_pace
SPY,20260105,202601,10:30,630,zero_dte,PUT,0.1301386541115718,-0.168917301318791,0.1301386541115718,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601,fallback_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_d50_fallback_wf2026_v1\event_option_gate_trades.csv,,630,711,1,3,2,18,False,fallback_volume_pace
QQQ,20260106,202601,10:30,630,zero_dte,PUT,0.2504610832599779,-0.2719805185015025,0.2504610832599779,-0.3,0.5,0.5,thr-999.000_maxday3,202601,fallback_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_d50_fallback_wf2026_v1\event_option_gate_trades.csv,,630,366,1,4,3,18,False,fallback_volume_pace
SPXW,20260106,202601,10:30,630,zero_dte,PUT,0.1568653474486374,-0.3183238432958329,0.1568653474486374,-0.3,0.5,0.5,thr-999.000_maxday3,202601,fallback_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_d50_fallback_wf2026_v1\event_option_gate_trades.csv,,630,6,1,4,3,18,False,fallback_volume_pace
SPY,20260106,202601,10:30,630,zero_dte,PUT,0.2271227134515905,-0.2947507777715476,0.2271227134515905,-0.3,0.5,0.5,thr-999.000_maxday3,202601,fallback_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_d50_fallback_wf2026_v1\event_option_gate_trades.csv,,630,714,1,4,3,18,False,fallback_volume_pace
QQQ,20260107,202601,10:30,630,zero_dte,PUT,0.2818804598300017,-0.1694067119853788,0.2818804598300017,-0.3,-0.3,-0.3,thr-999.000_maxday3,202601,fallback_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_d50_fallback_wf2026_v1\event_option_gate_trades.csv,,630,369,1,5,4,18,False,fallback_volume_pace
SPXW,20260107,202601,10:30,630,zero_dte,PUT,0.1466285271298488,-0.1890384596417751,0.1466285271298488,0.5,-0.3,-0.3,thr-999.000_maxday3,202601,fallback_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_d50_fallback_wf2026_v1\event_option_gate_trades.csv,,630,9,1,5,4,18,False,fallback_volume_pace
SPY,20260107,202601,10:30,630,zero_dte,PUT,0.116514013185701,-0.1890877540574822,0.116514013185701,0.5,-0.3,-0.3,thr-999.000_maxday3,202601,fallback_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live1030_d50_fallback_wf2026_v1\event_option_gate_trades.csv,,630,717,1,5,4,18,False,fallback_volume_pace
