ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_delta_bucket,source_combined_from
SPXW,20250801,202508,13:20,800,zero_dte,PUT,0.3682325773861979,-0.044885035477973,0.3682325773861979,0.6086387063343246,0.263106771800462,0.263106771800462,thr0.200_maxday1,202508,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250804,202508,10:00,600,zero_dte,PUT,0.3141074637211861,-0.0746552701341863,0.3141074637211861,0.1979166190657368,-0.6,-0.6,thr0.200_maxday1,202508,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250805,202508,10:55,655,zero_dte,PUT,0.229552790704035,-0.021360006440497,0.229552790704035,0.4151162435842115,-0.6,-0.6,thr0.200_maxday1,202508,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250806,202508,10:05,605,zero_dte,PUT,0.3182793349042428,-0.1129662037818417,0.3182793349042428,0.4898990954735918,0.8300000508626302,0.8300000508626302,thr0.200_maxday1,202508,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250807,202508,10:00,600,zero_dte,PUT,0.231179948325954,-0.3880201990377142,0.231179948325954,-0.6,1.4060695253965134,1.4060695253965134,thr0.200_maxday1,202508,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250808,202508,10:00,600,zero_dte,PUT,0.2688878337509583,-0.4250927036303465,0.2688878337509583,0.0969387541607691,-0.6,-0.6,thr0.200_maxday1,202508,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250811,202508,10:00,600,zero_dte,PUT,0.3201465667578285,-0.0831360181907408,0.3201465667578285,0.3648648182783278,-0.6,-0.6,thr0.200_maxday1,202508,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250812,202508,10:00,600,zero_dte,PUT,0.3027485134768681,-0.4387934632552772,0.3027485134768681,0.6275416919628345,-0.6,-0.6,thr0.200_maxday1,202508,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250813,202508,10:10,610,zero_dte,PUT,0.2754448109034524,-0.4867794494577456,0.2754448109034524,-0.6,0.4937500885791273,0.4937500885791273,thr0.200_maxday1,202508,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250814,202508,10:00,600,zero_dte,PUT,0.2869499066656092,-0.1033484931642697,0.2869499066656092,0.3765823071324998,0.284802751494265,0.284802751494265,thr0.200_maxday1,202508,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250815,202508,10:15,615,zero_dte,CALL,0.2978949671187744,0.2978949671187744,-0.1717357736253667,-0.6,0.3672316289053838,-0.6,thr0.200_maxday1,202508,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250818,202508,10:05,605,zero_dte,PUT,0.2550679974226882,-0.0805044209710739,0.2550679974226882,-0.6,0.3320895447406788,0.3320895447406788,thr0.200_maxday1,202508,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250819,202508,10:10,610,zero_dte,PUT,0.3439415734609508,-0.2083116910193561,0.3439415734609508,-0.6,1.306844593426448,1.306844593426448,thr0.200_maxday1,202508,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250821,202508,10:05,605,zero_dte,PUT,0.2168967060673788,-0.0516363086864962,0.2168967060673788,-0.6,0.2858851224887451,0.2858851224887451,thr0.200_maxday1,202508,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250822,202508,10:10,610,zero_dte,PUT,0.316568946070538,-0.1095704206382147,0.316568946070538,0.0162068728742927,-0.6,-0.6,thr0.200_maxday1,202508,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250827,202508,10:00,600,zero_dte,PUT,0.2031231119142192,-0.4275421613028525,0.2031231119142192,0.3396188566705613,-0.6,-0.6,thr0.200_maxday1,202508,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250828,202508,10:45,645,zero_dte,PUT,0.2128923102096643,-0.1842391570917121,0.2128923102096643,0.3464602310643114,-0.6,-0.6,thr0.200_maxday1,202508,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250829,202508,12:40,760,zero_dte,PUT,0.2018728240951107,-0.1331518390374524,0.2018728240951107,-0.6,0.5477527576188574,0.5477527576188574,thr0.200_maxday1,202508,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250902,202509,10:00,600,zero_dte,CALL,0.0513184097933498,0.0513184097933498,-0.2901974343352575,-0.6,0.5726360137702908,-0.6,thr0.000_maxday2,202509,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250902,202509,10:30,630,zero_dte,CALL,0.2081321044771108,0.2081321044771108,-0.2803759834939346,-0.6,0.5147058103548832,-0.6,thr0.000_maxday2,202509,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250903,202509,10:00,600,zero_dte,CALL,0.0620847654036611,0.0620847654036611,0.0101382754965825,0.409047626313709,-0.6,0.409047626313709,thr0.000_maxday2,202509,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250903,202509,10:30,630,zero_dte,PUT,0.154576970205976,-0.1736556648022697,0.154576970205976,0.3257576180343904,-0.6,-0.6,thr0.000_maxday2,202509,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
SPXW,20250904,202509,10:00,600,zero_dte,PUT,0.0213735293244076,-0.1490358843661041,0.0213735293244076,0.4756409883342403,0.4321191375399169,0.4321191375399169,thr0.000_maxday2,202509,65,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf202504_202606_v1
